bt_close_price,bt_close_ts,bt_detect_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_marubozu_source,bt_pattern,bt_pd_fallback_used,bt_pd_fib_382,bt_pd_fib_618,bt_pd_fill_h,bt_pd_fill_l,bt_pd_h,bt_pd_l,bt_pd_outside_range,bt_pd_pending_h,bt_pd_pending_l,bt_pd_pending_round2_changed,bt_pd_pending_round2_h,bt_pd_pending_round2_l,bt_pd_round2_changed,bt_pd_round2_h,bt_pd_round2_l,bt_pnl,bt_reason,bt_s14_family,bt_s3_pattern_code,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_source_candle_ts,bt_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pattern,live_pnl,live_reason,live_s14_family,live_s3_pattern_code,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,4532.5,2026-05-29 21:42:29,,4532.69,M1_S3_R,2026-05-29 21:42:28,,,,R,-0.76,PD Zone fill che,,R,-0.19,-0.19,-0.19,-0.19,BUY,,,,,,,,,M1,534752055,,,,,4529.62,3.07,2026-05-29 21:32:00,TP,10.47,,,,,,,,,,0,PD Fibo Plus round1 fail,PD_FAIL,1780069320,4535.3,2.61,2026-05-29 21:42:00,4534.88,4535.31,4534.88,4535.31,,ท่าที่ 2 FVG 🟢 BUY — เขียวกลืนกิน,False,4529.74,4532.37,4536.63,4525.48,False,,,,,,,,,,,,,M1,0.47,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,4538.44,2026-05-29 21:57:34,,4538.43,M1_S3_R,2026-05-29 21:57:30,,,,R,0.04,PD Zone fill che,,R,0.01,0.01,0.01,0.01,BUY,,,,,,,,,M1,534766349,,,,,4529.62,8.81,2026-05-29 21:32:00,TP,25.5,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1780070400,4543.27,4.84,2026-05-29 22:00:00,,,,,,ท่าที่ 4 นัยยะสำคัญ FVG 🟢 BUY,,,,,,,,,,,,,,,,,,,M15,2.5,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,4539.24,2026-05-29 21:59:09,,4539.53,M1_S3_R,2026-05-29 21:59:07,,,,R,-1.16,PD Zone fill che,,R,-0.29,-0.29,-0.29,-0.29,BUY,,,,,,,,,M1,534767802,,,,,4529.62,9.91,2026-05-29 21:32:00,TP,27.12,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1780070400,4543.27,3.74,2026-05-29 22:00:00,,,,,,ท่าที่ 4 นัยยะสำคัญ FVG 🟢 BUY,,,,,,,,,,,,,,,,,,,M15,0.88,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,4535.76,2026-05-29 21:59:39,,4536.1,M1_S3_G,2026-05-29 21:59:35,,,,G,-1.3599999999999999,PD Zone fill che,,G,-0.34,-0.34,-0.34,-0.34,BUY,,,,,,,,,M1,534764941,,,,,4529.62,6.48,2026-05-29 21:32:00,TP,27.58,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1780070400,4543.27,7.17,2026-05-29 22:00:00,,,,,,ท่าที่ 4 นัยยะสำคัญ FVG 🟢 BUY,,,,,,,,,,,,,,,,,,,M15,0.42,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4545.94,2026-05-29 22:02:00,,4541.25,M1_S3_G,2026-05-29 22:01:17,,,,G,-18.76,[sl 4545.94],,G,-4.69,-4.69,-4.69,-4.69,SELL,,,,,,,,,M1,534613903,,,,,4566.69,25.44,2026-05-29 23:30:00,SL,88.72,,,,,,,,,,1,S1_SWING_EXIT,S1_SWING_EXIT,1780070340,4567.25,26.0,2026-05-29 22:00:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🔴 SELL — Pattern F 2 แท่งกลืนกิน,,,,,,,,,,,,,,,,,,,M1,1.28,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4559.03,2026-05-29 22:52:41,,4550.03,M1_S3_G,2026-05-29 22:52:11,,,,G,-36.0,[sl 4559.03],,G,-9.0,-9.0,-9.0,-9.0,SELL,,,,,,,,,M1,534785869,,,,,4566.69,16.66,2026-05-29 23:30:00,SL,37.82,,,,,,,,,,0,S1_SWING_EXIT,S1_SWING_EXIT,1780073220,4567.06,17.03,2026-05-29 22:51:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🔴 SELL — Pattern ตำหนิ,,,,,,,,,,,,,,,,,,,M1,1.18,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4580.500000000001,2026-05-29 23:37:00,,4582.92,M1_S3_R,2026-05-29 23:32:56,,,,R,9.68,[sl 4580.81],,R,2.08,3.38,2.11,2.11,SELL,,,,,,,,,M1,534917176,,,,,4566.69,16.23,2026-05-29 23:30:00,SL,2.93,,,,,,,,,,0,Sweep Filter scan block,CANCEL,1780075560,4562.02,20.9,2026-05-29 23:26:00,4561.98,4564.16,4561.98,4564.16,,ท่าที่ 2 FVG 🔴 SELL — เขียว,,,,,,,,,,,,1.0,60,4560.45,SWEEP_LOW,M1,00:25 30-May-2026,1780075500,M1,6.93,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:ENTRY_TOO_FAR,4567.107499999999,2026-05-30 00:08:09,,4569.84,M1_S3_R,2026-05-30 00:00:22,,,,R,-10.93,PD Zone fill rou,,R,2.39,-4.44,-4.44,-4.44,BUY,,,,,,,,,M1,534962286,,,,,4561.64,8.2,2026-05-29 23:50:00,SL,10.37,,,,,,,,,,0,System Limit Guard [H1->H1]: BUY LIMIT 4557.21 > BUY pos 4393.64 & price 4557.21 > 4395.64,CANCEL,1780070400,4557.21,12.63,2026-05-30 00:00:00,4540.74,4557.55,4540.74,4557.55,,ท่าที่ 2 FVG 🟢 BUY — เขียวกลืนกิน,True,4423.76,4459.2,4516.56,4366.4,True,,,,,,,,,,,,,H1,0.37,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4565.860000000001,2026-05-30 00:22:16,,4567.55,M1_S3_G_DOJI,2026-05-30 00:16:10,,,,G_DOJI,6.76,[sl 4567.00],,G_DOJI,2.16,3.5,0.55,0.55,SELL,,,,,,,,,M1,534969333,,,,,4566.69,0.86,2026-05-29 23:30:00,SL,46.17,,,,,,,,,,,SL Guard activated,CANCEL,1780078500,4566.92,0.63,2026-05-30 00:15:00,,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:R],False,4544.26,4563.75,4595.29,4512.72,False,,,,,,,,,,,,,M15,1.17,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:ENTRY_TOO_FAR,4570.36,2026-05-30 00:37:02,,4565.04,M1_S3_G,2026-05-30 00:31:32,,,,G,-21.28,[sl 4570.36],,G,-5.32,-5.32,-5.32,-5.32,SELL,,,,,,,,,M1,534983555,,,,,4557.11,7.93,2026-05-30 01:17:00,PD_FILL_FAIL,45.47,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1780079520,4560.8,4.24,2026-05-30 00:32:00,,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:R],True,4564.14,4565.82,4568.55,4561.41,True,,,,,,,,,,,,,M1,0.47,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:ENTRY_TOO_FAR,4564.875,2026-05-30 00:54:23,,4566.72,M15_S3_G,2026-05-30 00:31:32,,,,G,7.38,[sl 4565.83],,G,2.26,3.34,0.89,0.89,SELL,,,,,,,,,M15,534986526,,,,,4557.11,9.61,2026-05-30 01:17:00,PD_FILL_FAIL,45.47,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1780079520,4560.8,5.92,2026-05-30 00:32:00,,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:R],True,4564.14,4565.82,4568.55,4561.41,True,,,,,,,,,,,,,M1,0.47,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4565.6875,2026-05-30 00:58:52,,4561.63,M1_S3_G,2026-05-30 00:50:19,,,,G,16.229999999999997,[tp 4567.15],,G,2.03,3.16,5.52,5.52,BUY,,,,,,,,,M1,534986564,,,,,4561.64,0.01,2026-05-29 23:50:00,SL,60.32,,,,,,,,,,1,Sweep Filter scan block,CANCEL,1780080480,4556.45,5.18,2026-05-30 00:48:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🟢 BUY — Pattern F 2 แท่งกลืนกิน,,,,,,,,,,,,41.0,60,4568.09,SWEEP_HIGH,M1,01:07 30-May-2026,1780078020,M1,2.32,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,4560.72,2026-05-30 01:34:24,,4560.82,M1_S3_R,2026-05-30 01:34:19,,,,R,0.4,PD Zone fill che,,R,0.1,0.1,0.1,0.1,SELL,,,,,,,,,M1,535015082,,,,,4557.11,3.71,2026-05-30 01:17:00,PD_FILL_FAIL,17.32,,,,,,,,,,1,SL Guard blocked new LIMIT,CANCEL,1780083120,4560.7,0.12,2026-05-30 01:32:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🔴 SELL — Pattern F 2 แท่งกลืนกิน,,,,,,,2,"M1,M5,M15",group,1780082580,4558.74,,,,,,,,M1,2.32,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4552.03,2026-05-30 01:55:21,,4556.44,M1_S3_R,2026-05-30 01:49:34,,,,R,-17.64,[sl 4552.03],,R,-4.41,-4.41,-4.41,-4.41,BUY,,,,,,,,,M1,535021382,,,,,4554.25,2.19,2026-05-30 02:30:00,SL,40.43,,,,,,,,,,1,S1_SWING_EXIT,S1_SWING_EXIT,1780084200,4553.44,3.0,2026-05-30 01:51:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🟢 BUY — Pattern F 2 แท่งกลืนกิน,,,,,,,,,,,,,,,,,,,M1,1.43,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:NEAREST_ALREADY_MATCHED_OR_GREEDY,4556.2,2026-05-30 01:51:09,,4555.89,M1_S3_G,2026-05-30 01:51:06,,,,G,-1.24,PD Zone fill che,,G,-0.31,-0.31,-0.31,-0.31,SELL,,,,,,,,,M1,535021949,,,,,4557.11,1.22,2026-05-30 01:17:00,PD_FILL_FAIL,34.1,,,,,,,,,,0,Sweep Filter scan block,CANCEL,1780084200,4554.77,1.12,2026-05-30 01:50:00,4554.71,4557.62,4554.71,4557.62,,ท่าที่ 2 FVG 🔴 SELL — เขียว,,,,,,,,,,,,70.0,180,4557.55,SWEEP_LOW,M5,01:40 30-May-2026,1780080000,M5,1.1,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4551.23,2026-05-30 02:45:45,,4558.64,M5_S3_G,2026-05-30 02:43:04,,,,G,-29.64,[sl 4551.23],,G,-7.41,-7.41,-7.41,-7.41,BUY,,,,,,,,,M5,535032121,,,,,4554.25,4.39,2026-05-30 02:30:00,SL,13.07,,,,,,,,,,0,Sweep Filter scan block,CANCEL,1780086420,4555.23,3.41,2026-05-30 02:27:00,,,,,,ท่าที่ 1 กลืนกิน/ตำหนิ/ย้อนโครงสร้าง 🟢 BUY — Pattern ย้อนโครงสร้าง,,,,,,,,,,,,18.0,60,4556.82,SWEEP_HIGH,M1,03:09 30-May-2026,1780085340,M1,16.07,,,LIVE_ONLY,
