idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
42,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part6.pdf,14.427,13,26bf7ad1997eeeee6d546e0d4531821b812f49c1f02b808bc2095918ccd92906,,0,0,image_only,,
43,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part7.pdf,17.47,13,31525d30d6433946092770e4bdb633d9b504a3de22606e325508da2ddd164153,,0,0,image_only,,
44,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part8.pdf,16.598,13,18eee245cd2b1165a2a5973d269d26bac9789c7fa3a05009a8cac93397e8a70a,,0,0,image_only,,
45,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part9.pdf,5.873,13,f944d1d372afa52cc0f796434ee19c008a75ec4a244dcd3b8d1d03ca807f8d39,,0,0,image_only,,
46,กลุ่มDaf RP3\Candlestick (1) RP3 (1).pdf,2.219,16,eb7ad6c136232258af86212f614e6e22e0398194a54013c2a9adcbfcc85f52d6,,0,0,image_only,,
47,กลุ่มDaf RP3\Candlestick (1) RP3(1).pdf,2.219,16,eb7ad6c136232258af86212f614e6e22e0398194a54013c2a9adcbfcc85f52d6,กลุ่มDaf RP3\Candlestick (1) RP3 (1).pdf,0,0,duplicate_image_only,,
48,กลุ่มDaf RP3\Candlestick (1) RP3.pdf,2.219,16,eb7ad6c136232258af86212f614e6e22e0398194a54013c2a9adcbfcc85f52d6,กลุ่มDaf RP3\Candlestick (1) RP3 (1).pdf,0,0,duplicate_image_only,,
49,กลุ่มDaf RP3\Forex ebook.pdf,7.173,158,b7df8bbe42c4d94d5f5560c5733076fe69e3cb1745afdadbbc3b91e99509b4ad,,16772,10458,text_extracted,tmp\allin4s_pdf_audit\text\049_กลุ่มDaf_RP3_Forex_ebook.pdf.txt,
50,กลุ่มDaf RP3\MSNR ✨🐢.pdf,11.091,41,68a0eed86c8c09dd5d5fe71890e1b11d1661c3dd3c2bccb16c209e62c8e96889,,22550,3917,text_extracted,tmp\allin4s_pdf_audit\text\050_กลุ่มDaf_RP3_MSNR_.pdf.txt,
51,กลุ่มDaf RP3\การหานัยยะ โซนฟิโบ.mov.pdf,2.645,24,004e7fc86105b87ee45cb9a535a71a52b906f988bdc22f272d71effbdce004bf,,0,0,image_only,,
52,กลุ่มDaf RP3\กินไส้พี่Nc(แจกของครั้งใหญ่2).pdf,25.084,139,0b3430b94a9017a4c50972d16f9c74d575d5615e550c2205c0c646b7d77f1cc2,,0,0,image_only,,
53,กลุ่มDaf RP3\กินไส้พี่Nc(แจกของครั้งใหญ่2)_part1.pdf,15.514,86,7cd93e153c619f308641c4fcb060c3ad15217c780d2ef3585e194d30eb2d6b83,,0,0,image_only,,
54,กลุ่มDaf RP3\กินไส้พี่Nc(แจกของครั้งใหญ่2)_part2.pdf,9.547,53,9752156b0cc79d3f0c23a309f3ba51c07d12a07f30431038cc20bb8133910ddd,,0,0,image_only,,
55,กลุ่มDaf RP3\ท่าไม้ตายอออิน4วิ 1.pdf,2.248,33,8f7e188b064fb4587ce1fafb3d887ae4164dc33bd4b173a8ea10574ac33ec692,4s vip\ท่าไม้ตายอออิน4วิ 1.pdf,5136,3373,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\055_กลุ่มDaf_RP3_ท่าไม้ตายอออิน4วิ_1.pdf.txt,
56,กลุ่มDaf RP3\ท่าไม้ตายอออิน4วิ 6.pdf,2.82,36,97a6f3497c65e521e376ef4ab46d942090cd8820b1e6b4ae17a94b0bfdc07256,4s vip\ท่าไม้ตายอออิน4วิ 2.pdf,7954,5493,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\056_กลุ่มDaf_RP3_ท่าไม้ตายอออิน4วิ_6.pdf.txt,
57,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4 (1).pdf,27.731,158,f786267832965ff72f8eaea4539dfd9083182fc7f738699954f65809e38fd05f,,0,0,image_only,,
58,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4 (1)_part1.pdf,15.413,88,27642c4bfdc9e7c6eb6e7c680a7829ecd459c0ebee94319006a4f82296d66cb5,,0,0,image_only,,
59,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4 (1)_part2.pdf,12.293,70,437f2a5afc27e1be89e6cd3d250015c64ac0e4d3212f9f8637e7f3bc2c819e78,,0,0,image_only,,
60,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4.pdf,27.731,158,f786267832965ff72f8eaea4539dfd9083182fc7f738699954f65809e38fd05f,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4 (1).pdf,0,0,duplicate_image_only,,
61,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4_part1.pdf,17.893,102,873da18ab00c4a9ba7f8475f43dc55ccb3abbf58b251a8539e9fa6732492aa48,,0,0,image_only,,
62,กลุ่มDaf RP3\พี่ Nc แจกของครั้งใหญ่4_part2.pdf,9.837,56,c811f161442945bef471b95c795f1ba8b4cc778e8955645b7b6399e7adecda67,,0,0,image_only,,
63,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1).pdf,53.822,305,db65f6ac621df004baaa773647b38b9efb8e1e1de295615f97c3273b3fc33f96,,0,0,image_only,,
64,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part1.pdf,16.911,102,840a38e973b8909fd4c5325ec38af5e3a01f8efa136c023af29a0569ecac6148,,0,0,image_only,,
65,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part2.pdf,18.752,102,2d3b9f7876fe2fc9eff166c39708d333cb78cc21637c77ea5489fda5b8365825,,0,0,image_only,,
66,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part3.pdf,18.157,101,ac0508afd1076909633ee0a8b858475da13fb56fc1bdff3edfc147e81c1045fa,,0,0,image_only,,
