[2026-06-17 01:16:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:27:02] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:39:02] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:44:07] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:49:08] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:54:12] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:59:13] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 02:06:02] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 02:13:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 02:20:02] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
