portfolio,leg,label,ticket,signal,entry_ts,sl,tp,close_time,close_price,status,profit_usd
P16,N,S47 SuperTrend,555382426,BUY,2026-07-02T14:47:11.864006+07:00,4054.74,4114.17,2026-07-02T16:06:46+07:00,4068.17,OTHER,-2.69
P13,D,S37 S/R Pivot,555383787,BUY,2026-07-02T14:52:11.657228+07:00,4061.78,4081.75,2026-07-02T16:00:46+07:00,4061.78,SL,-7.83
P13,F,S39 Demand/Supply,555383788,BUY,2026-07-02T14:52:11.657228+07:00,4056.43,4089.78,2026-07-02T16:06:46+07:00,4068.17,OTHER,-1.44
P16,D,S37 S/R Pivot,555383789,BUY,2026-07-02T14:52:11.882498+07:00,4061.78,4081.75,2026-07-02T16:00:46+07:00,4061.78,SL,-7.83
P16,F,S39 Demand/Supply,555383790,BUY,2026-07-02T14:52:11.882498+07:00,4056.43,4089.78,2026-07-02T16:06:46+07:00,4068.17,OTHER,-1.44
P13,C,S36 FVG,555385712,BUY,2026-07-02T14:57:11.651348+07:00,4059.16,4072.12,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.6400000000000001
P13,F,S39 Demand/Supply,555385713,BUY,2026-07-02T14:57:11.651348+07:00,4056.45,4081.23,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.65
P13,K,S44 VolProfile,555385714,BUY,2026-07-02T14:57:11.651348+07:00,4058.81,4077.69,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.65
P16,C,S36 FVG,555385715,BUY,2026-07-02T14:57:11.931454+07:00,4059.16,4072.12,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.62
P16,E,S38 Fibonacci OTE,555385716,BUY,2026-07-02T14:57:11.931454+07:00,4055.28,4077.44,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.62
P16,F,S39 Demand/Supply,555385717,BUY,2026-07-02T14:57:11.931454+07:00,4056.45,4081.23,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.6
P16,K,S44 VolProfile,555385718,BUY,2026-07-02T14:57:11.931454+07:00,4058.81,4077.69,2026-07-02T16:06:46+07:00,4068.17,OTHER,1.6
P13,F,S39 Demand/Supply,555387576,BUY,2026-07-02T15:02:11.628853+07:00,4056.58,4076.83,2026-07-02T16:06:46+07:00,4068.17,OTHER,4.13
P16,F,S39 Demand/Supply,555387577,BUY,2026-07-02T15:02:11.784501+07:00,4056.58,4076.83,2026-07-02T16:06:46+07:00,4068.17,OTHER,4.13
P13,F,S39 Demand/Supply,555393443,BUY,2026-07-02T15:17:58.604305+07:00,4057.09,4088.89,2026-07-02T18:43:34+07:00,4067.07,OTHER,-3.84
P16,F,S39 Demand/Supply,555393445,BUY,2026-07-02T15:17:58.826064+07:00,4057.09,4088.89,2026-07-02T18:43:34+07:00,4067.07,OTHER,-3.87
P13,F,S39 Demand/Supply,555401038,BUY,2026-07-02T15:37:58.561936+07:00,4061.94,4091.71,2026-07-02T18:43:34+07:00,4067.07,OTHER,-8.2
P16,F,S39 Demand/Supply,555401039,BUY,2026-07-02T15:37:58.724785+07:00,4061.94,4091.71,2026-07-02T18:43:34+07:00,4067.07,OTHER,-8.2
P16,A,S31 Engulfing,555402818,BUY,2026-07-02T15:42:58.803307+07:00,4066.38,4084.02,2026-07-02T17:25:15+07:00,4066.38,SL,-10.66
P13,D,S37 S/R Pivot,555420958,BUY,2026-07-02T16:27:58.548896+07:00,4062.45,4075.25,2026-07-02T18:15:11+07:00,4062.45,SL,-4.76
P16,D,S37 S/R Pivot,555420959,BUY,2026-07-02T16:27:58.659151+07:00,4062.45,4075.25,2026-07-02T18:15:11+07:00,4062.45,SL,-4.76
P16,E,S38 Fibonacci OTE,555420960,BUY,2026-07-02T16:27:58.659151+07:00,4056.19,4078.95,2026-07-02T18:43:34+07:00,4067.07,OTHER,-0.14
P13,D,S37 S/R Pivot,555423378,BUY,2026-07-02T16:32:58.540065+07:00,4062.62,4075.0,2026-07-02T18:14:00+07:00,4062.62,SL,-3.21
P16,D,S37 S/R Pivot,555423379,BUY,2026-07-02T16:32:58.642762+07:00,4062.62,4075.0,2026-07-02T18:14:00+07:00,4062.62,SL,-3.21
P16,E,S38 Fibonacci OTE,555423382,BUY,2026-07-02T16:32:58.642762+07:00,4056.39,4078.75,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.23
P13,K,S44 VolProfile,555426287,BUY,2026-07-02T16:37:58.548712+07:00,4059.59,4075.49,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.78
P16,E,S38 Fibonacci OTE,555426288,BUY,2026-07-02T16:37:58.642582+07:00,4056.51,4075.39,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.78
P16,K,S44 VolProfile,555426289,BUY,2026-07-02T16:37:58.642582+07:00,4059.59,4075.49,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.78
P13,D,S37 S/R Pivot,555429112,BUY,2026-07-02T16:42:58.528820+07:00,4061.67,4076.22,2026-07-02T18:43:34+07:00,4067.07,OTHER,-5.08
P16,D,S37 S/R Pivot,555429115,BUY,2026-07-02T16:42:58.609459+07:00,4061.67,4076.22,2026-07-02T18:43:34+07:00,4067.07,OTHER,-5.08
P16,E,S38 Fibonacci OTE,555429117,BUY,2026-07-02T16:42:58.609459+07:00,4057.12,4077.86,2026-07-02T18:43:34+07:00,4067.07,OTHER,-5.08
P13,D,S37 S/R Pivot,555431386,BUY,2026-07-02T16:47:58.551551+07:00,4062.16,4080.21,2026-07-02T18:15:11+07:00,4062.16,SL,-9.17
P16,D,S37 S/R Pivot,555431387,BUY,2026-07-02T16:47:58.649897+07:00,4062.16,4080.21,2026-07-02T18:15:11+07:00,4062.16,SL,-9.08
P13,F,S39 Demand/Supply,555435260,BUY,2026-07-02T16:57:58.544795+07:00,4060.44,4074.74,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.01
P16,E,S38 Fibonacci OTE,555435264,BUY,2026-07-02T16:57:58.655578+07:00,4056.96,4075.36,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.0
P16,F,S39 Demand/Supply,555435265,BUY,2026-07-02T16:57:58.655578+07:00,4060.44,4074.74,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.0
P13,F,S39 Demand/Supply,555436782,BUY,2026-07-02T17:02:58.531820+07:00,4060.55,4072.48,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.74
P16,F,S39 Demand/Supply,555436783,BUY,2026-07-02T17:02:58.640896+07:00,4060.55,4072.48,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.74
P13,K,S44 VolProfile,555438376,BUY,2026-07-02T17:07:58.533440+07:00,4058.07,4071.84,2026-07-02T18:43:34+07:00,4067.07,OTHER,2.05
P16,K,S44 VolProfile,555438377,BUY,2026-07-02T17:07:58.643547+07:00,4058.07,4071.84,2026-07-02T18:43:34+07:00,4067.07,OTHER,2.05
P13,K,S44 VolProfile,555439819,BUY,2026-07-02T17:12:58.535140+07:00,4058.3,4073.15,2026-07-02T18:43:34+07:00,4067.07,OTHER,3.07
P16,K,S44 VolProfile,555439820,BUY,2026-07-02T17:12:58.605528+07:00,4058.3,4073.15,2026-07-02T18:43:34+07:00,4067.07,OTHER,3.07
P13,K,S44 VolProfile,555440604,BUY,2026-07-02T17:17:58.537285+07:00,4058.51,4070.64,2026-07-02T18:43:34+07:00,4067.07,OTHER,3.89
P16,K,S44 VolProfile,555440605,BUY,2026-07-02T17:17:58.604477+07:00,4058.51,4070.64,2026-07-02T18:43:34+07:00,4067.07,OTHER,3.89
P13,D,S37 S/R Pivot,555442431,BUY,2026-07-02T17:22:58.531960+07:00,4058.1,4077.05,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.35
P13,K,S44 VolProfile,555442432,BUY,2026-07-02T17:22:58.531960+07:00,4057.99,4077.22,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.28
P16,A,S31 Engulfing,555442433,BUY,2026-07-02T17:22:58.658014+07:00,4057.22,4074.14,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.29
P16,D,S37 S/R Pivot,555442434,BUY,2026-07-02T17:22:58.658014+07:00,4058.1,4077.05,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.29
P16,K,S44 VolProfile,555442435,BUY,2026-07-02T17:22:58.658014+07:00,4057.99,4077.22,2026-07-02T18:43:34+07:00,4067.07,OTHER,0.31
P13,D,S37 S/R Pivot,555443575,BUY,2026-07-02T17:27:58.533766+07:00,4061.16,4075.16,2026-07-02T18:43:34+07:00,4067.07,OTHER,-0.05
P16,D,S37 S/R Pivot,555443576,BUY,2026-07-02T17:27:58.646392+07:00,4061.16,4075.16,2026-07-02T18:43:34+07:00,4067.07,OTHER,-0.05
P13,D,S37 S/R Pivot,555446232,BUY,2026-07-02T17:37:58.528904+07:00,4060.7,4073.15,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.92
P13,F,S39 Demand/Supply,555446233,BUY,2026-07-02T17:37:58.528904+07:00,4059.01,4075.68,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.9300000000000002
P13,K,S44 VolProfile,555446234,BUY,2026-07-02T17:37:58.528904+07:00,4058.55,4076.37,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.9300000000000002
P16,D,S37 S/R Pivot,555446235,BUY,2026-07-02T17:37:58.709716+07:00,4060.7,4073.15,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.9300000000000002
P16,F,S39 Demand/Supply,555446236,BUY,2026-07-02T17:37:58.709716+07:00,4059.01,4075.68,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.9300000000000002
P16,K,S44 VolProfile,555446237,BUY,2026-07-02T17:37:58.709716+07:00,4058.55,4076.37,2026-07-02T18:43:34+07:00,4067.07,OTHER,1.9300000000000002
P13,D,S37 S/R Pivot,555461253,BUY,2026-07-02T18:17:23.759430+07:00,4056.27,4073.92,2026-07-02T20:30:01+07:00,4073.92,TP,9.16
P13,K,S44 VolProfile,555461254,BUY,2026-07-02T18:17:23.759430+07:00,4055.46,4075.13,2026-07-02T20:30:02+07:00,4075.13,TP,10.37
P16,D,S37 S/R Pivot,555461255,BUY,2026-07-02T18:17:23.970267+07:00,4056.27,4073.92,2026-07-02T20:30:01+07:00,4073.92,TP,9.16
P16,K,S44 VolProfile,555461256,BUY,2026-07-02T18:17:23.970267+07:00,4055.46,4075.13,2026-07-02T20:30:02+07:00,4075.13,TP,10.37
P13,D,S37 S/R Pivot,555464168,BUY,2026-07-02T18:22:23.761181+07:00,4059.4,4074.73,2026-07-02T20:30:02+07:00,4074.73,TP,11.11
P13,K,S44 VolProfile,555464170,BUY,2026-07-02T18:22:23.761181+07:00,4056.83,4078.58,2026-07-02T20:30:02+07:00,4078.58,TP,14.98
P16,D,S37 S/R Pivot,555464172,BUY,2026-07-02T18:22:23.989998+07:00,4059.4,4074.73,2026-07-02T20:30:02+07:00,4074.73,TP,11.13
