[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_102 skipped - hour 17 != 16
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_103 skipped - hour 17 != 18
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_106 skipped - hour 17 != 11
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_107 skipped - hour 17 != 9
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_109 skipped - hour 17 != 9
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_110 skipped - hour 17 != 20
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_111 skipped - hour 17 != 21
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_114 skipped - hour 17 != 14
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_116 skipped - risk_distance 5.32 > 5.00
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_117 skipped - hour 17 != 21
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_118 skipped - hour 17 != 9
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_120 skipped - hour 17 != 10
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_121 skipped - hour 17 != 15
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_123 skipped - hour 17 != 10
[2026-07-27 17:51:47] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_124 skipped - hour 17 != 16
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_129 skipped - hour 17 != 11
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_130 skipped - hour 17 != 16
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_132 skipped - hour 17 != 10
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_133 skipped - hour 17 != 16
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_138 skipped - hour 17 != 16
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_140 skipped - hour 17 != 12
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_141 skipped - hour 17 != 12
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_142 skipped - hour 17 != 11
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_146 skipped - hour 17 != 9
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_147 skipped - hour 17 != 20
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_148 skipped - hour 17 != 15
[2026-07-27 17:51:48] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_149 skipped - hour 17 != 9
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_150 skipped - hour 17 != 20
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_154 skipped - hour 17 != 10
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_155 skipped - hour 17 != 14
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_157 skipped - hour 17 != 19
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_158 skipped - hour 17 != 10
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_159 skipped - hour 17 != 11
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_164 skipped - hour 17 != 14
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_165 skipped - hour 17 != 16
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_167 skipped - hour 17 != 16
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_168 skipped - hour 17 != 22
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_169 skipped - hour 17 != 19
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_172 skipped - hour 17 != 10
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_173 skipped - hour 17 != 12
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_175 skipped - hour 17 != 15
[2026-07-27 17:51:49] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_176 skipped - hour 17 != 10
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_177 skipped - risk_distance 5.32 > 4.00
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_182 skipped - hour 17 != 20
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_183 skipped - hour 17 != 12
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_185 skipped - hour 17 != 12
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_186 skipped - hour 17 != 16
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_187 skipped - hour 17 != 19
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_191 skipped - hour 17 != 14
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_192 skipped - risk_distance 8.63 > 4.00
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_194 skipped - hour 17 != 8
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_195 skipped - hour 17 != 16
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_196 skipped - hour 17 != 12
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_199 skipped - hour 17 != 9
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_200 skipped - hour 17 != 15
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_202 skipped - hour 17 != 15
[2026-07-27 17:51:50] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_203 skipped - hour 17 != 14
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_204 skipped - hour 17 != 11
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_206 skipped - hour 17 != 11
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_207 skipped - hour 17 != 16
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_209 skipped - hour 17 != 10
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_210 skipped - hour 17 != 13
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_211 skipped - hour 17 != 11
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_213 skipped - hour 17 != 22
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_214 skipped - risk_distance 8.63 > 1.30
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_216 skipped - hour 17 != 8
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_217 skipped - hour 17 != 16
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_218 skipped - hour 17 != 11
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_220 skipped - hour 17 != 15
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_221 skipped - hour 17 != 20
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_223 skipped - hour 17 != 10
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_224 skipped - hour 17 != 10
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_225 skipped - hour 17 != 10
[2026-07-27 17:51:51] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_227 skipped - hour 17 != 22
[2026-07-27 17:51:52] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_228 skipped - hour 17 != 20
[2026-07-27 17:51:52] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_229 skipped - hour 17 != 15
