mt5_ticket,mt5_time,mt5_type,mt5_entry,mt5_sl,mt5_tp,comment,position_id
4726928999,2026-09-17 14:00,BUY,0.0,4306.51,4338.68,M1_S20.1423,4726928999
4726929170,2026-09-17 14:00,BUY,0.0,4299.31,4338.68,M5_S20.1423,4726929170
4726946150,2026-09-17 14:02,BUY,0.0,4305.81,4338.68,M1_S20.1423,4726946150
4726958501,2026-09-17 14:05,BUY,0.0,4307.92,4338.68,M1_S20.1423,4726958501
4727005724,2026-09-17 14:11,BUY,0.0,4310.7,4338.68,M1_S20.1423,4727005724
4727119101,2026-09-17 14:24,BUY,0.0,4314.91,4338.68,M1_S20.1423,4727119101
4727153087,2026-09-17 14:28,BUY,0.0,4319.78,4338.68,M1_S20.1423,4727153087
4727166960,2026-09-17 14:30,BUY,0.0,4311.5,4338.68,M5_S20.1423,4727166960
4727203664,2026-09-17 14:34,BUY,0.0,4326.85,4338.68,M1_S20.1423,4727203664
4727221594,2026-09-17 14:37,BUY,0.0,4326.06,4338.68,M1_S20.1423,4727221594
4727255223,2026-09-17 14:44,BUY,0.0,4325.62,4338.68,M1_S20.1423,4727255223
4727276566,2026-09-17 14:48,BUY,0.0,4326.0,4338.68,M1_S20.1423,4727276566
4727285763,2026-09-17 14:50,BUY,0.0,4321.25,4338.68,M5_S20.1423,4727285763
4727326667,2026-09-17 14:58,BUY,0.0,4320.43,4338.68,M1_S20.1423,4727326667
4727348633,2026-09-17 15:02,BUY,0.0,4322.84,4338.68,M1_S20.1423,4727348633
4727359481,2026-09-17 15:05,BUY,0.0,4322.61,4338.68,M1_S20.1423,4727359481
4727359520,2026-09-17 15:05,BUY,0.0,4316.01,4338.68,M5_S20.1423,4727359520
4727367189,2026-09-17 15:08,BUY,0.0,4323.07,4338.68,M1_S20.1423,4727367189
4727417091,2026-09-17 15:15,BUY,0.0,4314.56,4338.68,M1_S20.1423,4727417091
4727449499,2026-09-17 15:21,BUY,0.0,4312.59,4338.68,M1_S20.1423,4727449499
4727471443,2026-09-17 15:26,BUY,0.0,4311.45,4338.68,M1_S20.1423,4727471443
4727486429,2026-09-17 15:30,BUY,0.0,4307.2,4338.68,M5_S20.1423,4727486429
4727513641,2026-09-17 15:34,BUY,0.0,4309.15,4338.68,M1_S20.1423,4727513641
4727537221,2026-09-17 15:38,BUY,0.0,4313.22,4338.68,M1_S20.1423,4727537221
4727547736,2026-09-17 15:40,BUY,0.0,4304.74,4338.68,M5_S20.1423,4727547736
4727597624,2026-09-17 15:49,BUY,0.0,4306.84,4338.68,M1_S20.1423,4727597624
4727614506,2026-09-17 15:54,BUY,0.0,4307.5,4338.68,M1_S20.1423,4727614506
4727618007,2026-09-17 15:55,BUY,0.0,4303.06,4338.68,M5_S20.1423,4727618007
4727624043,2026-09-17 15:57,BUY,0.0,4308.23,4338.68,M1_S20.1423,4727624043
4727638079,2026-09-17 16:01,BUY,0.0,4307.8,4338.68,M1_S20.1423,4727638079
4727651785,2026-09-17 16:04,BUY,0.0,4310.43,4338.68,M1_S20.1423,4727651785
4727662693,2026-09-17 16:07,BUY,0.0,4311.3,4338.68,M1_S20.1423,4727662693
4727673204,2026-09-17 16:10,BUY,0.0,4312.42,4338.68,M1_S20.1423,4727673204
4727685376,2026-09-17 16:13,BUY,0.0,4313.29,4338.68,M1_S20.1423,4727685376
4727697313,2026-09-17 16:15,BUY,0.0,4296.95,4338.68,M15_S20.1423,4727697313
4727716856,2026-09-17 16:19,BUY,0.0,4309.52,4338.68,M1_S20.1423,4727716856
4727733438,2026-09-17 16:22,BUY,0.0,4307.45,4338.68,M1_S20.1423,4727733438
4727743801,2026-09-17 16:25,BUY,0.0,4307.17,4338.68,M1_S20.1423,4727743801
4727789286,2026-09-17 16:32,BUY,0.0,4301.82,4338.68,M1_S20.1423,4727789286
4727808437,2026-09-17 16:37,BUY,0.0,4303.53,4338.68,M1_S20.1423,4727808437
4727815765,2026-09-17 16:39,BUY,0.0,4304.6,4338.68,M1_S20.1423,4727815765
4727819704,2026-09-17 16:40,BUY,0.0,4298.66,4338.68,M5_S20.1423,4727819704
4727828651,2026-09-17 16:42,BUY,0.0,4305.57,4338.68,M1_S20.1423,4727828651
4727848824,2026-09-17 16:47,BUY,0.0,4305.21,4338.68,M1_S20.1423,4727848824
4727863689,2026-09-17 16:50,BUY,0.0,4304.28,4338.68,M1_S20.1423,4727863689
4727876619,2026-09-17 16:54,BUY,0.0,4306.58,4338.68,M1_S20.1423,4727876619
4727880896,2026-09-17 16:55,BUY,0.0,4300.95,4338.68,M5_S20.1423,4727880896
4727895198,2026-09-17 16:58,BUY,0.0,4303.42,4338.68,M1_S20.1423,4727895198
4727910201,2026-09-17 17:02,BUY,0.0,4302.54,4338.68,M1_S20.1423,4727910201
4727918843,2026-09-17 17:04,BUY,0.0,4302.31,4338.68,M1_S20.1423,4727918843
4727933917,2026-09-17 17:07,BUY,0.0,4304.44,4338.68,M1_S20.1423,4727933917
4727946846,2026-09-17 17:10,BUY,0.0,4299.09,4338.68,M5_S20.1423,4727946846
4727950295,2026-09-17 17:11,BUY,0.0,4305.07,4338.68,M1_S20.1423,4727950295
