entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason,tf
2026-08-05 13:35:00,2026-08-05 17:05:00,BUY,4173.2,4152.38,4184.88,SL,-21.02,S430 BUY Triple EMA StochRSI,k=32.63 d=32.53 close=4173.06 ATR=2.95,M1
2026-08-05 20:04:00,2026-08-05 21:00:00,BUY,4194.65,4175.84,4205.34,TP,10.49,S430 BUY Triple EMA StochRSI,k=5.95 d=5.62 close=4194.61 ATR=2.68,M1
2026-08-06 00:06:00,2026-08-06 01:03:00,BUY,4244.27,4227.2,4254.04,TP,9.57,S430 BUY Triple EMA StochRSI,k=25.72 d=25.44 close=4244.28 ATR=2.44,M1
2026-08-06 08:27:00,2026-08-06 09:06:00,BUY,4285.47,4256.51,4302.06,TP,16.39,S430 BUY Triple EMA StochRSI,k=13.58 d=12.67 close=4285.50 ATR=4.14,M1
2026-08-06 09:06:00,2026-08-06 10:16:00,BUY,4300.84,4271.92,4317.35,SL,-29.12,S430 BUY Triple EMA StochRSI,k=28.27 d=27.76 close=4300.83 ATR=4.13,M1
2026-08-06 18:17:00,2026-08-06 18:42:00,BUY,4270.84,4260.21,4276.98,SL,-10.83,S430 BUY Triple EMA StochRSI,k=30.59 d=30.53 close=4270.88 ATR=1.52,M1
2026-08-07 12:11:00,2026-08-07 12:36:00,BUY,4269.76,4257.61,4276.72,TP,6.76,S430 BUY Triple EMA StochRSI,k=27.36 d=27.29 close=4269.77 ATR=1.74,M1
2026-08-07 14:54:00,2026-08-07 15:05:00,BUY,4286.06,4272.99,4293.62,TP,7.36,S430 BUY Triple EMA StochRSI,k=6.09 d=5.79 close=4286.12 ATR=1.88,M1
2026-08-07 16:42:00,2026-08-07 18:04:00,BUY,4312.2,4296.22,4321.36,TP,8.96,S430 BUY Triple EMA StochRSI,k=13.92 d=13.72 close=4312.22 ATR=2.29,M1
2026-08-07 19:12:00,2026-08-07 19:30:00,BUY,4322.54,4308.19,4330.88,SL,-14.55,S430 BUY Triple EMA StochRSI,k=9.91 d=8.94 close=4322.63 ATR=2.06,M1
2026-08-07 21:54:00,2026-08-10 08:30:00,BUY,4346.21,4317.22,4362.76,SL,-29.19,S430 BUY Triple EMA StochRSI,k=27.65 d=27.59 close=4346.20 ATR=4.14,M1
2026-08-10 15:16:00,2026-08-10 16:32:00,BUY,4354.62,4342.81,4361.34,SL,-12.01,S430 BUY Triple EMA StochRSI,k=9.50 d=9.28 close=4354.60 ATR=1.68,M1
2026-08-11 00:09:00,2026-08-11 00:35:00,BUY,4355.34,4342.79,4362.5,TP,6.96,S430 BUY Triple EMA StochRSI,k=17.75 d=17.38 close=4355.33 ATR=1.79,M1
2026-08-11 03:17:00,2026-08-11 05:47:00,BUY,4390.62,4379.31,4397.25,TP,6.43,S430 BUY Triple EMA StochRSI,k=16.92 d=16.89 close=4390.73 ATR=1.63,M1
2026-08-11 06:32:00,2026-08-11 06:56:00,BUY,4395.94,4389.12,4399.76,TP,3.62,S430 BUY Triple EMA StochRSI,k=3.53 d=3.19 close=4395.89 ATR=0.97,M1
2026-08-11 06:57:00,2026-08-11 07:10:00,BUY,4401.37,4393.72,4405.71,TP,4.14,S430 BUY Triple EMA StochRSI,k=26.33 d=25.06 close=4401.35 ATR=1.09,M1
2026-08-11 08:09:00,2026-08-11 08:16:00,BUY,4406.15,4389.44,4415.38,TP,9.03,S430 BUY Triple EMA StochRSI,k=21.74 d=21.34 close=4405.95 ATR=2.36,M1
2026-08-11 10:59:00,2026-08-11 11:56:00,BUY,4417.63,4405.13,4424.74,SL,-12.7,S430 BUY Triple EMA StochRSI,k=17.08 d=16.43 close=4417.61 ATR=1.78,M1
2026-08-12 11:05:00,2026-08-12 12:23:00,BUY,4402.97,4393.27,4408.63,SL,-9.9,S430 BUY Triple EMA StochRSI,k=5.05 d=4.97 close=4403.04 ATR=1.40,M1
2026-08-12 16:03:00,2026-08-12 16:11:00,BUY,4405.19,4396.41,4410.36,TP,4.97,S430 BUY Triple EMA StochRSI,k=8.98 d=7.40 close=4405.29 ATR=1.27,M1
2026-08-12 18:51:00,2026-08-12 19:30:00,BUY,4413.24,4403.81,4418.6,TP,5.16,S430 BUY Triple EMA StochRSI,k=32.81 d=32.67 close=4413.22 ATR=1.34,M1
2026-08-12 21:47:00,2026-08-12 23:50:00,BUY,4427.97,4402.79,4442.37,SL,-25.38,S430 BUY Triple EMA StochRSI,k=30.69 d=30.41 close=4427.98 ATR=3.60,M1
2026-08-13 03:03:00,2026-08-13 05:06:00,BUY,4413.36,4404.89,4418.12,SL,-8.67,S430 BUY Triple EMA StochRSI,k=30.94 d=30.40 close=4413.31 ATR=1.20,M1
2026-08-13 08:36:00,2026-08-13 09:03:00,BUY,4429.11,4406.02,4442.26,SL,-23.29,S430 BUY Triple EMA StochRSI,k=8.80 d=7.95 close=4429.08 ATR=3.29,M1
2026-08-13 19:30:00,2026-08-13 19:31:00,BUY,4390.85,4378.94,4397.62,TP,6.57,S430 BUY Triple EMA StochRSI,k=19.85 d=19.79 close=4390.83 ATR=1.70,M1
2026-08-13 19:34:00,2026-08-13 19:58:00,BUY,4389.31,4375.1,4397.41,TP,7.9,S430 BUY Triple EMA StochRSI,k=20.91 d=20.20 close=4389.30 ATR=2.03,M1
2026-08-14 18:10:00,2026-08-14 18:20:00,BUY,4350.97,4343.48,4355.17,TP,4.0,S430 BUY Triple EMA StochRSI,k=6.29 d=5.55 close=4350.92 ATR=1.06,M1
2026-08-14 20:12:00,2026-08-14 20:32:00,BUY,4378.85,4362.94,4388.01,TP,8.96,S430 BUY Triple EMA StochRSI,k=16.41 d=16.33 close=4378.89 ATR=2.28,M1
2026-08-14 21:05:00,2026-08-15 01:46:00,BUY,4391.41,4373.49,4401.64,SL,-18.12,S430 BUY Triple EMA StochRSI,k=14.38 d=13.78 close=4391.40 ATR=2.56,M1
2026-08-17 09:03:00,2026-08-17 14:31:00,BUY,4396.7,4377.94,4407.47,TP,10.57,S430 BUY Triple EMA StochRSI,k=5.20 d=4.67 close=4396.73 ATR=2.68,M1
