SIM_Open_Time,SIM_Close_Time,SIM_TF,SIM_Type,SIM_Entry,SIM_P&L,SIM_Reason,MT5_Close_Time,MT5_Price,MT5_P&L,MT5_Comment,MT5_Position_ID,Matched
2026-06-30 22:44:00,2026-06-30 23:17:00,M1,BUY,4052.04,-23.22,SL,,,,,,NO
2026-06-30 23:31:00,2026-06-30 23:45:00,M1,SELL,4027.27,-18.94,SL,,,,,,NO
2026-06-30 23:37:00,2026-06-30 23:45:00,M1,SELL,4027.99,-16.67,SL,,,,,,NO
2026-06-30 23:49:00,2026-07-01 00:00:00,M1,BUY,4033.35,-15.74,SL,,,,,,NO
2026-06-30 23:50:00,2026-07-01 00:00:00,M1,BUY,4033.96,-17.54,SL,,,,,,NO
2026-06-30 23:53:00,2026-07-01 00:00:00,M1,BUY,4033.06,-19.7,SL,,,,,,NO
2026-06-30 23:55:00,2026-07-01 00:00:00,M1,BUY,4034.34,-18.56,SL,,,,,,NO
2026-06-30 23:56:00,2026-07-01 00:00:00,M1,BUY,4034.54,-19.12,SL,,,,,,NO
2026-07-01 00:45:00,2026-07-01 00:57:00,M1,BUY,4031.74,-14.74,SL,,,,,,NO
2026-07-01 00:49:00,2026-07-01 00:57:00,M1,BUY,4032.62,-13.67,SL,,,,,,NO
2026-07-01 00:53:00,2026-07-01 00:57:00,M1,BUY,4031.4,-16.57,SL,,,,,,NO
2026-07-01 00:55:00,2026-07-01 00:57:00,M1,BUY,4031.81,-14.86,SL,,,,,,NO
2026-07-01 01:45:00,2026-07-01 03:06:00,M1,BUY,4029.79,-15.38,SL,,,,,,NO
2026-07-01 01:46:00,2026-07-01 03:06:00,M1,BUY,4030.14,-12.59,SL,,,,,,NO
2026-07-01 01:47:00,2026-07-01 03:06:00,M1,BUY,4030.57,-13.85,SL,,,,,,NO
2026-07-01 01:49:00,2026-07-01 03:06:00,M1,BUY,4030.36,-13.19,SL,,,,,,NO
2026-07-01 01:51:00,2026-07-01 03:06:00,M1,BUY,4030.89,-14.75,SL,,,,,,NO
2026-07-01 01:52:00,2026-07-01 03:06:00,M1,BUY,4032.12,-12.31,SL,,,,,,NO
2026-07-01 02:00:00,2026-07-01 03:06:00,M1,BUY,4031.1,-15.23,SL,,,,,,NO
2026-07-01 02:01:00,2026-07-01 03:06:00,M1,BUY,4031.64,-11.23,SL,,,,,,NO
2026-07-01 02:02:00,2026-07-01 03:06:00,M1,BUY,4032.2,-12.35,SL,,,,,,NO
2026-07-01 02:03:00,2026-07-01 03:06:00,M1,BUY,4032.27,-12.49,SL,,,,,,NO
2026-07-01 02:06:00,2026-07-01 03:06:00,M1,BUY,4033.44,-14.85,SL,,,,,,NO
2026-07-01 02:09:00,2026-07-01 03:06:00,M1,BUY,4032.96,-13.87,SL,,,,,,NO
2026-07-01 02:10:00,2026-07-01 03:06:00,M1,BUY,4033.18,-14.31,SL,,,,,,NO
2026-07-01 02:11:00,2026-07-01 03:06:00,M1,BUY,4033.55,-7.52,SL,,,,,,NO
2026-07-01 02:13:00,2026-07-01 03:06:00,M1,BUY,4032.91,-13.75,SL,,,,,,NO
2026-07-01 02:14:00,2026-07-01 03:06:00,M1,BUY,4033.05,-7.0,SL,,,,,,NO
2026-07-01 02:19:00,2026-07-01 03:06:00,M1,BUY,4032.07,-12.05,SL,,,,,,NO
2026-07-01 02:20:00,2026-07-01 03:06:00,M1,BUY,4032.5,-12.89,SL,,,,,,NO
2026-07-01 02:41:00,2026-07-01 02:51:00,M1,SELL,4029.04,-10.1,SL,,,,,,NO
2026-07-01 02:42:00,2026-07-01 02:51:00,M1,SELL,4028.48,-7.87,SL,,,,,,NO
2026-07-01 02:46:00,2026-07-01 02:51:00,M1,SELL,4029.51,-8.72,SL,,,,,,NO
2026-07-01 02:48:00,2026-07-01 02:51:00,M1,SELL,4029.3,-9.38,SL,,,,,,NO
2026-07-01 04:39:00,2026-07-01 06:10:00,M1,SELL,4010.68,-6.83,SL,,,,,,NO
2026-07-01 04:40:00,2026-07-01 06:10:00,M1,SELL,4010.31,-7.2,SL,,,,,,NO
2026-07-01 04:45:00,2026-07-01 06:10:00,M1,SELL,4010.94,-6.55,SL,,,,,,NO
2026-07-01 04:46:00,2026-07-01 06:10:00,M1,SELL,4010.93,-6.56,SL,,,,,,NO
2026-07-01 04:47:00,2026-07-01 06:10:00,M1,SELL,4010.35,-7.14,SL,,,,,,NO
2026-07-01 04:48:00,2026-07-01 06:10:00,M1,SELL,4010.28,-7.2,SL,,,,,,NO
2026-07-01 04:51:00,2026-07-01 06:10:00,M1,SELL,4009.91,-7.56,SL,,,,,,NO
2026-07-01 04:53:00,2026-07-01 06:10:00,M1,SELL,4010.07,-7.42,SL,,,,,,NO
2026-07-01 04:56:00,2026-07-01 06:10:00,M1,SELL,4008.18,-9.33,SL,,,,,,NO
2026-07-01 06:32:00,2026-07-01 07:56:00,M1,BUY,4014.25,-8.37,SL,,,,,,NO
2026-07-01 06:33:00,2026-07-01 07:56:00,M1,BUY,4014.95,-9.08,SL,,,,,,NO
2026-07-01 06:34:00,2026-07-01 07:56:00,M1,BUY,4015.84,-9.97,SL,,,,,,NO
2026-07-01 06:36:00,2026-07-01 07:56:00,M1,BUY,4015.88,-9.99,SL,,,,,,NO
2026-07-01 06:37:00,2026-07-01 07:56:00,M1,BUY,4015.92,-10.02,SL,,,,,,NO
2026-07-01 06:38:00,2026-07-01 07:56:00,M1,BUY,4016.08,-10.17,SL,,,,,,NO
2026-07-01 06:40:00,2026-07-01 07:56:00,M1,BUY,4016.83,-10.92,SL,,,,,,NO
2026-07-01 06:41:00,2026-07-01 07:56:00,M1,BUY,4017.59,-11.69,SL,,,,,,NO
2026-07-01 08:29:00,2026-07-01 08:41:00,M1,SELL,4002.39,5.71,TP,,,,,,NO
2026-07-01 08:30:00,2026-07-01 08:54:00,M1,SELL,4001.5,7.05,TP,,,,,,NO
2026-07-01 08:31:00,2026-07-01 09:02:00,M1,SELL,4000.96,7.86,TP,,,,,,NO
2026-07-01 08:39:00,2026-07-01 08:45:00,M1,SELL,4002.12,6.08,TP,,,,,,NO
2026-07-01 08:40:00,2026-07-01 09:02:00,M1,SELL,4000.77,8.11,TP,,,,,,NO
2026-07-01 08:41:00,2026-07-01 09:02:00,M1,SELL,4000.5,8.49,TP,,,,,,NO
2026-07-01 08:42:00,2026-07-01 09:08:00,M1,SELL,3996.94,13.89,TP,,,,,,NO
2026-07-01 08:43:00,2026-07-01 09:08:00,M1,SELL,3996.93,13.9,TP,,,,,,NO
2026-07-01 08:44:00,2026-07-01 09:10:00,M1,SELL,3996.35,14.77,TP,,,,,,NO
2026-07-01 08:45:00,2026-07-01 09:10:00,M1,SELL,3996.16,15.04,TP,,,,,,NO
2026-07-01 08:46:00,2026-07-01 09:10:00,M1,SELL,3995.99,15.29,TP,,,,,,NO
2026-07-01 08:49:00,2026-07-01 09:10:00,M1,SELL,3995.94,15.33,TP,,,,,,NO
2026-07-01 08:50:00,2026-07-01 09:10:00,M1,SELL,3995.45,16.05,TP,,,,,,NO
2026-07-01 08:53:00,2026-07-01 09:05:00,M1,SELL,3995.91,15.53,TP,,,,,,NO
2026-07-01 08:54:00,2026-07-01 09:05:00,M1,SELL,3995.56,16.55,TP,,,,,,NO
2026-07-01 08:55:00,2026-07-01 09:10:00,M1,SELL,3993.75,11.03,TP,,,,,,NO
2026-07-01 08:59:00,2026-07-01 09:05:00,M1,SELL,3996.6,13.65,TP,,,,,,NO
2026-07-01 09:01:00,2026-07-01 09:05:00,M1,SELL,3996.38,14.43,TP,,,,,,NO
2026-07-01 09:02:00,2026-07-01 09:05:00,M1,SELL,3996.14,15.19,TP,,,,,,NO
2026-07-01 09:40:00,2026-07-01 10:36:00,M1,SELL,3975.65,-9.71,SL,,,,,,NO
2026-07-01 09:42:00,2026-07-01 10:36:00,M1,SELL,3975.26,-10.09,SL,,,,,,NO
2026-07-01 09:45:00,2026-07-01 10:36:00,M1,SELL,3978.48,-13.71,SL,,,,,,NO
2026-07-01 09:48:00,2026-07-01 10:36:00,M1,SELL,3978.34,-6.99,SL,,,,,,NO
2026-07-01 09:49:00,2026-07-01 10:36:00,M1,SELL,3975.33,-10.02,SL,,,,,,NO
2026-07-01 09:52:00,2026-07-01 10:36:00,M1,SELL,3977.86,-7.48,SL,,,,,,NO
2026-07-01 09:53:00,2026-07-01 10:36:00,M1,SELL,3975.21,-10.14,SL,,,,,,NO
2026-07-01 09:56:00,2026-07-01 10:36:00,M1,SELL,3975.54,-9.77,SL,,,,,,NO
2026-07-01 10:05:00,2026-07-01 10:36:00,M1,SELL,3974.49,-10.76,SL,,,,,,NO
2026-07-01 10:06:00,2026-07-01 10:36:00,M1,SELL,3970.49,-14.79,SL,,,,,,NO
2026-07-01 10:08:00,2026-07-01 10:15:00,M1,SELL,3971.52,-6.1,SL,,,,,,NO
2026-07-01 10:09:00,2026-07-01 10:36:00,M1,SELL,3970.9,-14.36,SL,,,,,,NO
2026-07-01 10:12:00,2026-07-01 10:36:00,M1,SELL,3972.52,-12.7,SL,,,,,,NO
2026-07-01 11:27:00,2026-07-01 11:31:00,M1,SELL,3981.81,11.38,TP,,,,,,NO
2026-07-01 11:31:00,2026-07-01 12:10:00,M1,SELL,3980.19,10.55,TP,,,,,,NO
2026-07-01 11:37:00,2026-07-01 13:12:00,M1,SELL,3978.28,8.13,TP,,,,,,NO
2026-07-01 11:48:00,2026-07-01 12:55:00,M1,SELL,3977.27,-10.45,SL,,,,,,NO
2026-07-01 11:50:00,2026-07-01 12:55:00,M1,SELL,3977.39,-10.21,SL,,,,,,NO
2026-07-01 11:53:00,2026-07-01 12:55:00,M1,SELL,3977.47,-9.99,SL,,,,,,NO
2026-07-01 11:54:00,2026-07-01 12:55:00,M1,SELL,3977.4,-10.11,SL,,,,,,NO
2026-07-01 12:02:00,2026-07-01 12:55:00,M1,SELL,3977.68,-9.51,SL,,,,,,NO
2026-07-01 12:03:00,2026-07-01 12:55:00,M1,SELL,3975.5,-6.95,SL,,,,,,NO
2026-07-01 12:07:00,2026-07-01 12:55:00,M1,SELL,3975.92,-6.53,SL,,,,,,NO
2026-07-01 12:09:00,2026-07-01 12:55:00,M1,SELL,3976.48,-5.95,SL,,,,,,NO
2026-07-01 12:10:00,2026-07-01 12:55:00,M1,SELL,3975.35,-7.08,SL,,,,,,NO
2026-07-01 12:11:00,2026-07-01 12:31:00,M1,SELL,3974.01,-6.18,SL,,,,,,NO
2026-07-01 12:16:00,2026-07-01 12:55:00,M1,SELL,3975.93,-6.49,SL,,,,,,NO
2026-07-01 12:18:00,2026-07-01 12:31:00,M1,SELL,3975.05,-5.13,SL,,,,,,NO
2026-07-01 12:39:00,2026-07-01 12:48:00,M1,SELL,3974.3,-8.57,SL,,,,,,NO
2026-07-01 13:16:00,2026-07-01 13:32:00,M1,SELL,3970.95,-6.54,SL,2026-07-01 13:32:16,3977.46,-4.02,[sl 3977.46],554598596.0,YES
2026-07-01 13:17:00,2026-07-01 13:32:00,M1,SELL,3970.29,-7.2,SL,2026-07-01 13:32:16,3977.46,-4.02,[sl 3977.46],554598596.0,YES
2026-07-01 13:26:00,2026-07-01 13:32:00,M1,SELL,3972.87,-4.6,SL,2026-07-01 13:32:16,3977.46,-4.02,[sl 3977.46],554598596.0,YES
2026-07-01 13:30:00,2026-07-01 13:32:00,M1,SELL,3972.43,-5.04,SL,2026-07-01 13:32:16,3977.46,-4.02,[sl 3977.46],554598596.0,YES
