Time (BKK),Close Time,TF,Type,Entry,SL,TP,P&L,Reason
2026-06-30 21:08:00,2026-06-30 22:09:00,M1,BUY,4020.59,4008.39,4038.14,17.54,TP
2026-06-30 21:10:00,2026-06-30 22:10:00,M1,BUY,4023.71,4008.38,4045.95,22.23,TP
2026-06-30 21:11:00,2026-06-30 22:10:00,M1,BUY,4023.83,4008.39,4046.24,22.40,TP
2026-06-30 21:12:00,2026-06-30 22:20:00,M1,BUY,4025.39,4008.39,4050.14,24.74,TP
2026-06-30 21:16:00,2026-06-30 22:10:00,M1,BUY,4024.38,4008.43,4047.56,23.17,TP
2026-06-30 21:17:00,2026-06-30 22:15:00,M1,BUY,4025.06,4008.44,4049.24,24.17,TP
2026-06-30 21:18:00,2026-06-30 22:20:00,M1,BUY,4025.78,4008.44,4051.04,25.25,TP
2026-06-30 21:19:00,2026-06-30 22:23:00,M1,BUY,4028.40,4008.43,4057.61,29.21,TP
2026-06-30 21:20:00,2026-06-30 22:24:00,M1,BUY,4030.19,4008.41,4062.11,31.92,TP
2026-06-30 21:27:00,2026-06-30 22:09:00,M1,BUY,4021.92,4008.35,4041.53,39.21,TP
2026-06-30 21:28:00,2026-06-30 22:09:00,M1,BUY,4022.60,4008.36,4043.21,41.21,TP
2026-06-30 21:30:00,2026-06-30 22:10:00,M1,BUY,4024.08,4008.39,4046.87,22.78,TP
2026-06-30 21:31:00,2026-06-30 22:21:00,M1,BUY,4026.32,4008.38,4052.49,26.16,TP
2026-06-30 21:35:00,2026-06-30 22:09:00,M1,BUY,4021.87,4008.38,4041.36,38.97,TP
2026-06-30 21:39:00,2026-06-30 22:09:00,M1,BUY,4017.34,4008.33,4033.96,49.84,TP
2026-06-30 21:40:00,2026-06-30 21:43:00,M1,SELL,4013.35,4023.78,3998.45,-20.87,SL
2026-06-30 22:16:00,2026-06-30 23:17:00,M1,BUY,4046.87,4028.60,4073.53,-18.28,SL
2026-06-30 22:19:00,2026-06-30 23:17:00,M1,BUY,4047.90,4028.64,4076.04,-19.27,SL
2026-06-30 22:20:00,2026-06-30 23:17:00,M1,BUY,4049.62,4028.66,4080.31,-20.97,SL
2026-06-30 22:21:00,2026-06-30 23:17:00,M1,BUY,4051.68,4028.68,4085.44,-23.01,SL
2026-06-30 22:22:00,2026-06-30 23:17:00,M1,BUY,4053.60,4028.67,4090.25,-24.94,SL
2026-06-30 22:23:00,2026-06-30 23:17:00,M1,BUY,4054.98,4028.67,4093.69,-26.31,SL
