Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
08-09-2026 18:00:27,09-09-2026 01:48:58,M30-LTS_AUS2_206,M30,BUY,4395.86,4369.85,0.5,-1300.3,SL
08-09-2026 18:00:25,09-09-2026 01:48:58,M30-LTS_AUS2_109,M30,BUY,4395.84,4369.85,0.5,-1299.5,SL
08-09-2026 18:00:23,09-09-2026 01:48:58,M30-LTS_AUS2_26,M30,BUY,4395.9,4369.85,0.5,-1302.65,SL
08-09-2026 07:02:49,09-09-2026 01:49:47,H1-LTS_AUS2_652,H1,BUY,4421.21,4362.4,0.06,-352.84,SL
08-09-2026 07:17:49,09-09-2026 01:52:00,H1-LTS_AUS2_653,H1,SELL,4424.26,4362.4,0.01,61.86,TP
09-09-2026 00:38:21,09-09-2026 03:49:56,M15-LTS_AUS2_645,M15,BUY,4392.55,4352.0,0.07,-283.84,SL
09-09-2026 00:33:21,09-09-2026 03:49:56,M15-LTS_AUS2_644,M15,SELL,4394.94,4352.0,0.06,257.6,TP
05-09-2026 00:03:57,09-09-2026 03:49:56,M30-LTS_AUS2_646,M30,BUY,4431.52,4351.49,0.06,-480.2,SL
09-09-2026 00:23:21,09-09-2026 03:49:56,M15-LTS_AUS2_645,M15,BUY,4393.68,4347.16,0.07,-325.63,SL
09-09-2026 00:03:21,09-09-2026 03:49:56,M15-LTS_AUS2_644,M15,SELL,4398.33,4347.16,0.06,307.02,TP
08-09-2026 23:01:38,09-09-2026 03:49:56,M15-LTS_AUS2_645,M15,BUY,4393.92,4345.3,0.07,-340.34,SL
09-09-2026 10:00:20,09-09-2026 10:00:22,M15-LTS_AUS2_41,M15,BUY,4381.52,4381.52,0.5,0.0,SL
09-09-2026 11:15:22,09-09-2026 11:15:43,M15-LTS_AUS2_74,M15,SELL,4373.3,4373.3,0.5,0.0,SL
09-09-2026 11:15:26,09-09-2026 11:15:43,M15-LTS_AUS2_241,M15,SELL,4373.05,4373.05,0.5,0.0,SL
09-09-2026 00:48:21,09-09-2026 14:46:06,M15-LTS_AUS2_644,M15,SELL,4387.54,4412.07,0.06,-147.19,SL
09-09-2026 01:18:21,09-09-2026 14:46:08,M15-LTS_AUS2_645,M15,BUY,4385.2,4412.07,0.07,188.09,TP
09-09-2026 17:08:36,09-09-2026 20:19:07,H1-LTS_AUS2_652,H1,SELL,4392.64,4415.97,0.06,-140.02,SL
08-09-2026 22:41:54,09-09-2026 20:25:09,M15-LTS_AUS2_645,M15,BUY,4398.64,4429.05,0.07,212.88,TP
09-09-2026 15:13:38,09-09-2026 22:06:03,H1-LTS_AUS2_652,H1,BUY,4405.69,4382.09,0.06,-141.58,SL
10-09-2026 09:17:54,10-09-2026 09:18:00,M15-LTS_AUS2_85,M15,BUY,4409.93,4409.06,0.5,-43.7,SL
10-09-2026 09:17:55,10-09-2026 09:18:00,M15-LTS_AUS2_130,M15,BUY,4409.93,4409.06,0.5,-43.7,SL
10-09-2026 09:17:57,10-09-2026 09:18:00,M15-LTS_AUS2_321,M15,BUY,4409.67,4409.06,0.5,-30.7,SL
10-09-2026 11:46:34,10-09-2026 11:54:45,M15-LTS_AUS2_22,M15,SELL,4407.26,4407.26,0.5,0.0,SL
10-09-2026 09:27:54,10-09-2026 15:43:48,M15-LTS_AUS2_645,M15,SELL,4414.34,4395.04,0.07,135.09,TP
10-09-2026 09:17:57,10-09-2026 16:09:50,M15-LTS_AUS2_644,M15,BUY,4409.65,4390.69,0.06,-113.76,SL
10-09-2026 15:01:34,10-09-2026 16:09:50,M15-LTS_AUS2_644,M15,BUY,4411.7,4390.58,0.06,-126.72,SL
10-09-2026 09:02:55,10-09-2026 16:09:50,M15-LTS_AUS2_645,M15,SELL,4414.05,4390.69,0.07,163.52,TP
10-09-2026 10:02:54,10-09-2026 16:42:20,H1-LTS_AUS2_652,H1,BUY,4418.45,4389.13,0.06,-175.94,SL
10-09-2026 12:31:34,10-09-2026 16:42:22,H1-LTS_AUS2_653,H1,SELL,4419.69,4389.13,0.01,30.56,TP
10-09-2026 11:41:34,10-09-2026 17:34:01,M15-LTS_AUS2_644,M15,BUY,4406.86,4385.03,0.06,-130.99,SL
10-09-2026 11:01:43,10-09-2026 17:34:08,M15-LTS_AUS2_645,M15,SELL,4410.37,4385.03,0.07,177.35,TP
10-09-2026 09:17:57,10-09-2026 17:36:41,H1-LTS_AUS2_652,H1,BUY,4409.65,4380.73,0.06,-173.5,SL
10-09-2026 09:02:55,10-09-2026 17:36:41,H1-LTS_AUS2_653,H1,SELL,4414.46,4380.73,0.01,33.73,TP
