Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1923.84,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1922.14,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1920.44,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1918.74,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1917.04,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1915.34,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1913.64,SL
-,-,S111,M5,SELL,2366.62,2368.12,2362.14,0.01,-1.7,1911.94,SL
-,-,S111,M5,SELL,2383.03,2384.53,2381.06,0.01,1.77,1913.71,TP
-,-,S111,M5,SELL,2383.03,2384.53,2381.06,0.01,1.77,1915.48,TP
-,-,S111,M5,SELL,2374.87,2376.37,2373.55,0.01,1.12,1916.6,TP
-,-,S111,M5,SELL,2374.87,2376.37,2373.55,0.01,1.12,1917.72,TP
-,-,S111,M5,BUY,2403.24,2401.74,2406.64,0.01,-1.7,1916.02,SL
-,-,S111,M5,BUY,2403.24,2401.74,2406.64,0.01,-1.7,1914.32,SL
-,-,S111,M5,BUY,2403.24,2401.74,2406.64,0.01,-1.7,1912.62,SL
-,-,S111,M5,SELL,2429.91,2431.41,2428.19,0.01,-1.7,1910.92,SL
-,-,S111,M5,SELL,2429.91,2431.41,2428.19,0.01,-1.7,1909.22,SL
-,-,S111,M5,SELL,2472.78,2474.28,2469.1,0.01,-1.7,1907.52,SL
-,-,S111,M5,SELL,2472.78,2474.28,2469.1,0.01,-1.7,1905.82,SL
-,-,S111,M5,SELL,2469.14,2470.64,2467.38,0.01,1.56,1907.38,TP
-,-,S111,M5,SELL,2472.78,2474.28,2469.1,0.01,-1.7,1905.68,SL
-,-,S111,M5,BUY,2443.06,2441.56,2444.83,0.01,-1.7,1903.98,SL
-,-,S111,M5,BUY,2389.68,2388.18,2391.21,0.01,1.33,1905.31,TP
-,-,S111,M5,BUY,2390.11,2388.61,2395.76,0.01,5.45,1910.76,TP
-,-,S111,M5,BUY,2390.11,2388.61,2395.76,0.01,5.45,1916.21,TP
-,-,S111,M5,BUY,2390.11,2388.61,2395.76,0.01,5.45,1921.66,TP
-,-,S111,M5,SELL,2385.91,2387.41,2383.29,0.01,-1.7,1919.96,SL
-,-,S111,M5,SELL,2385.91,2387.41,2383.29,0.01,-1.7,1918.26,SL
-,-,S111,M5,BUY,2434.28,2432.78,2436.31,0.01,1.83,1920.09,TP
-,-,S111,M5,BUY,2457.45,2455.69,2470.61,0.01,12.96,1933.05,TP
-,-,S111,M5,SELL,2414.11,2415.61,2408.54,0.01,-1.7,1931.35,SL
-,-,S111,M5,BUY,2396.89,2395.39,2402.06,0.01,4.97,1936.32,TP
-,-,S111,M5,BUY,2396.89,2395.39,2402.06,0.01,4.97,1941.29,TP
-,-,S111,M5,SELL,2454.67,2456.17,2451.79,0.01,2.68,1943.97,TP
-,-,S111,M5,SELL,2454.67,2456.17,2451.79,0.01,2.68,1946.65,TP
