target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF34,90,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,6,no,-4.6265,-0.051406
AF34,90,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,3,no,5421.99519,60.244391
AF34,90,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,3,no,2807.6098,31.195664
AF34,90,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,2,no,3068.19873,34.091097
AF34,90,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,2,no,-693.12237,-7.70136
AF34,90,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,24,no,4092.12854,45.468095
AF34,90,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,4,no,1061.07039,11.789671
AF34,90,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,1,no,713.77733,7.930859
AF34,90,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,3,no,7138.15278,79.312809
AF34,90,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,1,no,1393.6125,15.484583
AF34,90,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,7,no,12421.78014,138.019779
AF34,90,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,1,no,3239.25448,35.991716
AF34,90,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,3,no,3412.49575,37.916619
AF34,90,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,5,no,7049.94552,78.332728
AF34,90,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,3,no,1748.516,19.427956
AF34,90,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,1,no,1686.7928,18.742142
AF34,120,0,base,S88,,,no,64715.05273,539.292106
