target_af,window_days,component_no,component_name,family,entry_tf,mode,rd_min,rd_max,fill_hour,weight,orders,pnl_per_001lot,pnl_weighted_full,lot_max,max_dd_pct,skipped_by_cb,ambiguous,m1_sl,m1_tp,unresolved
AF170,730,66,AMBFIX_INV_S84RUNc889_RD5.0_7.0_H13,s84,M15,inverse,5.0,7.0,13,237.673,66,46.4,11028.0272,0.01,2.83,20,225,132,87,6
AF170,730,67,AMBFIX_DIR_S84RUNc3057_RD2.7_3.4_H12,s84,M15,direct,2.7,3.4,12,321.515,62,-46.6,-14982.599,0.02,5.32,37,174,103,65,6
AF170,730,68,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,569.318,41,45.04,25642.08272,0.01,2.23,10,57,27,28,2
AF170,730,69,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H10,s84,M30,direct,5.0,7.0,10,355.625,23,13.49,4797.38125,0.01,1.77,10,48,25,20,3
AF170,730,70,AMBFIX_DIR_S84RUNc6017_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,261.874,31,-17.8,-4661.3572,0.01,3.23,16,47,24,20,3
AF170,730,71,AMBFIX_DIR_S86RUNc7171_RDall_H8,s86,M30,direct,,,8,14.458,30,-59.67,-862.70886,0.01,8.15,18,3,1,1,1
AF170,730,72,AMBFIX_DIR_S86RUNc7187_RDall_H11,s86,M30,direct,,,11,64.759,20,156.69,10147.08771,0.01,3.96,10,1,0,0,1
AF170,730,73,AMBFIX_DIR_S86RUNc4227_RDall_H15,s86,M30,direct,,,15,74.194,29,354.75,26320.3215,0.01,3.67,0,3,1,2,0
AF170,730,74,AMBFIX_DIR_S86RUNc6275_RDall_H22,s86,M30,direct,,,22,183.388,26,-75.0,-13754.1,0.01,7.5,18,3,1,2,0
AF170,730,75,AMBFIX_INV_S86RUNc11_RD5.0_7.0_H19,s86,M15,inverse,5.0,7.0,19,350.96,22,-0.1,-35.096,0.01,2.65,10,7,2,2,3
AF170,730,76,AMBFIX_INV_S84RUNc28_RD1.3_2.0_H17,s84,M15,inverse,1.3,2.0,17,315.865,114,-60.74,-19185.6401,0.04,7.79,60,1522,745,719,58
AF170,730,77,AMBFIX_DIR_S84RUNc889_RD4.0_5.0_H19,s84,M15,direct,4.0,5.0,19,443.172,49,45.65,20230.8018,0.01,1.74,20,225,132,87,6
AF170,730,78,AMBFIX_INV_S84RUNc3057_RD4.0_5.0_H8,s84,M15,inverse,4.0,5.0,8,272.464,48,1.74,474.08736,0.01,2.22,20,174,103,65,6
AF170,730,79,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H8,s84,M30,inverse,5.0,7.0,8,153.857,59,-28.43,-4374.15451,0.01,6.74,20,57,27,28,2
AF170,730,80,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,240.944,31,-11.58,-2790.13152,0.01,2.61,17,48,25,20,3
AF170,730,81,AMBFIX_INV_S84RUNc6017_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,381.698,33,44.18,16863.41764,0.01,2.21,10,47,24,20,3
AF170,730,82,AMBFIX_INV_S86RUNc7171_RDall_H17,s86,M30,inverse,,,17,70.397,20,-12.18,-857.43546,0.02,5.35,10,3,1,1,1
AF170,730,83,AMBFIX_DIR_S86RUNc7187_RDall_H11,s86,M30,direct,,,11,52.644,20,156.69,8248.78836,0.01,3.96,10,1,0,0,1
AF170,730,84,AMBFIX_DIR_S86RUNc4227_RDall_H15,s86,M30,direct,,,15,69.981,29,354.75,24825.75975,0.01,3.67,0,3,1,2,0
AF170,730,85,AMBFIX_DIR_S86RUNc6275_RDall_H12,s86,M30,direct,,,12,181.385,35,-74.18,-13455.1393,0.02,9.76,10,3,1,2,0
AF170,730,86,AMBFIX_INV_S86RUNc11_RDall_H15,s86,M15,inverse,,,15,17.076,62,54.01,922.27476,0.05,4.34,20,7,2,2,3
AF170,730,87,AMBFIX_INV_S84RUNc28_RD2.0_2.7_H12,s84,M15,inverse,2.0,2.7,12,353.074,57,26.28,9278.78472,0.03,2.28,21,1522,745,719,58
AF170,730,88,AMBFIX_DIR_S84RUNc889_RD4.0_5.0_H19,s84,M15,direct,4.0,5.0,19,201.846,49,45.65,9214.2699,0.01,1.74,20,225,132,87,6
