Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month,MT5_Ticket,MT5_Time,MT5_Entry,MT5_Comment
Naiya Doji,M15,2026-09-10 12:30,BUY,4385.29,4385.29,4375.12,4470.55,4405.63,False,14.08,7.28,0.01,-0.53,,10.29,16.75,72,SL,-10.17,2026-09-10 13:45,9798.24,2026-09-10,2026-09,584315889,2026-09-11 02:26,4339.11,M1_S20.1412
Naiya,M15,2026-09-10 15:45,SELL,4374.7,4374.7,4377.86,4369.59,4368.38,False,34.97,15.77,0.01,-0.73,,1.4,13.38,6,TP,5.11,2026-09-10 15:45,9671.14,2026-09-10,2026-09,584416865,2026-09-11 09:35,4333.28,M1_S20.1412
Naiya Doji,M15,2026-09-10 16:15,SELL,4369.23,4369.23,4375.92,4291.99,4355.85,False,41.26,16.44,0.01,-0.75,,4.02,22.42,1,SL,-6.69,2026-09-10 16:15,9664.449999999999,2026-09-10,2026-09,584528194,2026-09-11 12:46,4332.86,M1_S20.1412
Naiya,M15,2026-09-10 16:15,SELL,4364.46,4364.46,4375.92,4291.99,4341.54,False,41.26,16.44,0.01,-0.75,,4.02,22.42,1,SL,-11.46,2026-09-10 16:15,9652.99,2026-09-10,2026-09,584404774,2026-09-11 13:19,4339.19,M1_S20.1412
Naiya Doji,M15,2026-09-10 17:30,SELL,4369.23,4369.23,4375.92,4291.99,4355.85,False,44.67,16.91,0.01,-0.56,,0.48,9.92,4,TP,77.24,2026-09-11 14:30,9730.23,2026-09-11,2026-09,584557947,2026-09-11 13:43,4340.1,M1_S20.1412
Naiya Doji,M15,2026-09-10 17:30,SELL,4369.23,4369.23,4375.92,4291.99,4355.85,False,44.67,16.91,0.01,-0.56,,0.48,9.92,3,TP,77.24,2026-09-11 14:30,9807.47,2026-09-11,2026-09,584568973,2026-09-11 13:54,4347.78,M1_S20.1412
Naiya Doji,M15,2026-09-10 17:30,SELL,4369.23,4369.23,4375.92,4291.99,4355.85,False,44.67,16.91,0.01,-0.56,,0.48,9.92,2,TP,77.24,2026-09-11 14:30,9884.71,2026-09-11,2026-09,584629571,2026-09-11 16:11,4347.66,M1_S20.1412
Naiya Doji,M15,2026-09-10 18:00,BUY,4357.08,4357.08,4352.64,4414.3,4365.96,False,65.18,14.15,0.01,-0.68,,6.78,15.9,3,SL,-4.44,2026-09-10 19:45,9880.27,2026-09-10,2026-09,584354078,2026-09-11 04:04,4321.3,M1_S20.1412
Naiya Doji,M15,2026-09-10 18:00,BUY,4357.08,4357.08,4352.64,4414.3,4365.96,False,65.18,14.15,0.01,-0.68,,6.78,15.9,2,SL,-4.44,2026-09-10 19:45,9875.83,2026-09-10,2026-09,584358445,2026-09-11 04:40,4316.58,M1_S20.1412
Naiya Doji,M15,2026-09-10 18:00,BUY,4357.08,4357.08,4352.64,4414.3,4365.96,False,65.18,14.15,0.01,-0.68,,6.78,15.9,1,SL,-4.44,2026-09-10 19:45,9871.39,2026-09-10,2026-09,584371336,2026-09-11 07:46,4315.3,M1_S20.1412
Naiya Hidden,M15,2026-09-10 18:00,BUY,4356.43,4356.43,4322.89,4432.69,4423.5,False,65.18,14.15,0.01,-0.68,,6.78,15.9,3,SL,-33.54,2026-09-10 21:00,9837.85,2026-09-10,2026-09,584386784,2026-09-11 10:31,4320.01,M1_S20.1412
Naiya Doji,M15,2026-09-10 18:30,BUY,4357.08,4357.08,4352.64,4391.15,4365.96,False,59.25,13.0,0.01,-0.69,,6.65,9.78,1,SL,-4.44,2026-09-10 19:45,9833.41,2026-09-10,2026-09,584715900,2026-09-11 20:04,4330.14,M5_S20.1412
Naiya,M15,2026-09-11 04:45,BUY,4316.21,4316.21,4311.24,4333.05,4326.15,False,54.8,9.26,0.01,-0.35,-1.35,3.95,10.87,11,SL,-4.97,2026-09-11 05:15,9938.529999999999,2026-09-11,2026-09,584483919,2026-09-11 11:45,4306.77,M1_S20.1412
Naiya Doji,M15,2026-09-11 05:00,BUY,4314.64,4314.64,4311.24,4333.05,4321.44,False,53.57,9.71,0.01,-0.4,-1.42,3.17,11.94,12,SL,-3.4,2026-09-11 05:15,9935.13,2026-09-11,2026-09,584601937,2026-09-11 20:30,4300.86,H4_S20.1412
Naiya Doji,M15,2026-09-14 00:00,BUY,4333.7,4333.7,4330.14,4374.34,4340.82,False,23.3,6.81,0.01,-0.59,-0.83,7.65,12.81,34,SL,-3.56,2026-09-14 00:00,9657.22,2026-09-14,2026-09,585052056,2026-09-14 06:05,4342.8,M30_S20.1412
Naiya Doji,M15,2026-09-14 00:00,BUY,4333.7,4333.7,4330.14,4447.23,4340.82,False,23.3,6.81,0.01,-0.59,-0.83,7.65,12.81,24,SL,-3.56,2026-09-14 00:00,9653.66,2026-09-14,2026-09,585304216,2026-09-14 14:21,4328.39,M1_S20.1412
Naiya Doji,M15,2026-09-14 00:00,BUY,4333.7,4333.7,4330.14,4447.23,4340.82,False,23.3,6.81,0.01,-0.59,-0.83,7.65,12.81,20,SL,-3.56,2026-09-14 00:00,9650.1,2026-09-14,2026-09,585465033,2026-09-14 19:51,4291.12,M1_S20.1412
Naiya Doji,M15,2026-09-14 00:00,BUY,4333.7,4333.7,4330.14,4447.23,4340.82,False,23.3,6.81,0.01,-0.59,-0.83,7.65,12.81,19,SL,-3.56,2026-09-14 00:00,9646.54,2026-09-14,2026-09,585755419,2026-09-15 07:02,4294.96,M1_S20.1412
Naiya,M15,2026-09-14 02:00,SELL,4346.6,4346.6,4349.37,4338.74,4341.06,False,46.59,6.79,0.01,-0.28,-0.48,9.82,17.59,8,TP,7.86,2026-09-14 02:00,9627.91,2026-09-14,2026-09,585145984,2026-09-14 08:07,4342.5,H1_S20.1412
Naiya Doji,M15,2026-09-14 02:00,SELL,4340.06,4340.06,4342.09,4319.63,4336.0,False,46.59,6.79,0.01,-0.28,-0.48,9.82,17.59,1,SL,-2.03,2026-09-14 02:00,9625.880000000001,2026-09-14,2026-09,585271012,2026-09-14 13:30,4332.7,M30_S20.1412
Naiya Hidden,M15,2026-09-14 02:00,SELL,4339.61,4339.61,4351.14,4314.04,4316.55,False,46.59,6.79,0.01,-0.28,-0.48,9.82,17.59,1,SL,-11.53,2026-09-14 03:45,9614.35,2026-09-14,2026-09,585468622,2026-09-14 19:31,4296.84,M1_S20.1412
Naiya Doji,M15,2026-09-14 02:30,SELL,4340.06,4340.06,4342.09,4319.63,4336.0,False,40.72,7.53,0.01,-0.38,-0.57,0.3,8.55,1,SL,-2.03,2026-09-14 02:45,9603.7,2026-09-14,2026-09,585743498,2026-09-15 03:26,4297.91,M1_S20.1412
Naiya Doji,M15,2026-09-14 03:15,BUY,4327.24,4327.24,4291.71,4398.09,4398.3,False,38.94,9.11,0.01,-0.45,-0.61,3.93,11.8,46,SL,-35.53,2026-09-14 11:15,9568.17,2026-09-14,2026-09,585515968,2026-09-14 20:35,4283.39,M5_S20.1412
Naiya Doji,M15,2026-09-14 03:30,SELL,4340.06,4340.06,4342.09,4319.63,4336.0,False,62.37,9.04,0.01,-0.29,-0.44,7.0,18.36,2,SL,-2.03,2026-09-14 03:30,9104.25,2026-09-14,2026-09,585745463,2026-09-15 04:20,4294.34,M1_S20.1412
