[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_212 skipped - hour 16 != 10
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_213 skipped - hour 16 != 10
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_215 skipped - hour 16 != 22
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_216 skipped - hour 16 != 20
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_217 skipped - hour 16 != 15
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_218 skipped - risk_distance 5.47 > 2.00
[2026-07-27 17:47:06] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_220 skipped - hour 16 != 14
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_221 skipped - hour 16 != 9
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_222 skipped - hour 16 != 14
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_223 skipped - hour 16 != 13
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_224 skipped - hour 16 != 18
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_226 skipped - hour 16 != 9
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_227 skipped - hour 16 != 8
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_229 skipped - hour 16 != 15
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_230 skipped - hour 16 != 12
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_231 skipped - risk_distance 5.47 > 3.40
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_233 skipped - hour 16 != 12
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_234 skipped - hour 16 != 10
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_235 skipped - hour 16 != 9
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SIGNAL | LTS_AVENGERS_ULTRA_SAFE_236 SELL lot=0.50 sl=4100.836 tp=4086.41 rd=5.47 weight=50.000 scale=1.00 h=16 success=False ticket=None err=10016 — Invalid stops
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_238 skipped - hour 16 != 14
[2026-07-27 17:47:07] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_239 skipped - hour 16 != 11
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_241 skipped - hour 16 != 9
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_242 skipped - hour 16 != 20
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_244 skipped - risk_distance 8.46 > 7.00
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_246 skipped - risk_distance 5.47 > 2.00
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_247 skipped - hour 16 != 12
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_248 skipped - hour 16 != 17
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_250 skipped - hour 16 != 17
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_251 skipped - risk_distance 8.46 > 1.30
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_252 skipped - hour 16 != 9
[2026-07-27 17:47:08] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_253 skipped - hour 16 != 19
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_254 skipped - hour 16 != 19
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_259 skipped - hour 16 != 9
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_260 skipped - hour 16 != 12
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_262 skipped - hour 16 != 19
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_263 skipped - hour 16 != 17
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_267 skipped - hour 16 != 14
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_268 skipped - hour 16 != 21
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_270 skipped - hour 16 != 8
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_271 skipped - hour 16 != 10
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_272 skipped - risk_distance 5.47 > 2.70
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_276 skipped - hour 16 != 11
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_277 skipped - hour 16 != 12
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_278 skipped - hour 16 != 14
[2026-07-27 17:47:09] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_279 skipped - hour 16 != 14
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_280 skipped - hour 16 != 21
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_282 skipped - hour 16 != 15
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_283 skipped - hour 16 != 20
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_285 skipped - hour 16 != 15
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_286 skipped - hour 16 != 21
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_287 skipped - hour 16 != 11
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_290 skipped - hour 16 != 9
[2026-07-27 17:47:10] DEMO_PORTFOLIO_SIGNAL | LTS_AVENGERS_ULTRA_SAFE_291 BUY lot=0.01 sl=4086.41 tp=4101.076 rd=5.47 weight=0.362 scale=1.00 h=16 success=True ticket=3530717038 err=None
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_292 skipped - hour 16 != 13
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_293 skipped - hour 16 != 14
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_297 skipped - hour 16 != 10
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_298 skipped - hour 16 != 11
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_302 skipped - hour 16 != 22
[2026-07-27 17:47:11] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_ULTRA_SAFE_303 skipped - hour 16 != 11
