idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,range_atr_ratio,hour
3430,2026-02-24 15:00,BUY,BE,41.76,37.96,41.17,-20.43,1.56,-0.92,0.58,0.48,8.88,100.62,0.13,0.28,1.51,15
3476,2026-02-26 15:00,BUY,WIN,47.73,53.65,20.92,-8.27,1.98,0.35,0.34,0.43,10.75,87.96,0.11,0.55,2.81,15
3567,2026-03-04 14:00,SELL,WIN,52.61,35.17,22.02,-5.73,1.44,-0.2,0.44,0.6,-54.9,-31.37,0.37,0.19,1.49,14
3581,2026-03-05 05:00,SELL,BE,50.33,55.13,35.9,-2.63,0.75,-0.68,0.82,0.46,-35.01,-27.61,0.18,0.01,1.19,5
3752,2026-03-16 14:00,SELL,WIN,41.87,50.34,49.95,-4.27,1.43,-0.9,0.67,0.53,-61.44,-124.69,0.16,0.16,1.88,14
3753,2026-03-16 15:00,SELL,WIN,41.99,48.23,45.68,-1.67,1.15,-1.41,0.41,0.5,-67.85,-132.53,0.44,0.14,0.88,15
3766,2026-03-17 05:00,SELL,WIN,59.54,61.14,6.99,6.03,0.95,0.73,0.7,0.38,-17.78,-85.81,0.27,0.03,1.28,5
3767,2026-03-17 06:00,SELL,WIN,58.89,48.35,7.09,2.0,1.16,-0.01,0.6,0.37,-27.25,-95.44,0.12,0.28,0.94,6
3791,2026-03-18 07:00,SELL,WIN,44.99,41.41,35.5,0.39,0.73,-0.9,0.59,0.27,-20.5,-88.74,0.22,0.19,1.79,7
3991,2026-03-31 01:00,BUY,WIN,53.6,53.99,29.16,1.63,1.28,0.99,0.52,0.71,48.1,-32.64,0.01,0.47,2.03,1
4087,2026-04-07 05:00,BUY,WIN,41.65,56.94,26.52,-7.48,0.57,-0.31,0.53,0.45,-0.07,26.68,0.25,0.22,0.88,5
4100,2026-04-07 18:00,BUY,BE,56.96,65.57,26.91,-2.61,1.17,1.67,0.58,0.66,17.84,40.31,0.33,0.1,1.06,18
4175,2026-04-13 01:00,BUY,WIN,35.11,27.42,19.38,-20.02,0.85,-1.57,0.71,0.58,-48.9,-2.64,0.09,0.2,1.25,1
4314,2026-04-21 02:00,SELL,WIN,56.9,54.02,48.44,13.14,1.22,0.27,0.73,0.35,1.01,33.97,0.03,0.24,1.12,2
4466,2026-04-29 16:00,BUY,BE,38.9,37.9,39.53,-23.61,1.64,-1.19,0.36,0.47,-60.98,-141.42,0.5,0.14,1.06,16
4502,2026-05-01 06:00,SELL,BE,41.61,20.19,27.08,-0.95,0.54,-1.71,0.32,0.27,-1.12,-56.62,0.53,0.15,1.05,6
4604,2026-05-07 16:00,SELL,WIN,54.69,48.83,47.45,15.27,1.65,0.41,0.88,0.44,49.0,84.25,0.05,0.07,1.82,16
4605,2026-05-07 17:00,SELL,WIN,52.42,42.13,48.6,7.68,1.69,-0.25,0.57,0.45,33.43,69.35,0.02,0.41,1.17,17
4626,2026-05-08 15:00,SELL,WIN,54.38,54.76,21.76,7.5,1.56,0.16,0.88,0.48,15.02,57.29,0.05,0.07,1.6,15
4627,2026-05-08 16:00,SELL,WIN,44.86,44.95,20.86,-1.14,1.34,-0.46,0.47,0.47,5.95,47.98,0.27,0.27,0.85,16
4651,2026-05-11 17:00,SELL,WIN,59.19,76.64,46.53,7.62,1.07,1.13,0.62,0.47,19.77,50.01,0.05,0.33,1.14,17
4682,2026-05-13 02:00,SELL,WIN,53.39,71.59,45.05,-3.76,1.11,0.26,0.77,0.39,-1.45,24.48,0.14,0.09,0.87,2
4683,2026-05-13 03:00,SELL,WIN,43.78,45.76,44.04,-9.41,0.96,-0.33,0.53,0.39,-11.67,13.64,0.26,0.21,1.1,3
4775,2026-05-19 03:00,SELL,BE,48.89,57.04,16.76,-0.23,0.92,-0.6,0.94,0.44,-26.02,-85.67,0.0,0.06,0.88,3
4882,2026-05-25 18:00,SELL,WIN,53.47,43.01,37.39,-5.05,0.56,-0.01,0.58,0.24,19.15,-1.23,0.3,0.12,1.32,18
4886,2026-05-26 01:00,SELL,WIN,40.79,32.9,29.94,-16.52,1.48,-2.28,0.49,0.26,1.18,-16.51,0.02,0.49,1.71,1
4887,2026-05-26 02:00,SELL,WIN,38.89,21.27,30.08,-22.12,2.01,-2.93,0.56,0.28,-10.98,-28.83,0.02,0.41,1.75,2
5061,2026-06-04 15:00,SELL,WIN,55.09,52.16,40.49,6.91,1.77,-0.07,0.7,0.48,-8.07,-31.79,0.1,0.2,2.0,15
5083,2026-06-05 14:00,SELL,WIN,21.01,14.25,49.92,-34.19,2.18,-3.23,0.73,0.49,-95.08,-123.43,0.27,0.0,2.59,14
5122,2026-06-09 07:00,SELL,WIN,42.71,63.33,14.78,-0.12,0.92,-0.03,0.69,0.3,-24.57,-105.91,0.29,0.02,1.44,7
5129,2026-06-09 14:00,SELL,WIN,57.01,47.36,18.26,19.86,1.75,-0.48,0.32,0.36,-20.99,-100.6,0.58,0.1,2.46,14
5130,2026-06-09 15:00,SELL,WIN,40.89,26.69,16.26,-1.24,2.26,-3.05,0.49,0.44,-47.32,-127.58,0.12,0.38,3.01,15
5131,2026-06-09 16:00,SELL,WIN,22.64,17.77,15.53,-11.93,2.13,-3.39,0.71,0.48,-72.28,-153.94,0.04,0.25,1.91,16
5132,2026-06-09 17:00,SELL,WIN,19.31,9.3,17.23,-19.78,2.14,-3.07,0.46,0.53,-89.26,-172.83,0.19,0.35,1.97,17
5179,2026-06-11 18:00,BUY,WIN,72.07,76.33,14.74,18.38,1.36,3.07,0.73,0.69,3.84,-162.84,0.19,0.08,3.42,18
5224,2026-06-15 17:00,SELL,WIN,54.75,52.95,60.79,4.68,1.13,0.55,0.71,0.39,76.44,43.16,0.1,0.19,1.44,17
5244,2026-06-16 14:00,SELL,WIN,56.59,55.31,30.6,9.02,1.82,0.29,0.99,0.32,31.88,29.8,0.01,0.0,1.65,14
5272,2026-06-17 19:00,SELL,WIN,38.97,38.21,19.96,-12.74,2.73,-2.65,0.85,0.53,-37.85,-23.91,0.0,0.15,4.85,19
5273,2026-06-17 20:00,SELL,WIN,30.65,25.18,21.99,-24.08,2.34,-3.27,0.66,0.64,-84.72,-73.5,0.12,0.22,2.82,20
5322,2026-06-22 03:00,SELL,WIN,55.58,69.87,26.72,12.52,1.19,1.6,0.15,0.49,-19.47,-81.34,0.56,0.3,0.83,3
5323,2026-06-22 04:00,SELL,WIN,52.37,57.54,24.46,7.76,0.91,0.64,0.87,0.5,-34.85,-97.17,0.08,0.05,0.92,4
5491,2026-07-01 11:00,BUY,WIN,40.3,73.25,50.67,-21.91,0.79,-0.04,0.8,0.37,-10.5,-81.21,0.02,0.18,1.18,11
5549,2026-07-06 04:00,SELL,WIN,42.33,50.21,28.55,0.9,1.19,-1.59,0.59,0.39,31.72,65.38,0.14,0.27,0.96,4
5569,2026-07-07 01:00,SELL,WIN,51.85,33.79,23.15,-8.12,1.23,-0.83,0.64,0.3,1.25,36.45,0.32,0.04,1.38,1
5570,2026-07-07 02:00,SELL,WIN,40.4,12.04,25.58,-20.74,1.65,-1.16,0.19,0.32,-2.76,32.0,0.09,0.72,1.67,2
5583,2026-07-07 15:00,SELL,WIN,54.1,72.43,34.79,2.43,1.98,0.54,0.22,0.4,11.11,40.7,0.25,0.53,1.21,15
5584,2026-07-07 16:00,SELL,WIN,48.72,58.19,33.19,7.58,1.61,-0.33,0.77,0.4,-3.88,25.29,0.07,0.16,1.2,16
5745,2026-07-16 16:00,BUY,WIN,35.27,32.2,40.51,-15.89,1.43,-1.18,0.33,0.43,-29.51,-60.36,0.36,0.31,1.59,16
5766,2026-07-17 14:00,BUY,WIN,53.97,48.6,28.64,4.2,1.7,1.23,0.7,0.44,-11.5,-55.0,0.15,0.15,2.47,14
5768,2026-07-17 16:00,BUY,WIN,62.17,62.96,24.99,7.14,1.41,2.6,0.76,0.46,10.32,-32.22,0.09,0.14,1.27,16
5838,2026-07-22 17:00,SELL,OPEN,56.37,68.05,58.53,15.36,0.88,1.15,0.84,0.39,61.02,88.57,0.0,0.16,0.94,17
