idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,hour
3991,2026-03-31 01:00,BUY,WIN,53.6,53.99,29.16,1.63,1.28,0.99,0.52,0.71,48.1,-32.64,0.01,0.47,1
4087,2026-04-07 05:00,BUY,WIN,41.65,56.94,26.52,-7.48,0.57,-0.31,0.53,0.45,-0.07,26.68,0.25,0.22,5
4100,2026-04-07 18:00,BUY,BE,56.96,65.57,26.91,-2.61,1.17,1.67,0.58,0.66,17.84,40.31,0.33,0.1,18
4175,2026-04-13 01:00,BUY,WIN,35.11,27.42,19.38,-20.02,0.85,-1.57,0.71,0.58,-48.9,-2.64,0.09,0.2,1
4314,2026-04-21 02:00,SELL,WIN,56.9,54.02,48.44,13.14,1.22,0.27,0.73,0.35,1.01,33.97,0.03,0.24,2
4466,2026-04-29 16:00,BUY,BE,38.9,37.9,39.53,-23.61,1.64,-1.19,0.36,0.47,-60.98,-141.42,0.5,0.14,16
4502,2026-05-01 06:00,SELL,BE,41.61,20.19,27.08,-0.95,0.54,-1.71,0.32,0.27,-1.12,-56.62,0.53,0.15,6
4604,2026-05-07 16:00,SELL,WIN,54.69,48.83,47.45,15.27,1.65,0.41,0.88,0.44,49.0,84.25,0.05,0.07,16
4605,2026-05-07 17:00,SELL,WIN,52.42,42.13,48.6,7.68,1.69,-0.25,0.57,0.45,33.43,69.35,0.02,0.41,17
4626,2026-05-08 15:00,SELL,WIN,54.38,54.76,21.76,7.5,1.56,0.16,0.88,0.48,15.02,57.29,0.05,0.07,15
4627,2026-05-08 16:00,SELL,WIN,44.86,44.95,20.86,-1.14,1.34,-0.46,0.47,0.47,5.95,47.98,0.27,0.27,16
4651,2026-05-11 17:00,SELL,WIN,59.19,76.64,46.53,7.62,1.07,1.13,0.62,0.47,19.77,50.01,0.05,0.33,17
4682,2026-05-13 02:00,SELL,WIN,53.39,71.59,45.05,-3.76,1.11,0.26,0.77,0.39,-1.45,24.48,0.14,0.09,2
4683,2026-05-13 03:00,SELL,WIN,43.78,45.76,44.04,-9.41,0.96,-0.33,0.53,0.39,-11.67,13.64,0.26,0.21,3
4775,2026-05-19 03:00,SELL,BE,48.89,57.04,16.76,-0.23,0.92,-0.6,0.94,0.44,-26.02,-85.67,0.0,0.06,3
4882,2026-05-25 18:00,SELL,WIN,53.47,43.01,37.39,-5.05,0.56,-0.01,0.58,0.24,19.15,-1.23,0.3,0.12,18
4886,2026-05-26 01:00,SELL,WIN,40.79,32.9,29.94,-16.52,1.48,-2.28,0.49,0.26,1.18,-16.51,0.02,0.49,1
