Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
2026-09-15 12:00:00,2026-09-15 12:02:04,M5_S20.304,M5,BUY,63.349,63.318,0.01,-1.55,SL
2026-09-15 12:21:57,2026-09-15 12:22:02,M5_S20.304,M5,SELL,154.712,154.726,0.14,-1.27,SL
2026-09-15 12:39:16,2026-09-15 12:41:46,M5_S20.304,M5,SELL,1.1537,1.1539,0.14,-2.8,SL
2026-09-15 12:41:01,2026-09-15 13:25:14,M5_S20.304,M5,SELL,1.1538,1.1536,0.14,2.8,TP
2026-09-15 13:25:45,2026-09-15 13:25:45,M5_S20.304,M5,SELL,154.888,154.905,0.14,-1.54,SL
2026-09-15 13:36:38,2026-09-15 13:36:58,M1_S20.304,M1,BUY,4293.45,4293.87,0.01,0.42,TP
2026-09-15 13:32:31,2026-09-15 13:37:16,M15_S20.304,M15,BUY,4294.63,4292.94,0.01,-1.69,SL
2026-09-15 13:32:30,2026-09-15 13:37:49,M30_S20.304,M30,BUY,4295.05,4292.33,0.01,-2.72,SL
2026-09-15 13:09:13,2026-09-15 13:38:37,M5_S20.304,M5,BUY,1.3483,1.3481,0.11,-2.2,SL
2026-09-15 13:39:10,2026-09-15 13:39:16,M1_S20.304,M1,SELL,4293.33,4293.61,0.01,-0.28,SL
2026-09-15 13:36:24,2026-09-15 13:41:22,M5_S20.304,M5,SELL,154.906,154.843,0.14,5.7,TP
2026-09-15 13:57:33,2026-09-15 13:59:00,M5_S20.304,M5,BUY,4292.12,4291.25,0.01,-0.87,SL
2026-09-15 13:06:21,2026-09-15 14:01:54,M5_S20.304,M5,BUY,1.1536,1.1534,0.14,-2.8,SL
2026-09-15 13:44:22,2026-09-15 14:04:29,M5_S20.304,M5,SELL,1.3485,1.3477,0.11,8.47,TP
2026-09-15 14:02:00,2026-09-15 14:09:41,M5_S20.304,M5,BUY,1.1534,1.1532,0.14,-2.8,SL
2026-09-15 14:16:55,2026-09-15 14:17:10,M1_S20.304,M1,SELL,4291.0,4291.61,0.01,-0.61,SL
2026-09-15 14:23:35,2026-09-15 14:23:35,M5_S20.304,M5,SELL,63.234,63.259,0.01,-1.25,SL
2026-09-15 14:53:26,2026-09-15 14:56:00,M5_S20.304,M5,SELL,1.153,1.1532,0.14,-2.94,SL
2026-09-15 14:06:00,2026-09-15 15:00:06,H1_S20.304,H1,BUY,4288.38,4292.15,0.01,3.77,TP
2026-09-15 14:45:59,2026-09-15 15:01:06,M5_S20.304,M5,BUY,1.1528,1.1534,0.14,8.26,TP
2026-09-15 15:11:44,2026-09-15 15:11:46,M5_S20.304,M5,BUY,63.025,63.002,0.01,-1.15,SL
2026-09-15 15:43:16,2026-09-15 15:48:02,M5_S20.304,M5,SELL,1.1539,1.1541,0.14,-2.94,SL
2026-09-15 16:01:26,2026-09-15 16:03:05,M15_S20.304,M15,BUY,4273.19,4270.38,0.01,-2.81,SL
2026-09-15 16:01:26,2026-09-15 16:03:06,M30_S20.304,M30,BUY,4273.45,4269.89,0.01,-3.56,SL
2026-09-15 16:02:31,2026-09-15 16:04:21,M5_S20.304,M5,BUY,1.3473,1.3471,0.11,-2.53,SL
2026-09-15 16:01:26,2026-09-15 16:04:34,H1_S20.304,H1,BUY,4273.45,4269.08,0.01,-4.37,SL
2026-09-15 16:06:23,2026-09-15 16:06:53,M1_S20.304,M1,BUY,4266.3,4266.85,0.01,0.55,TP
2026-09-15 16:04:59,2026-09-15 16:08:52,M15_S20.304,M15,BUY,4266.31,4264.57,0.01,-1.74,SL
2026-09-15 16:04:59,2026-09-15 16:10:54,M30_S20.304,M30,BUY,4266.31,4263.96,0.01,-2.35,SL
2026-09-15 15:32:32,2026-09-15 16:11:24,M5_S20.304,M5,SELL,1.1539,1.1537,0.14,3.08,TP
2026-09-15 16:11:33,2026-09-15 16:13:41,M5_S20.304,M5,SELL,1.1537,1.1539,0.14,-3.08,SL
2026-09-15 16:15:06,2026-09-15 16:15:15,M5_S20.304,M5,SELL,4268.86,4269.9,0.01,-1.04,SL
2026-09-15 16:08:52,2026-09-15 16:28:59,H1_S20.304,H1,BUY,4264.63,4272.95,0.01,8.32,TP
2026-09-15 16:48:33,2026-09-15 16:49:09,M1_S20.304,M1,BUY,4266.88,4266.37,0.01,-0.51,SL
2026-09-15 16:44:27,2026-09-15 16:53:28,M5_S20.304,M5,BUY,1.1535,1.1533,0.14,-2.94,SL
2026-09-15 16:57:02,2026-09-15 16:57:22,M5_S20.304,M5,BUY,154.966,154.942,0.14,-2.17,SL
