Time (BKK),CloseTime (BKK),TF,Pattern,Type,RSI,ATR,dist_sma50,dist_sma200,body,range,Entry,SL,TP,Lot,P&L,Balance,Reason
2025-04-10 17:00,2025-04-10 17:00,H1,Div,SELL,76.66,16.98,3.19,2.52,3.52,20.47,3136.59,3170.77,2918.88,0.01,-34.18,10274.89,SL
2025-04-10 18:00,2025-04-11 00:00,H1,Div,SELL,70.47,16.02,3.11,2.52,0.36,13.07,3154.7,3188.65,2938.47,0.01,-33.95,10240.94,SL
2025-04-10 20:00,2025-04-11 02:00,H1,Div,SELL,73.08,16.48,3.38,2.97,10.6,17.54,3174.93,3206.96,2970.92,0.01,-32.03,10208.91,SL
2025-04-10 20:00,2025-04-11 02:00,H1,Div,SELL,73.08,16.48,3.38,2.97,10.6,17.54,3174.93,3206.56,2973.46,0.01,-31.63,10177.28,SL
2025-04-10 21:00,2025-04-11 02:00,H1,Div,SELL,73.41,15.68,3.19,2.87,2.44,8.38,3174.93,3208.55,2965.65,0.01,-33.62,10143.66,SL
2025-04-10 22:00,2025-04-11 02:00,H1,Div,SELL,74.84,15.71,3.23,3.02,4.96,7.87,3175.59,3206.95,2975.87,0.01,-31.36,10112.3,SL
2025-04-11 00:00,2025-04-11 02:00,H1,Div,SELL,87.21,15.52,3.52,3.43,9.57,13.07,3176.34,3207.8,2976.32,0.01,-31.46,10080.84,SL
2025-04-11 01:00,2025-04-11 02:00,H1,Div,SELL,90.33,15.33,3.39,3.41,0.11,8.32,3176.39,3207.42,2978.76,0.01,-31.03,10049.81,SL
2025-04-11 10:00,2025-04-16 00:00,H1,Div/FollowDiv,SELL,76.17,16.17,2.96,4.13,3.52,18.99,3219.92,3251.65,3017.82,0.01,-31.73,10018.08,SL
2025-04-11 10:00,2025-04-16 00:00,H1,Div,SELL,76.17,16.17,2.96,4.13,3.52,18.99,3219.92,3250.85,3022.96,0.01,-30.93,9987.15,SL
2025-04-11 10:00,2025-04-16 00:00,H1,Div,SELL,76.17,16.17,2.96,4.13,3.52,18.99,3219.92,3250.69,3023.97,0.01,-30.77,9956.38,SL
2025-04-11 10:00,2025-04-16 00:00,H1,Div,SELL,76.17,16.17,2.96,4.13,3.52,18.99,3219.92,3251.55,3018.51,0.01,-31.63,9924.75,SL
2025-04-11 14:00,2025-04-16 01:00,H1,FollowDiv,SELL,68.89,18.62,3.04,4.64,19.91,22.96,3230.02,3265.23,3005.76,0.01,-35.21,9889.54,SL
2025-04-21 20:00,2025-04-22 03:00,H1,FollowDiv,SELL,73.0,14.19,2.0,6.86,2.99,13.02,3430.28,3457.46,3257.19,0.01,-27.18,9862.36,SL
2025-04-23 14:00,2025-05-01 02:00,H1,FollowDiv,BUY,36.92,25.92,-3.58,0.01,33.2,42.38,3291.59,3240.45,3521.9,0.01,-51.14,9811.22,SL
2025-04-23 16:00,2025-05-01 10:00,H1,Div,BUY,25.4,25.71,-3.37,0.04,7.05,25.22,3271.28,3219.47,3504.59,0.01,-51.81,9759.41,SL
2025-05-01 01:00,2025-05-01 12:00,H1,Div,BUY,34.03,16.95,-1.91,-2.72,26.43,34.97,3260.14,3208.72,3491.72,0.01,-51.42,9707.99,SL
2025-05-01 10:00,2025-05-06 02:00,H1,FollowDiv,BUY,14.48,15.01,-2.21,-3.42,16.54,20.39,3221.24,3190.52,3359.6,0.01,138.36,9846.35,TP
2025-05-05 09:00,2025-05-05 10:00,H1,Div,SELL,78.36,12.06,1.26,-0.58,17.85,19.81,3272.33,3295.55,3124.45,0.01,-23.22,9823.13,SL
2025-05-05 10:00,2025-05-05 10:00,H1,Div,SELL,81.86,12.81,2.02,0.23,26.13,26.73,3272.33,3296.45,3118.74,0.01,-24.12,9799.01,SL
2025-05-05 11:00,2025-05-05 11:00,H1,Div,SELL,86.02,12.96,2.1,0.39,4.47,10.04,3282.95,3308.58,3119.74,0.01,-25.63,9773.38,SL
2025-05-05 12:00,2025-05-05 20:00,H1,Div,SELL,84.81,12.92,2.04,0.4,0.34,7.66,3308.96,3334.88,3143.89,0.01,-25.92,9747.46,SL
2025-05-05 13:00,2025-05-06 02:00,H1,Div,SELL,84.69,13.01,2.2,0.62,6.86,9.87,3318.58,3344.42,3154.03,0.01,-25.84,9721.62,SL
2025-05-05 14:00,2025-05-06 02:00,H1,Div,SELL,80.61,12.71,2.02,0.52,4.1,9.27,3318.97,3348.57,3156.84,0.01,-29.6,9692.02,SL
2025-05-05 15:00,2025-05-06 02:00,H1,Div,SELL,79.54,13.53,1.88,0.45,2.86,18.94,3322.55,3347.96,3160.69,0.01,-25.41,9666.61,SL
2025-05-05 19:00,2025-05-06 02:00,H1,Div,SELL,88.3,11.68,1.96,0.83,6.07,9.65,3322.55,3349.61,3150.21,0.01,-27.06,9639.55,SL
2025-05-05 20:00,2025-05-06 02:00,H1,Div,SELL,88.6,12.17,2.07,1.01,5.54,14.75,3328.84,3353.64,3170.89,0.01,-24.8,9614.75,SL
2025-05-05 20:00,2025-05-06 02:00,H1,Div,SELL,88.6,12.17,2.07,1.01,5.54,14.75,3328.84,3352.94,3175.35,0.01,-24.1,9590.65,SL
2025-05-06 16:00,2025-05-06 21:00,H1,FollowDiv,SELL,59.74,14.73,2.63,2.94,8.84,14.51,3397.57,3432.41,3175.69,0.01,-34.84,9555.81,SL
2025-05-08 03:00,2025-05-14 13:00,H1,Div,SELL,55.49,14.49,0.6,2.82,6.69,12.8,3398.05,3428.65,3203.14,0.01,194.91,9750.72,TP
2025-05-14 13:00,2025-05-15 03:00,H1,FollowDiv,BUY,22.57,13.21,-1.61,-3.47,35.36,38.35,3207.78,3166.83,3392.19,0.01,-40.95,9709.77,SL
2025-05-15 03:00,2025-05-15 05:00,H1,Div,BUY,21.87,16.13,-2.21,-4.32,18.34,25.57,3167.98,3138.39,3301.23,0.01,-29.59,9680.18,SL
2025-05-15 04:00,2025-05-15 05:00,H1,Div,BUY,23.82,15.34,-2.27,-4.42,3.47,8.72,3167.98,3135.72,3313.24,0.01,-32.26,9647.92,SL
2025-05-15 05:00,2025-05-20 18:00,H1,Div,BUY,28.96,13.82,-2.58,-4.76,11.59,17.1,3150.01,3117.61,3286.47,0.01,136.46,9784.38,TP
2025-05-15 06:00,2025-05-20 15:00,H1,Div,BUY,22.27,13.55,-2.82,-5.03,9.74,19.45,3148.29,3120.64,3272.79,0.01,124.5,9908.88,TP
2025-05-15 07:00,2025-05-20 14:00,H1,Div,BUY,37.07,14.85,-2.12,-4.39,20.78,33.16,3135.6,3108.5,3257.62,0.01,122.02,10030.9,TP
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3280.47,3054.37,0.01,-30.68,10000.22,SL
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3280.2,3056.1,0.01,-30.41,9969.81,SL
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3281.0,3051.03,0.01,-31.21,9938.6,SL
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3281.76,3046.2,0.01,-31.97,9906.63,SL
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3282.43,3041.93,0.01,-32.64,9873.99,SL
2025-05-20 13:00,2025-05-20 15:00,H1,Div,SELL,58.02,11.39,0.79,-0.36,1.68,15.99,3249.79,3282.58,3040.97,0.01,-32.79,9841.2,SL
2025-05-22 03:00,2025-05-23 12:00,H1,Div,SELL,69.6,11.63,1.88,2.94,2.96,8.19,3326.18,3349.64,3176.75,0.01,-23.46,9817.74,SL
2025-05-22 04:00,2025-06-02 14:00,H1,Div,SELL,65.15,11.67,1.65,2.76,5.76,10.54,3342.99,3366.24,3194.9,0.01,-23.25,9794.49,SL
2025-05-23 07:00,2025-05-23 13:00,H1,Div,SELL,71.95,11.44,0.62,2.66,7.39,8.91,3331.19,3356.4,3170.63,0.01,-25.21,9769.28,SL
2025-05-23 08:00,2025-05-23 13:00,H1,Div,SELL,72.23,10.76,0.54,2.6,1.89,7.65,3329.91,3352.8,3184.15,0.01,-22.89,9746.39,SL
2025-05-23 10:00,2025-05-23 13:00,H1,Div,SELL,72.7,10.09,0.5,2.56,2.39,9.1,3332.01,3353.53,3194.96,0.01,-21.52,9724.87,SL
2025-05-23 12:00,2025-05-23 13:00,H1,Div,SELL,84.37,11.46,1.05,3.12,19.43,25.28,3334.38,3354.9,3203.69,0.01,-20.52,9704.35,SL
2025-05-23 12:00,2025-05-23 13:00,H1,Div,SELL,84.37,11.46,1.05,3.12,19.43,25.28,3334.38,3354.56,3205.85,0.01,-20.18,9684.17,SL
2025-05-23 12:00,2025-05-23 13:00,H1,Div,SELL,84.37,11.46,1.05,3.12,19.43,25.28,3334.38,3354.85,3204.0,0.01,-20.47,9663.7,SL
2025-05-23 12:00,2025-06-02 14:00,H1,Div,SELL,84.37,11.46,1.05,3.12,19.43,25.28,3345.42,3366.54,3210.91,0.01,-21.12,9642.58,SL
2025-05-23 12:00,2025-06-02 14:00,H1,Div,SELL,84.37,11.46,1.05,3.12,19.43,25.28,3345.42,3366.42,3211.71,0.01,-21.0,9621.58,SL
2025-05-23 13:00,2025-05-23 13:00,H1,Div,SELL,85.16,12.15,1.3,3.37,8.95,15.57,3334.38,3357.3,3188.4,0.01,-22.92,9598.66,SL
2025-05-23 14:00,2025-06-02 14:00,H1,Div,SELL,69.92,13.57,0.77,2.83,17.0,27.35,3349.82,3374.11,3195.12,0.01,-24.29,9574.369999999999,SL
2025-05-23 16:00,2025-06-03 00:00,H1,Div,SELL,74.2,13.63,1.36,3.45,2.34,10.2,3360.46,3387.59,3187.66,0.01,-27.13,9547.24,SL
2025-05-23 18:00,2025-06-03 00:00,H1,Div,SELL,77.66,13.31,1.33,3.45,3.71,9.41,3364.64,3391.95,3190.72,0.01,-27.31,9519.93,SL
2025-05-23 18:00,2025-06-03 00:00,H1,Div,SELL,77.66,13.31,1.33,3.45,3.71,9.41,3364.64,3391.9,3191.03,0.01,-27.26,9492.67,SL
2025-05-23 18:00,2025-06-03 00:00,H1,Div,SELL,77.66,13.31,1.33,3.45,3.71,9.41,3364.64,3390.9,3197.37,0.01,-26.26,9466.41,SL
2025-05-23 19:00,2025-06-03 00:00,H1,Div,SELL,74.54,12.63,1.27,3.41,0.63,4.78,3364.64,3391.26,3195.09,0.01,-26.62,9439.789999999999,SL
2025-05-23 20:00,2025-06-03 00:00,H1,Div,SELL,70.57,12.23,1.2,3.34,1.25,7.47,3365.88,3391.15,3204.97,0.01,-25.27,9414.52,SL
2025-05-27 15:00,2025-05-29 00:00,H1,FollowDiv,BUY,23.56,13.63,-1.03,0.97,4.61,17.95,3287.82,3262.92,3399.97,0.01,-24.9,9389.619999999999,SL
2025-06-02 07:00,2025-06-02 08:00,H1,FollowDiv,SELL,83.4,11.02,1.36,1.14,20.66,21.66,3330.73,3353.7,3184.47,0.01,-22.97,9366.65,SL
2025-06-02 07:00,2025-06-02 08:00,H1,FollowDiv,SELL,83.4,11.02,1.36,1.14,20.66,21.66,3330.73,3350.97,3201.86,0.01,-20.24,9346.41,SL
2025-06-02 14:00,2025-06-03 00:00,H1,Div,SELL,85.08,11.94,1.81,1.79,15.38,25.75,3365.89,3390.34,3210.15,0.01,-24.45,9321.96,SL
2025-06-02 14:00,2025-06-03 00:00,H1,FollowDiv,SELL,85.08,11.94,1.81,1.79,15.38,25.75,3365.89,3386.01,3237.76,0.01,-20.12,9301.84,SL
2025-06-05 11:00,2025-06-13 01:00,H1,FollowDiv,SELL,69.59,8.71,1.09,2.06,10.36,12.19,3392.1,3411.58,3268.04,0.01,-19.48,9282.36,SL
2025-06-05 12:00,2025-06-13 01:00,H1,Div,SELL,64.18,9.23,0.84,1.82,7.72,11.73,3391.33,3408.74,3280.44,0.01,-17.41,9264.95,SL
2025-06-13 01:00,2025-06-13 02:00,H1,Div,SELL,81.84,12.79,1.79,1.97,20.33,28.12,3398.91,3422.61,3247.95,0.01,-23.7,9241.25,SL
2025-06-13 02:00,2025-06-13 02:00,H1,Div,SELL,82.39,13.29,2.07,2.3,11.11,19.42,3398.91,3424.5,3235.96,0.01,-25.59,9215.66,SL
2025-06-13 03:00,2025-06-13 14:00,H1,Div,SELL,81.75,13.0,2.41,2.69,13.82,19.32,3419.92,3446.49,3250.7,0.01,-26.57,9189.09,SL
2025-06-13 04:00,2025-06-27 14:00,H1,Div,SELL,71.99,13.36,1.88,2.2,15.82,20.56,3433.33,3459.32,3267.78,0.01,165.55,9354.64,TP
2025-06-13 14:00,2025-06-27 07:00,H1,Div,SELL,68.22,15.09,1.68,2.4,0.24,12.76,3444.44,3469.03,3287.84,0.01,156.6,9511.24,TP
2025-06-13 14:00,2025-06-27 11:00,H1,Div,SELL,68.22,15.09,1.68,2.4,0.24,12.76,3444.44,3470.25,3280.04,0.01,164.4,9675.64,TP
2025-06-13 14:00,2025-06-27 12:00,H1,Div/FollowDiv,SELL,68.22,15.09,1.68,2.4,0.24,12.76,3444.44,3470.46,3278.7,0.01,165.74,9841.38,TP
2025-06-13 14:00,2025-06-27 13:00,H1,Div,SELL,68.22,15.09,1.68,2.4,0.24,12.76,3444.12,3470.85,3273.89,0.01,170.23,10011.609999999999,TP
2025-06-16 01:00,2025-06-24 14:00,H1,Div,SELL,58.05,11.54,1.13,2.3,7.84,16.98,3446.76,3469.09,3304.57,0.01,142.19,10153.8,TP
2025-06-27 04:00,2025-06-27 13:00,H1,FollowDiv,BUY,22.46,10.29,-1.03,-2.02,14.48,18.3,3295.49,3272.1,3400.84,0.01,-23.39,10130.41,SL
2025-06-27 04:00,2025-06-27 13:00,H1,FollowDiv,BUY,22.46,10.29,-1.03,-2.02,14.48,18.3,3295.49,3275.94,3383.55,0.01,-19.55,10110.859999999999,SL
2025-07-07 12:00,2025-07-09 10:00,H1,FollowDiv,BUY,27.28,9.66,-0.9,-0.62,6.87,14.29,3300.66,3283.29,3378.9,0.01,-17.37,10093.49,SL
2025-07-08 16:00,2025-07-21 14:00,H1,FollowDiv,BUY,20.2,8.26,-0.86,-0.8,18.66,21.47,3296.42,3276.09,3387.97,0.01,91.55,10185.039999999999,TP
2025-07-09 04:00,2025-07-11 16:00,H1,Div,BUY,25.37,9.05,-0.87,-0.99,13.18,16.49,3287.16,3270.62,3361.64,0.01,74.48,10259.52,TP
2025-07-09 04:00,2025-07-11 16:00,H1,Div,BUY,25.37,9.05,-0.87,-0.99,13.18,16.49,3287.16,3270.35,3362.88,0.01,75.72,10335.24,TP
2025-07-09 04:00,2025-07-11 17:00,H1,Div,BUY,25.37,9.05,-0.87,-0.99,13.18,16.49,3287.16,3269.18,3368.13,0.01,80.97,10416.21,TP
2025-07-09 04:00,2025-07-11 17:00,H1,Div,BUY,25.37,9.05,-0.87,-0.99,13.18,16.49,3287.16,3269.3,3367.58,0.01,80.42,10496.63,TP
2025-07-09 04:00,2025-07-11 17:00,H1,Div,BUY,25.37,9.05,-0.87,-0.99,13.18,16.49,3287.16,3270.06,3364.17,0.01,77.01,10573.64,TP
2025-07-09 05:00,2025-07-11 17:00,H1,Div,BUY,26.94,9.38,-0.71,-0.84,4.81,9.73,3287.16,3269.05,3368.7,0.01,81.54,10655.18,TP
2025-07-09 08:00,2025-07-14 00:00,H1,Div,BUY,44.22,7.42,-0.69,-0.85,2.9,7.04,3286.42,3267.65,3370.94,0.01,84.52,10739.699999999999,TP
2025-07-09 10:00,2025-07-11 17:00,H1,Div,BUY,28.56,7.48,-0.89,-1.06,6.75,9.93,3285.0,3267.47,3363.92,0.01,78.92,10818.619999999999,TP
2025-07-17 15:00,2025-07-21 16:00,H1,Div,BUY,24.89,8.55,-0.54,-0.36,5.99,10.7,3322.39,3306.12,3395.65,0.01,73.26,10891.88,TP
2025-07-22 14:00,2025-07-22 15:00,H1,FollowDiv,SELL,57.36,6.62,1.0,1.76,16.31,16.71,3401.43,3415.44,3312.2,0.01,-14.01,10877.869999999999,SL
2025-07-23 11:00,2025-07-25 17:00,H1,Div,SELL,51.75,6.51,0.82,2.14,2.65,5.53,3433.52,3449.9,3329.2,0.01,104.32,10982.189999999999,TP
2025-07-25 16:00,2025-07-28 15:00,H1,FollowDiv,BUY,11.63,7.67,-1.23,-1.01,12.2,14.21,3336.5,3322.47,3399.67,0.01,-14.03,10968.16,SL
2025-07-28 15:00,2025-07-28 15:00,H1,FollowDiv,BUY,26.97,8.66,-1.38,-1.85,26.09,28.72,3323.83,3310.13,3385.51,0.01,-13.7,10954.46,SL
2025-07-28 15:00,2025-07-30 17:00,H1,Div,BUY,26.97,8.66,-1.38,-1.85,26.09,28.72,3309.83,3292.73,3386.83,0.01,-17.1,10937.359999999999,SL
2025-07-28 16:00,2025-07-28 16:00,H1,Div,BUY,32.63,9.0,-1.17,-1.68,5.65,12.99,3323.83,3306.51,3401.83,0.01,-17.32,10920.039999999999,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.89,3283.89,3382.95,0.01,-18.0,10902.039999999999,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.81,3284.55,3379.52,0.01,-17.26,10884.779999999999,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div/FollowDiv,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.81,3284.43,3380.07,0.01,-17.38,10867.4,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.81,3284.48,3379.87,0.01,-17.33,10850.07,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.81,3285.26,3376.36,0.01,-16.55,10833.52,SL
2025-07-30 15:00,2025-07-30 20:00,H1,Div,BUY,29.82,8.2,-0.55,-1.72,10.07,17.65,3301.81,3285.74,3374.16,0.01,-16.07,10817.449999999999,SL
2025-08-26 02:00,2025-08-27 18:00,H1,FollowDiv,SELL,61.36,7.46,0.8,1.15,28.38,35.16,3378.8,3396.43,3266.55,0.01,-17.63,10799.82,SL
2025-08-29 21:00,2025-09-01 04:00,H1,FollowDiv,SELL,81.08,7.97,1.26,2.54,9.89,12.41,3449.33,3463.91,3356.46,0.01,-14.58,10785.24,SL
2025-09-02 03:00,2025-09-02 16:00,H1,Div,SELL,72.35,7.97,1.46,3.29,18.52,31.71,3489.82,3513.41,3339.56,0.01,-23.59,10761.65,SL
2025-09-02 03:00,2025-09-02 16:00,H1,Div,SELL,72.35,7.97,1.46,3.29,18.52,31.71,3489.82,3512.86,3343.09,0.01,-23.04,10738.609999999999,SL
2025-09-02 03:00,2025-09-02 16:00,H1,Div,SELL,72.35,7.97,1.46,3.29,18.52,31.71,3489.82,3512.48,3345.51,0.01,-22.66,10715.949999999999,SL
2025-09-02 03:00,2025-09-02 16:00,H1,Div,SELL,72.35,7.97,1.46,3.29,18.52,31.71,3489.82,3512.84,3343.21,0.01,-23.02,10692.93,SL
2025-09-02 16:00,2025-09-02 18:00,H1,FollowDiv,SELL,66.95,13.12,1.27,3.39,21.8,24.98,3508.79,3526.68,3394.85,0.01,-17.89,10675.039999999999,SL
2025-09-02 17:00,2025-09-02 21:00,H1,Div,SELL,63.35,11.63,1.47,3.63,9.28,10.79,3508.79,3535.03,3341.65,0.01,-26.24,10648.8,SL
2025-09-02 19:00,2025-09-03 02:00,H1,Div,SELL,68.72,11.87,1.58,3.84,1.49,8.26,3520.45,3543.89,3371.14,0.01,-23.44,10625.359999999999,SL
2025-09-02 20:00,2025-09-03 15:00,H1,Div,SELL,67.45,12.0,1.49,3.78,1.0,6.8,3528.78,3553.87,3378.98,0.01,-25.09,10600.269999999999,SL
2025-09-02 21:00,2025-09-03 15:00,H1,Div,SELL,72.85,12.42,1.68,4.01,8.69,11.68,3530.14,3554.14,3377.3,0.01,-24.0,10576.269999999999,SL
2025-09-02 22:00,2025-09-03 15:00,H1,Div,SELL,76.29,11.84,1.53,3.88,3.29,4.41,3532.14,3556.98,3373.94,0.01,-24.84,10551.43,SL
2025-09-03 02:00,2025-09-03 16:00,H1,Div,SELL,82.16,11.81,1.45,3.86,6.05,18.82,3540.04,3563.72,3389.23,0.01,-23.68,10527.75,SL
2025-09-03 02:00,2025-09-03 16:00,H1,Div,SELL,82.16,11.81,1.45,3.86,6.05,18.82,3540.04,3562.24,3398.66,0.01,-22.2,10505.55,SL
2025-09-03 02:00,2025-09-03 16:00,H1,Div,SELL,82.16,11.81,1.45,3.86,6.05,18.82,3540.04,3561.61,3402.69,0.01,-21.57,10483.98,SL
2025-09-03 03:00,2025-09-03 16:00,H1,Div,SELL,80.88,11.8,1.47,3.91,2.74,9.8,3540.04,3563.66,3389.58,0.01,-23.62,10460.359999999999,SL
2025-09-03 13:00,2025-09-03 18:00,H1,FollowDiv,SELL,60.36,9.17,1.28,3.87,7.59,9.74,3546.89,3570.94,3393.71,0.01,-24.05,10436.31,SL
2025-09-05 14:00,2025-09-05 16:00,H1,FollowDiv,SELL,78.21,9.64,0.84,3.42,27.02,37.94,3576.05,3595.54,3451.93,0.01,-19.49,10416.82,SL
2025-09-05 14:00,2025-09-05 18:00,H1,FollowDiv,SELL,78.21,9.64,0.84,3.42,27.02,37.94,3578.47,3599.22,3446.35,0.01,-20.75,10396.07,SL
2025-09-09 06:00,2025-09-09 16:00,H1,FollowDiv,SELL,69.09,8.43,1.52,4.23,8.99,11.37,3654.55,3672.19,3542.21,0.01,-17.64,10378.43,SL
2025-09-09 15:00,2025-09-15 17:00,H1,FollowDiv,SELL,72.66,10.78,1.33,4.19,18.63,21.9,3659.34,3676.38,3550.82,0.01,-17.04,10361.39,SL
2025-09-09 15:00,2025-09-15 17:00,H1,Div,SELL,72.66,10.78,1.33,4.19,18.63,21.9,3659.34,3678.88,3534.89,0.01,-19.54,10341.849999999999,SL
2025-09-09 16:00,2025-09-15 17:00,H1,Div,SELL,53.74,12.99,0.7,3.56,21.16,38.46,3659.34,3680.89,3522.1,0.01,-21.55,10320.3,SL
2025-09-15 15:00,2025-09-15 17:00,H1,Div,SELL,66.31,8.81,0.43,1.37,6.82,17.34,3657.57,3675.01,3546.53,0.01,-17.44,10302.859999999999,SL
2025-09-15 17:00,2025-09-16 08:00,H1,Div,SELL,80.38,9.52,1.01,1.98,17.05,18.8,3674.58,3690.73,3571.73,0.01,-16.15,10286.71,SL
2025-09-15 17:00,2025-09-16 08:00,H1,Div,SELL,80.38,9.52,1.01,1.98,17.05,18.8,3674.58,3690.99,3570.07,0.01,-16.41,10270.3,SL
2025-09-15 17:00,2025-09-16 10:00,H1,FollowDiv,SELL,80.38,9.52,1.01,1.98,17.05,18.8,3668.28,3694.26,3502.81,0.01,-25.98,10244.32,SL
2025-09-16 02:00,2025-09-17 20:00,H1,FollowDiv,SELL,82.96,8.88,0.96,1.97,9.43,10.55,3685.63,3704.75,3563.88,0.01,-19.12,10225.199999999999,SL
2025-09-23 10:00,2025-09-23 11:00,H1,FollowDiv,SELL,68.61,9.64,1.81,2.85,21.0,22.08,3759.23,3778.2,3638.43,0.01,-18.97,10206.23,SL
2025-09-29 04:00,2025-09-29 07:00,H1,Div,SELL,67.94,13.25,1.07,2.07,14.17,21.01,3791.09,3814.41,3642.57,0.01,-23.32,10182.91,SL
2025-09-29 04:00,2025-09-29 08:00,H1,Div,SELL,67.94,13.25,1.07,2.07,14.17,21.01,3791.09,3815.29,3636.99,0.01,-24.2,10158.71,SL
2025-09-29 04:00,2025-09-29 08:00,H1,Div,SELL,67.94,13.25,1.07,2.07,14.17,21.01,3791.09,3814.68,3640.87,0.01,-23.59,10135.119999999999,SL
2025-10-01 04:00,2025-10-01 10:00,H1,FollowDiv,SELL,74.86,12.86,0.86,2.95,5.44,17.1,3870.38,3889.08,3751.29,0.01,-18.7,10116.42,SL
2025-10-02 15:00,2025-10-06 04:00,H1,FollowDiv,SELL,59.67,10.16,0.31,2.26,9.27,23.3,3895.27,3922.83,3719.76,0.01,-27.56,10088.859999999999,SL
2025-10-06 04:00,2025-10-06 10:00,H1,FollowDiv,SELL,79.66,13.4,1.32,2.81,3.03,7.15,3920.67,3946.33,3757.27,0.01,-25.66,10063.199999999999,SL
2025-10-07 00:00,2025-10-08 01:00,H1,Div,SELL,69.62,13.09,1.59,3.47,2.84,17.25,3970.08,3995.89,3805.7,0.01,-25.81,10037.39,SL
2025-10-07 01:00,2025-10-08 02:00,H1,Div,SELL,72.2,12.86,1.69,3.6,6.04,10.89,3970.08,3996.27,3803.28,0.01,-26.19,10011.199999999999,SL
2025-10-07 02:00,2025-10-08 04:00,H1,Div,SELL,65.08,13.41,1.46,3.4,6.77,15.93,3976.21,4001.93,3812.38,0.01,-25.72,9985.48,SL
2025-10-07 06:00,2025-10-08 04:00,H1,FollowDiv,SELL,72.13,11.69,1.57,3.64,2.72,5.46,3976.21,4003.02,3805.46,0.01,-26.81,9958.67,SL
2025-10-07 14:00,2025-10-08 04:00,H1,Div,SELL,58.11,12.0,1.22,3.49,12.44,15.6,3977.45,4003.05,3814.41,0.01,-25.6,9933.07,SL
