signal,outcome,signal_time_ts,fill_time_ts,exit_time_ts,entry,tp,sl,exit_price,risk_distance,diff_usd_per_001lot,spread,lot,risk_pct_used,risk_usd,pnl_usd,equity_after
BUY,TP,1779279900,1779279900,1779284100,4496.05,4504.32,4487.78,4504.32,8.27,8.27,0.2,0.01,0.5,4.83,8.07,974.53
SELL,TP,1779366300,1779366300,1779369900,4515.91,4505.77,4526.05,4505.77,10.14,10.14,0.2,0.01,0.5,4.87,9.94,984.47
SELL,SL,1779374100,1779374100,1779375000,4493.97,4481.39,4506.55,4506.55,12.58,-12.58,0.2,0.01,0.5,4.92,-12.78,971.69
SELL,SL,1779381900,1779381900,1779382800,4506.86,4498.66,4515.06,4515.06,8.2,-8.2,0.2,0.01,0.5,4.86,-8.4,963.29
SELL,TP,1779441300,1779441300,1779444900,4524.75,4516.09,4533.41,4516.09,8.66,8.66,0.2,0.01,0.5,4.82,8.46,971.75
SELL,SL,1779454800,1779454800,1779455400,4520.66,4514.12,4527.2,4527.2,6.54,-6.54,0.2,0.01,0.5,4.86,-6.74,965.01
SELL,TP,1779456300,1779456300,1779460800,4527.39,4514.96,4539.82,4514.96,12.43,12.43,0.2,0.01,0.5,4.83,12.23,977.24
SELL,TP,1779460800,1779460800,1779462000,4519.84,4508.03,4531.65,4508.03,11.81,11.81,0.2,0.01,0.5,4.89,11.61,988.85
SELL,SL,1779462900,1779462900,1779467100,4497.71,4478.65,4516.77,4516.77,19.06,-19.06,0.2,0.01,0.5,4.94,-19.26,969.59
BUY,SL,1779711300,1779711300,1779714000,4572.16,4578.6,4565.72,4565.72,6.44,-6.44,0.2,0.01,0.5,4.85,-6.64,962.95
BUY,SL,1779712500,1779712500,1779714000,4573.34,4579.13,4567.55,4567.55,5.79,-5.79,0.2,0.01,0.5,4.81,-5.99,956.96
SELL,TP,1779886200,1779886200,1779886500,4439.13,4428.16,4450.1,4428.16,10.97,10.97,0.2,0.01,0.5,4.78,10.77,967.73
SELL,TP,1779889500,1779889500,1779890400,4447.12,4433.46,4460.78,4433.46,13.66,13.66,0.2,0.01,0.5,4.84,13.46,981.19
SELL,SL,1779895500,1779895500,1779922800,4444.31,4424.72,4463.9,4463.9,19.59,-19.59,0.2,0.01,0.5,4.91,-19.79,961.4
SELL,SL,1779897600,1779897600,1779902700,4433.95,4420.83,4447.07,4447.07,13.12,-13.12,0.2,0.01,0.5,4.81,-13.32,948.08
SELL,SL,1779958200,1779958200,1779963600,4388.07,4381.06,4395.08,4395.08,7.01,-7.01,0.2,0.01,0.5,4.74,-7.21,940.87
BUY,SL,1780073700,1780073700,1780087500,4569.01,4587.9,4550.12,4550.12,18.89,-18.89,0.2,0.01,0.5,4.7,-19.09,921.78
