Order,Type,User_Pattern_1,User_TF_1,User_Pattern_2,User_TF_2,User_Pattern_3,User_TF_3,Bot_Found_Pattern,Match_Status,User_TF,Bot_TF,Bot_PnL,User_Time,Bot_Time,Time_Diff_Hrs,User_Entry,Bot_Entry,Price_Diff,User_SL,Bot_SL,User_TP,Bot_TP,Outcome
23,SELL,ATR,D1,FVG,D1,Div,H1,FVG/Fibo,Match,D1,H1,36360.0,2026-06-18 00:00,2026-06-18 02:00,2.0,4380.0,4293.91,86.09,4387.0,4361.45,3971.0,4112.11,TP
24,SELL,แนวต้าน,H1,นัยยะ,H1,,,Naiya,Match,H1,H1,38290.0,2026-06-23 21:00,2026-06-23 03:00,-18.0,4143.0,4198.29,55.29,4150.0,4236.58,4007.0,4006.84,TP
25,BUY,ATR,D1,,,,,Fibo/ATR,Match,D1,M30,-8994.0,2026-06-25 01:00,2026-06-25 21:30,20.5,3961.0,4023.77,62.77,3953.0,3978.8,4089.0,4135.7,SL
26,SELL,MA12,H1,,,,,Fibo,Match,H1,M15,11768.0,2026-06-29 20:00,2026-06-29 10:30,-9.5,4051.0,4063.51,12.51,4054.0,4083.08,3962.0,4004.67,TP
27,BUY,ไม่ทราบ,H1,,,,,Fibo,Match,H1,H1,-8610.0,2026-06-30 12:00,2026-06-30 02:00,-10.0,3975.0,4004.05,29.05,3971.0,3961.0,4052.0,4126.28,SL
28,SELL,ATR,H1,,,,,FVG,No Match,H1,H1,-8118.0,2026-06-30 21:00,2026-07-01 15:00,18.0,4063.0,4063.4,0.4,4065.0,4103.99,3971.0,3868.08,SL
29,BUY,Follow Div ไม่แน่ใจ TF,H1,,,,,Fibo,Match,H1,H1,28936.0,2026-07-01 15:00,2026-07-01 06:00,-9.0,3974.0,3972.53,1.47,3969.0,3929.33,4087.0,4117.21,TP
30,SELL,ราคากินไส้ ไม่แน่ใจ TF,H1,,,,,GapSweep,Match,H1,H1,19698.0,2026-07-07 20:00,2026-07-07 15:00,-5.0,4177.0,4179.75,2.75,4180.0,4212.58,3952.0,4081.26,TP
31,BUY,นัยยะ,H12,,,,,Naiya,Match,H12,M30,-6552.0,2026-07-08 22:00,2026-07-09 03:00,5.0,4023.0,4069.7,46.7,4020.0,4036.94,4137.0,4233.48,SL
32,BUY,Doji,H1,ATR,H1,,,Fibo,No Match,H1,H1,-7032.0,2026-07-10 21:00,2026-07-10 10:00,-11.0,4072.0,4097.12,25.12,4070.0,4061.96,4120.0,4252.4,SL
33,SELL,ATR,H1,,,,,GapSweep,No Match,H1,H1,22566.0,2026-07-14 22:00,2026-07-14 17:00,-5.0,4096.0,4091.09,4.91,4100.0,4128.7,3963.0,3978.26,TP
34,SELL,FVG,H1,,,,,FVG,Match,H1,H1,18286.0,2026-07-16 19:00,2026-07-15 20:00,-23.0,4038.0,4073.96,35.96,4045.0,4113.46,3966.0,3982.53,TP
35,BUY,ATR,H1,กินไส้,D1,,,ATR,Match,D1,M15,-4152.0,2026-07-22 22:00,2026-07-23 03:45,5.75,3964.0,4116.58,152.58,3959.0,4095.82,4147.0,4156.19,SL
36,SELL,ATR,H1,Div,H1,Fibo,M30,FVG/Fibo,Match,H1,H1,19178.0,2026-07-22 22:00,2026-07-23 03:00,5.0,4160.0,4133.3,26.7,4168.0,4172.17,3923.0,4037.41,TP
