bt_entry,bt_fill_ts,bt_pnl,bt_reason,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,entry_diff,live_entry,live_fill_ts,live_pnl,live_reason,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_ticket,pnl_diff,status,time_diff_min
,,,,,,,,,4517.24,2026-05-29 14:30:04,5.63,M15_S14_SE,2.37,3.26,0.0,0.0,SELL,534446672,,LIVE_ONLY,
,,,,,,,,,4538.15,2026-05-29 22:00:04,12.549999999999999,M15_S14_SS,2.44,3.59,6.52,0.0,SELL,534769001,,LIVE_ONLY,
,,,,,,,,,4565.4,2026-05-30 00:55:04,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,534999985,,LIVE_ONLY,
,,,,,,,,,4494.45,2026-06-01 15:50:03,12.48,M15_S14_BE,2.55,3.3,6.63,0.0,BUY,535426240,,LIVE_ONLY,
,,,,,,,,,4496.33,2026-06-01 15:55:03,11.920000000000002,M15_S14_BE,2.15,3.24,6.53,0.0,BUY,535430457,,LIVE_ONLY,
,,,,,,,,,4496.18,2026-06-01 16:15:02,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,535446498,,LIVE_ONLY,
,,,,,,,,,4496.06,2026-06-01 16:30:02,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,535454707,,LIVE_ONLY,
,,,,,,,,,4498.49,2026-06-01 17:45:02,5.79,M15_S14_BS,2.39,3.4,0.0,0.0,BUY,535496868,,LIVE_ONLY,
,,,,,,,,,4482.69,2026-06-02 08:00:02,2.08,M15_S14_BS,2.08,0.0,0.0,0.0,BUY,535983496,,LIVE_ONLY,
,,,,,,,,,4488.27,2026-06-02 11:15:01,2.12,M15_S14_SS,2.12,0.0,0.0,0.0,SELL,536066622,,LIVE_ONLY,
,,,,,,,,,4533.45,2026-06-02 14:30:03,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,536171021,,LIVE_ONLY,
,,,,,,,,,4534.69,2026-06-02 15:04:16,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,536189636,,LIVE_ONLY,
,,,,,,,,,4527.95,2026-06-02 20:30:03,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,536314418,,LIVE_ONLY,
,,,,,,,,,4525.14,2026-06-02 20:45:02,0.0,OPEN,0.0,0.0,0.0,0.0,SELL,536324782,,LIVE_ONLY,
,,,,,,,,,4457.24,2026-06-03 16:45:03,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,536842872,,LIVE_ONLY,
,,,,,,,,,4330.9,2026-06-06 00:07:46,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,538674085,,LIVE_ONLY,
,,,,,,,,,4318.43,2026-06-06 04:00:01,0.0,OPEN,0.0,0.0,0.0,0.0,BUY,538774748,,LIVE_ONLY,
4402.14,2026-05-28 09:30:00,-30.8,EXIT_COLOR,0.0,0.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4394.51,2026-05-28 09:45:00,-38.3,SL,2.0,3.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4495.19,2026-06-02 10:15:00,-4.21,EXIT_COLOR,2.0,0.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4474.41,2026-06-03 06:45:00,32.0,TP,2.0,3.0,6.0,21.0,,,,,,,,,,,,,BACKTEST_ONLY,
4457.02,2026-06-03 12:45:00,-4.9,SL,2.0,3.0,6.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4469.57,2026-06-03 14:00:00,-53.48,EXIT_COLOR,0.0,0.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4442.51,2026-06-03 15:45:00,0.98,SL,2.0,3.0,6.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4434.05,2026-06-04 05:15:00,36.56,TP,2.0,3.0,6.0,25.56,,,,,,,,,,,,,BACKTEST_ONLY,
4448.32,2026-06-04 07:30:00,4.76,EXIT_COLOR,2.0,3.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4448.49,2026-06-04 07:45:00,-26.72,EXIT_COLOR,2.0,3.0,0.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4473.3,2026-06-04 12:15:00,9.73,EXIT_COLOR,2.0,3.0,6.0,0.0,,,,,,,,,,,,,BACKTEST_ONLY,
4495.87,2026-06-04 20:45:00,59.05,TP,2.0,3.0,6.0,48.05,,,,,,,,,,,,,BACKTEST_ONLY,
