signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-04-28T14:25:00+07:00,2026-04-28T14:45:00+07:00,BUY,4628.19,4622.99,4716.07,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.921 collapsed; structural sweep reclaimed
2026-05-04T14:05:00+07:00,2026-05-04T14:20:00+07:00,BUY,4593.17,4587.33,4691.87,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.943 collapsed; structural sweep reclaimed
2026-05-06T16:00:00+07:00,2026-05-06T16:10:00+07:00,SELL,4679.16,4682.93,4615.44,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.937 collapsed; structural sweep reclaimed
2026-05-06T18:45:00+07:00,2026-05-06T18:50:00+07:00,SELL,4711.6,4716.66,4626.08,SL,-5.26,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.923 collapsed; structural sweep reclaimed
2026-05-13T10:00:00+07:00,2026-05-13T10:05:00+07:00,BUY,4704.69,4700.69,4772.29,SL,-4.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.945 collapsed; structural sweep reclaimed
2026-05-13T21:50:00+07:00,2026-05-13T22:15:00+07:00,BUY,4676.5,4669.02,4802.92,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.918 collapsed; structural sweep reclaimed
2026-05-15T21:10:00+07:00,2026-05-15T21:30:00+07:00,BUY,4542.55,4535.77,4657.14,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.945 collapsed; structural sweep reclaimed
2026-05-18T08:45:00+07:00,2026-05-19T21:30:00+07:00,BUY,4488.43,4479.58,4638.0,BE,-0.2,S197 BUY Entropy-Collapse Sweep 16.9R,Permutation entropy=0.940 collapsed; structural sweep reclaimed
2026-05-25T19:20:00+07:00,2026-05-25T19:35:00+07:00,SELL,4573.47,4575.39,4541.02,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.862 collapsed; structural sweep reclaimed
2026-05-27T07:45:00+07:00,2026-05-27T08:05:00+07:00,SELL,4523.99,4528.01,4456.05,BE,-0.2,S197 SELL Entropy-Collapse Sweep 16.9R,Permutation entropy=0.939 collapsed; structural sweep reclaimed
