strategy,days,signals,closed,wins,win_rate,net,pnl_per_day,pf,max_dd,error
224,150,13,13,1,7.6923076923076925,-16.96999999999999,-0.11313333333333328,0.38581252262034027,19.779999999999998,
224,365,59,59,8,13.559322033898304,329.7100000000001,0.9033150684931509,4.805956366154911,19.779999999999973,
258,30,19,19,2,10.526315789473683,78.01999999999998,2.6006666666666662,6.027061855670104,6.640000000000015,
258,60,42,42,4,9.523809523809524,147.76000000000005,2.422295081967214,4.978459881529348,10.460000000000008,
258,90,68,68,6,8.823529411764707,186.99000000000004,2.0548351648351653,4.165566277298117,19.49000000000002,
258,120,85,85,6,7.0588235294117645,167.88000000000008,1.3760655737704925,3.147352264006137,23.86,
258,150,111,111,7,6.306306306306306,221.75000000000006,1.4783333333333337,2.8833871241719025,63.22000000000004,
258,365,225,225,14,6.222222222222222,454.55000000000035,1.2453424657534256,2.9006899435500784,63.219999999999914,
294,30,18,18,2,11.11111111111111,165.09000000000006,5.503000000000002,5.503273322422257,28.839999999999947,
294,60,34,34,3,8.823529411764707,305.2400000000001,5.0039344262295105,4.839979871681971,50.64999999999995,
294,90,53,53,3,5.660377358490567,262.7900000000001,2.887802197802199,3.155076267016564,50.650000000000006,
294,120,69,69,3,4.3478260869565215,219.98,1.8031147540983605,2.3352352048558425,85.26000000000003,
294,150,80,80,3,3.75,206.51999999999998,1.3767999999999998,2.158857527635935,98.72000000000004,
294,365,236,236,6,2.5423728813559325,228.61000000000033,0.6263287671232886,1.4824013504958882,267.7299999999997,
104,30,,4,0,0.0,-198.14000000000001,-6.604666666666668,0.0,198.14000000000001,
104,60,,6,0,0.0,-313.98,-5.2330000000000005,0.0,313.98,
104,90,,7,0,0.0,-372.24,-4.136,0.0,372.24,
104,120,,10,2,20.0,-71.19999999999996,-0.593333333333333,0.8630084272905684,372.24,
104,150,,11,3,27.27272727272727,268.56999999999994,1.7904666666666662,1.5167391388001692,372.24,
104,365,,39,13,33.33333333333333,802.3299999999996,2.1981643835616427,1.5585972582902254,423.89,
105,30,,10,6,60.0,4.67,0.15566666666666668,1.232453957192633,10.57,
105,60,,17,9,52.94117647058824,2.8499999999999996,0.047499999999999994,1.0684602450156135,19.560000000000002,
105,90,,23,11,47.82608695652174,2.3199999999999985,0.02577777777777776,1.0429868445432648,19.560000000000002,
105,120,,32,15,46.875,10.589999999999996,0.08824999999999997,1.1385944248135058,21.14,
105,150,,39,19,48.717948717948715,64.21,0.42806666666666665,1.6928139835994822,21.140000000000008,
105,365,,109,61,55.96330275229357,266.3900000000001,0.7298356164383565,2.3430977110013114,21.1399999999999,
106,30,,14,4,28.57142857142857,5.360000000000001,0.1786666666666667,1.0435382990821216,70.02,
106,60,,21,5,23.809523809523807,-64.08000000000001,-1.0680000000000003,0.7000140442863162,139.46,
106,90,,25,5,20.0,-118.88999999999996,-1.3209999999999995,0.5570747336264064,194.26999999999995,
106,120,,30,6,20.0,-147.12999999999997,-1.226083333333333,0.5576633996753052,222.50999999999996,
106,150,,37,8,21.62162162162162,126.53,0.8435333333333334,1.2962954289996254,222.51000000000002,
106,365,,96,33,34.375,655.6600000000002,1.7963287671232882,1.8000732153752288,222.50999999999988,
111,30,,26,0,0.0,-80.42000000000002,-2.680666666666667,0.0,80.42000000000002,
111,60,,32,0,0.0,-96.35,-1.6058333333333332,0.0,96.35,
111,90,,33,0,0.0,-100.08999999999999,-1.112111111111111,0.0,100.08999999999999,
111,120,,53,10,18.867924528301888,120.54999999999993,1.0045833333333327,1.7959197147761794,100.09000000000006,
111,150,,62,10,16.129032258064516,69.80000000000001,0.46533333333333343,1.3451856980366945,100.09,
111,365,,118,10,8.47457627118644,-109.64000000000004,-0.30038356164383573,0.7127210795231232,272.31,
