timestamp,kind,rank,label,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 10:19:05,candidate,1,CAND=P16+S63x12.6875+S69x22.25+S64x13.875,339.71,313.52,4.371,3,-999.69,0.19,55.01,9727,180,336.33,4.374,3,-999.69,2755.87,10314.19,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2470.76;S64:477.72;S69:2934.55
2026-07-03 10:19:05,candidate,2,CAND=P16+S63x12.6875+S69x22.25+S64x13.8125,339.7,313.54,4.375,3,-998.43,0.19,55.01,9727,90,342.85,4.784,3,-962.36,2832.95,5482.44,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2168.67;S64:125.97;S69:1715.03
2026-07-03 10:19:05,candidate,2,CAND=P16+S63x12.6875+S69x22.25+S64x13.8125,339.7,313.54,4.375,3,-998.43,0.19,55.01,9727,120,366.09,4.615,3,-934.56,5155.87,7174.88,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1975.57;S64:1509.43;S69:1993.82
2026-07-03 10:19:05,candidate,2,CAND=P16+S63x12.6875+S69x22.25+S64x13.8125,339.7,313.54,4.375,3,-998.43,0.19,55.01,9727,150,313.54,4.375,3,-933.99,2755.87,8544.19,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1882.83;S64:-765.76;S69:1993.82
2026-07-03 10:19:05,candidate,2,CAND=P16+S63x12.6875+S69x22.25+S64x13.8125,339.7,313.54,4.375,3,-998.43,0.19,55.01,9727,180,336.32,4.376,3,-998.43,2755.87,10311.06,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2470.76;S64:475.56;S69:2934.55
2026-07-03 10:19:05,candidate,3,CAND=P16+S63x12.6875+S69x22.25+S64x13.75,339.69,313.57,4.378,3,-998.43,0.19,55.01,9727,90,342.85,4.789,3,-958.76,2832.95,5480.5,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2168.67;S64:125.40;S69:1715.03
2026-07-03 10:19:05,candidate,3,CAND=P16+S63x12.6875+S69x22.25+S64x13.75,339.69,313.57,4.378,3,-998.43,0.19,55.01,9727,120,366.03,4.619,3,-931.81,5142.64,7172.38,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1975.57;S64:1502.60;S69:1993.82
2026-07-03 10:19:05,candidate,3,CAND=P16+S63x12.6875+S69x22.25+S64x13.75,339.69,313.57,4.378,3,-998.43,0.19,55.01,9727,150,313.57,4.378,3,-931.24,2755.87,8541.88,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1882.83;S64:-762.30;S69:1993.82
2026-07-03 10:19:05,candidate,3,CAND=P16+S63x12.6875+S69x22.25+S64x13.75,339.69,313.57,4.378,3,-998.43,0.19,55.01,9727,180,336.3,4.379,3,-998.43,2755.87,10307.94,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2470.76;S64:473.41;S69:2934.55
2026-07-03 10:19:05,candidate,4,CAND=P16+S63x12.625+S69x22.3125+S64x13.875,339.68,313.5,4.373,3,-999.69,0.19,55.01,9727,90,342.79,4.78,3,-965.96,2826.9,5482.94,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2157.99;S64:126.54;S69:1719.85
