timestamp,label,score,days,trading_days,day,month,daily_pf,sharpe,pos_day_pct,max_streak,worst_day,best_day,max_leg_dd_pct,max_lot,skipped_by_cb,trade_units,by_leg
2026-07-03 09:47:02,P13,"(0, 0, 1, 282.6818, 5.1734, -571.41)",90,109,275.44,8263.24,6.215,0.598,67.0,3,-368.87,1393.55,30.79,0.09,3880,3578.0,B:183.20;C:100.49;D:6154.91;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82
2026-07-03 09:47:02,P13,"(0, 0, 1, 282.6818, 5.1734, -571.41)",120,140,298.01,8940.44,6.046,0.564,65.7,4,-404.58,2113.64,55.01,0.11,5430,4746.0,B:97.29;C:92.10;D:7579.72;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88
2026-07-03 09:47:02,P13,"(0, 0, 1, 282.6818, 5.1734, -571.41)",150,178,275.0,8250.13,5.575,0.514,62.4,4,-423.47,2385.3,26.05,0.12,6930,5877.0,B:124.85;C:124.02;D:7728.02;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25
2026-07-03 09:47:02,P13,"(0, 0, 1, 282.6818, 5.1734, -571.41)",180,212,282.27,8468.0,5.173,0.485,61.8,4,-571.41,2405.3,34.59,0.19,8140,6941.0,B:152.23;C:153.56;D:8229.83;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49
2026-07-03 09:47:02,P16,"(0, 0, 1, 303.7941, 4.9219, -584.21)",90,110,298.3,8948.99,5.51,0.577,65.5,4,-514.98,1605.18,47.2,0.09,4607,4448.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82
2026-07-03 09:47:02,P16,"(0, 0, 1, 303.7941, 4.9219, -584.21)",120,141,320.43,9612.84,5.5,0.536,66.7,4,-461.8,2761.85,55.01,0.11,6457,5867.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88
2026-07-03 09:47:02,P16,"(0, 0, 1, 303.7941, 4.9219, -584.21)",150,179,292.8,8784.12,5.097,0.489,63.1,4,-467.61,3033.51,49.25,0.12,8227,7227.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25
2026-07-03 09:47:02,P16,"(0, 0, 1, 303.7941, 4.9219, -584.21)",180,214,303.64,9109.34,4.922,0.471,63.6,4,-584.21,3033.51,34.59,0.19,9687,8535.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49
2026-07-03 09:47:02,P16_PLUS_ALLIN_1X,"(1, 1, 1, 306.0529, 4.9431, -584.21)",90,111,301.16,9034.7,5.513,0.576,65.8,4,-491.77,1701.95,47.2,0.09,4627,4520.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:170.93;S64:9.12;S69:77.08
2026-07-03 09:47:02,P16_PLUS_ALLIN_1X,"(1, 1, 1, 306.0529, 4.9431, -584.21)",120,142,323.38,9701.49,5.515,0.531,66.2,4,-461.8,2931.77,55.01,0.11,6477,5959.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:155.71;S64:109.28;S69:89.61
