date,trades,win,loss,net_profit,win_rate
2026-02-25,9,2,7,-65.94,22.22
2026-02-26,6,1,5,-59.4,16.67
2026-02-27,9,3,6,103.3,33.33
2026-02-28,3,3,0,217.67,100.0
2026-03-02,1,0,1,-58.26,0.0
2026-03-03,8,2,6,-229.01,25.0
2026-03-04,8,1,7,-371.74,12.5
2026-03-05,6,0,6,-164.47,0.0
2026-03-06,7,1,6,-216.12,14.29
2026-03-07,3,0,3,-121.09,0.0
2026-03-09,4,0,4,-102.78,0.0
2026-03-10,6,2,4,26.66,33.33
2026-03-11,2,0,2,-48.77,0.0
2026-03-12,7,4,3,116.1,57.14
2026-03-13,3,1,2,26.89,33.33
2026-03-14,4,4,0,312.33,100.0
2026-03-16,6,3,3,89.16,50.0
2026-03-17,6,2,4,15.73,33.33
2026-03-18,12,6,6,184.24,50.0
2026-03-19,7,4,3,356.09,57.14
2026-03-20,3,1,2,-7.06,33.33
2026-03-21,3,3,0,449.78,100.0
2026-03-23,4,1,3,-111.58,25.0
2026-03-24,4,0,4,-169.5,0.0
2026-03-25,7,0,7,-127.1,0.0
2026-03-26,4,1,3,-116.95,25.0
2026-03-27,6,1,5,-172.87,16.67
2026-03-28,1,0,1,-61.6,0.0
2026-03-30,3,0,3,-117.09,0.0
2026-03-31,4,1,3,5.64,25.0
2026-04-01,4,2,2,-14.09,50.0
2026-04-02,3,0,3,-48.32,0.0
2026-04-03,4,0,4,-114.74,0.0
2026-04-06,1,0,1,-18.05,0.0
2026-04-07,8,3,5,-6.79,37.5
2026-04-08,5,2,3,-50.03,40.0
2026-04-09,6,1,5,-102.79,16.67
2026-04-10,5,0,5,-109.81,0.0
2026-04-11,2,0,2,-16.48,0.0
2026-04-13,3,0,3,-52.11,0.0
2026-04-14,3,1,2,-8.65,33.33
2026-04-15,5,0,5,-91.46,0.0
2026-04-16,6,0,6,-82.98,0.0
2026-04-17,9,1,8,-127.26,11.11
2026-04-20,4,0,4,-55.33,0.0
2026-04-21,9,8,1,236.94,88.89
2026-04-22,4,2,2,20.46,50.0
2026-04-23,8,5,3,81.65,62.5
2026-04-24,5,0,5,-121.74,0.0
2026-04-25,2,0,2,-47.36,0.0
2026-04-27,4,2,2,21.02,50.0
2026-04-28,9,4,5,122.6,44.44
2026-04-29,4,2,2,45.41,50.0
2026-04-30,5,1,4,-65.77,20.0
2026-05-01,6,0,6,-109.23,0.0
2026-05-04,3,2,1,71.92,66.67
2026-05-05,6,0,6,-141.25,0.0
2026-05-06,6,3,3,144.84,50.0
2026-05-07,5,2,3,12.73,40.0
2026-05-08,8,1,7,-107.68,12.5
2026-05-09,2,1,1,0.75,50.0
2026-05-11,5,0,5,-104.17,0.0
2026-05-12,2,1,1,14.19,50.0
2026-05-13,4,2,2,7.06,50.0
2026-05-14,8,1,7,-44.34,12.5
2026-05-15,3,3,0,155.04,100.0
2026-05-16,3,2,1,16.31,66.67
2026-05-18,4,0,4,-58.2,0.0
2026-05-19,5,3,2,80.3,60.0
2026-05-20,6,0,6,-122.27,0.0
2026-05-21,11,2,9,-149.52,18.18
2026-05-22,4,1,3,-9.07,25.0
2026-05-23,2,0,2,-17.98,0.0
2026-05-25,6,1,5,-43.62,16.67
2026-05-26,6,4,2,138.85,66.67
2026-05-27,6,4,2,93.92,66.67
2026-05-28,4,2,2,19.15,50.0
2026-05-29,6,5,1,95.03,83.33
2026-06-01,3,2,1,60.21,66.67
2026-06-02,3,0,3,-44.73,0.0
2026-06-03,11,7,4,164.34,63.64
2026-06-04,8,0,8,-107.08,0.0
2026-06-05,3,0,3,-45.92,0.0
2026-06-06,4,4,0,561.04,100.0
2026-06-08,6,1,5,-107.86,16.67
2026-06-09,7,2,5,-33.83,28.57
2026-06-10,9,9,0,599.08,100.0
2026-06-11,5,2,3,37.52,40.0
2026-06-12,4,3,1,279.07,75.0
2026-06-13,3,3,0,59.99,100.0
2026-06-15,4,1,3,-40.87,25.0
2026-06-16,1,1,0,46.22,100.0
2026-06-17,8,1,7,-28.76,12.5
2026-06-18,5,4,1,210.62,80.0
2026-06-19,6,4,2,176.63,66.67
2026-06-20,1,0,1,-12.63,0.0
2026-06-22,5,3,2,71.68,60.0
2026-06-23,9,5,4,256.78,55.56
2026-06-24,8,6,2,155.0,75.0
2026-06-25,7,0,7,-164.21,0.0
2026-06-26,5,3,2,23.87,60.0
2026-06-27,1,0,1,-18.82,0.0
2026-06-29,5,2,3,65.82,40.0
2026-06-30,7,6,1,159.52,85.71
2026-07-01,7,0,7,-104.03,0.0
2026-07-02,7,5,2,155.72,71.43
2026-07-03,8,5,3,90.95,62.5
2026-07-04,1,1,0,17.14,100.0
2026-07-06,3,0,3,-46.36,0.0
2026-07-07,7,1,6,-99.96,14.29
2026-07-08,5,3,2,24.96,60.0
2026-07-09,3,0,3,-62.29,0.0
2026-07-10,4,0,4,-38.66,0.0
