timestamp,label,setup_type,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,ema_fast,ema_trend,pullback_touch_atr,momentum_body_atr,pullback_max_atr,range_lookback,range_edge_pct,sl_atr_mult,tp_rr
2026-06-26 20:34:26,grid019_ema_ef8_et21_touch0.1_sl0.3,ema_pullback,3176,49.1,-1204.38,-40.15,-36.5,96.2,33,30,0,1209.79,120.33,0.01,0.13,1.0,-204.38,14,-0.007,0.83,8,21,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:28,grid020_ema_ef8_et21_touch0.1_sl0.5,ema_pullback,3172,49.5,-1063.38,-35.45,-32.22,96.1,33,30,0,1133.27,105.92,0.01,0.11,1.0,-63.38,19,-0.153,0.88,8,21,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:31,grid021_ema_ef8_et21_touch0.1_sl0.8,ema_pullback,3171,50.5,-851.31,-28.38,-25.8,96.1,33,30,0,1207.63,89.04,0.01,0.1,1.0,148.69,17,-0.05,0.92,8,21,0.1,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:34:33,grid022_ema_ef8_et21_touch0.2_sl0.3,ema_pullback,3504,48.5,-1445.31,-48.18,-43.8,106.2,33,30,0,1448.38,144.84,0.01,0.13,1.0,-445.31,14,0.187,0.81,8,21,0.2,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:35,grid023_ema_ef8_et21_touch0.2_sl0.5,ema_pullback,3500,49.0,-1260.5,-42.02,-38.2,106.1,33,30,0,1260.5,126.05,0.01,0.09,1.0,-260.5,21,-0.167,0.85,8,21,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:37,grid024_ema_ef8_et21_touch0.2_sl0.8,ema_pullback,3498,49.8,-1071.2,-35.71,-32.46,106.0,33,30,0,1294.09,105.82,0.01,0.08,1.0,-71.2,18,-0.146,0.9,8,21,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:34:39,grid025_ema_ef8_et21_touch0.35_sl0.3,ema_pullback,3885,48.2,-1619.63,-53.99,-49.08,117.7,33,30,0,1622.7,162.27,0.01,0.13,1.0,-619.63,16,-0.235,0.8,8,21,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:41,grid026_ema_ef8_et21_touch0.35_sl0.5,ema_pullback,3881,48.5,-1467.77,-48.93,-44.48,117.6,33,30,0,1467.77,146.78,0.01,0.09,1.0,-467.77,21,0.353,0.84,8,21,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:43,grid027_ema_ef8_et21_touch0.35_sl0.8,ema_pullback,3879,49.5,-1191.13,-39.7,-36.09,117.5,33,30,0,1387.79,115.97,0.01,0.08,1.0,-191.13,18,-0.331,0.89,8,21,0.35,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:34:46,grid028_ema_ef8_et50_touch0.1_sl0.3,ema_pullback,3086,49.4,-1099.69,-36.66,-34.37,96.4,32,30,0,1112.26,109.85,0.01,0.14,1.0,-99.69,15,-0.26,0.85,8,50,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:48,grid029_ema_ef8_et50_touch0.1_sl0.5,ema_pullback,3085,49.7,-1046.1,-34.87,-32.69,96.4,32,30,0,1173.74,104.09,0.01,0.12,1.0,-46.1,18,-0.041,0.88,8,50,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:51,grid030_ema_ef8_et50_touch0.1_sl0.8,ema_pullback,3083,50.2,-951.56,-31.72,-29.74,96.3,32,30,0,1256.11,96.29,0.01,0.1,1.0,48.44,18,-0.085,0.91,8,50,0.1,0.8,0.35,20,0.15,0.8,1.0
