timestamp,rank,label,candidate,w87,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 11:43:56,35,S81+D1_H12_TURN_followx25,D1_H12_TURN_follow,25.0,"(1, 373.049993, 351.777066, -999.9079, 4.274624, -3)",373.05,351.78,4.275,3,-999.91,0.19,55.01,9727,90,365.28,4.354,3,-965.96,2843.84,5787.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87:2003.00
2026-07-03 11:43:56,35,S81+D1_H12_TURN_followx25,D1_H12_TURN_follow,25.0,"(1, 373.049993, 351.777066, -999.9079, 4.274624, -3)",373.05,351.78,4.275,3,-999.91,0.19,55.01,9727,120,414.93,4.769,3,-937.32,5164.4,7606.53,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87:5842.75
2026-07-03 11:43:56,35,S81+D1_H12_TURN_followx25,D1_H12_TURN_follow,25.0,"(1, 373.049993, 351.777066, -999.9079, 4.274624, -3)",373.05,351.78,4.275,3,-999.91,0.19,55.01,9727,150,351.78,4.367,3,-936.75,3585.94,9126.1,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87:5727.00
2026-07-03 11:43:56,35,S81+D1_H12_TURN_followx25,D1_H12_TURN_follow,25.0,"(1, 373.049993, 351.777066, -999.9079, 4.274624, -3)",373.05,351.78,4.275,3,-999.91,0.19,55.01,9727,180,360.21,4.275,3,-999.91,3585.94,10945.24,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87:4284.50
2026-07-03 11:43:56,36,S81+D1_H12_TURN_followx24.75,D1_H12_TURN_follow,24.75,"(1, 372.717673, 351.395266, -999.9079, 4.280849, -3)",372.72,351.4,4.281,3,-999.91,0.19,55.01,9727,90,365.06,4.363,3,-965.96,2843.84,5784.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87:1982.97
2026-07-03 11:43:56,36,S81+D1_H12_TURN_followx24.75,D1_H12_TURN_follow,24.75,"(1, 372.717673, 351.395266, -999.9079, 4.280849, -3)",372.72,351.4,4.281,3,-999.91,0.19,55.01,9727,120,414.45,4.773,3,-937.32,5164.4,7602.28,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87:5784.32
2026-07-03 11:43:56,36,S81+D1_H12_TURN_followx24.75,D1_H12_TURN_follow,24.75,"(1, 372.717673, 351.395266, -999.9079, 4.280849, -3)",372.72,351.4,4.281,3,-999.91,0.19,55.01,9727,150,351.4,4.372,3,-936.75,3546.23,9120.35,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87:5669.73
2026-07-03 11:43:56,36,S81+D1_H12_TURN_followx24.75,D1_H12_TURN_follow,24.75,"(1, 372.717673, 351.395266, -999.9079, 4.280849, -3)",372.72,351.4,4.281,3,-999.91,0.19,55.01,9727,180,359.97,4.281,3,-999.91,3546.23,10938.99,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87:4241.65
2026-07-03 11:43:56,37,S81+D1_H12_TURN_followx24.5,D1_H12_TURN_follow,24.5,"(1, 372.385353, 351.013466, -999.9079, 4.287106, -3)",372.39,351.01,4.287,3,-999.91,0.19,55.01,9727,90,364.83,4.371,3,-965.96,2843.84,5781.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87:1962.94
2026-07-03 11:43:56,37,S81+D1_H12_TURN_followx24.5,D1_H12_TURN_follow,24.5,"(1, 372.385353, 351.013466, -999.9079, 4.287106, -3)",372.39,351.01,4.287,3,-999.91,0.19,55.01,9727,120,413.96,4.778,3,-937.32,5164.4,7598.03,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87:5725.89
