label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,demo_allin_total
S82+S87_D1_LAST_INVx4,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4,120,2026-02-19,-984.2363,0.0,-46.92,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4,180,2026-02-19,-1046.6063,0.0,-46.92,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx3.9,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.9,120,2026-02-19,-983.0633,0.0,-45.747,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.9,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.9,180,2026-02-19,-1045.4333,0.0,-45.747,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx3.8,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.8,120,2026-02-19,-981.8903,0.0,-44.574,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.8,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.8,180,2026-02-19,-1044.2603,0.0,-44.574,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx3.7,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.7,120,2026-02-19,-980.7173,0.0,-43.401,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.7,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.7,180,2026-02-19,-1043.0873,0.0,-43.401,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx3.6,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.6,120,2026-02-19,-979.5443,0.0,-42.228,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.6,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.6,180,2026-02-19,-1041.9143,0.0,-42.228,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx3.5,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.5,120,2026-02-19,-978.3713,0.0,-41.055,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.5,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.5,180,2026-02-19,-1040.7413,0.0,-41.055,0.0,0.0,-999.6863
S82+S87_H12_TURNx5,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_H12_TURNx5,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,-937.3163
S82+S87_H12_TURNx5,150,2025-12-18,-1142.4115,-963.8915,0.0,0.0,-143.65,-34.87
S82+S87_H12_TURNx5,180,2025-12-18,-1122.5715,-963.8915,0.0,0.0,-143.65,-15.03
S82+S87_D1_LAST_INVx3.4,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.4,120,2026-02-19,-977.1983,0.0,-39.882,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.4,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.4,180,2026-02-19,-1039.5683,0.0,-39.882,0.0,0.0,-999.6863
S82+S87_H12_TURNx4.9,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_H12_TURNx4.9,120,2026-02-19,-937.3163,0.0,0.0,0.0,0.0,-937.3163
S82+S87_H12_TURNx4.9,150,2025-12-18,-1139.5385,-963.8915,0.0,0.0,-140.777,-34.87
S82+S87_H12_TURNx4.9,180,2025-12-18,-1119.6985,-963.8915,0.0,0.0,-140.777,-15.03
S82+S87_D1_LAST_INVx3.3,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx3.3,120,2026-02-19,-976.0253,0.0,-38.709,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx3.3,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx3.3,180,2026-02-19,-1038.3953,0.0,-38.709,0.0,0.0,-999.6863
