idx,tf,n_dir,dir_sum,dir_pf,n_inv,inv_sum,inv_pf,cfg_str
59,M15,219,687.98,0.0,219,-248.76,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_rr_sl0.2_rr1.3
60,M15,219,106.12,0.0,219,-88.5,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_old_sl0.35_rr1
61,M15,219,-340.83,0.0,219,-41.15,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_old_sl0.35_rr1.3
62,M15,219,464.45,0.0,219,-21.93,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_rr_sl0.35_rr1
63,M15,219,643.39,0.0,219,-261.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_rr_sl0.35_rr1.3
64,M15,570,-330.89,0.0,570,-237.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_old_sl0.2_rr1
65,M15,570,-222.51,0.0,570,-225.47,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_old_sl0.2_rr1.3
66,M15,570,544.64,0.0,570,-189.87,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_rr_sl0.2_rr1
67,M15,570,955.78,0.0,570,64.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_rr_sl0.2_rr1.3
68,M15,567,-299.28,0.0,567,-196.88,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_old_sl0.35_rr1
69,M15,567,-192.81,0.0,567,-140.16,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_old_sl0.35_rr1.3
70,M15,567,889.91,0.0,567,11.26,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_rr_sl0.35_rr1
71,M15,567,858.21,0.0,567,-523.4,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_swing_rr_sl0.35_rr1.3
72,M15,575,133.41,0.0,575,-320.15,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_old_sl0.2_rr1
73,M15,575,73.78,0.0,575,-257.31,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_old_sl0.2_rr1.3
74,M15,575,260.45,0.0,575,-35.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_rr_sl0.2_rr1
75,M15,575,384.07,0.0,575,-205.98,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_rr_sl0.2_rr1.3
76,M15,575,-49.45,0.0,575,-145.44,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_old_sl0.35_rr1
77,M15,575,-67.29,0.0,575,-83.95,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_old_sl0.35_rr1.3
78,M15,575,83.08,0.0,575,-200.06,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_rr_sl0.35_rr1
79,M15,575,536.61,0.0,575,-207.13,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm0.6_zone_rr_sl0.35_rr1.3
80,M15,570,-330.89,0.0,570,-237.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_old_sl0.2_rr1
81,M15,570,-222.51,0.0,570,-225.47,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_old_sl0.2_rr1.3
82,M15,570,544.64,0.0,570,-189.87,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_rr_sl0.2_rr1
83,M15,570,955.78,0.0,570,64.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_rr_sl0.2_rr1.3
84,M15,567,-299.28,0.0,567,-196.88,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_old_sl0.35_rr1
85,M15,567,-192.81,0.0,567,-140.16,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_old_sl0.35_rr1.3
86,M15,567,889.91,0.0,567,11.26,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_rr_sl0.35_rr1
87,M15,567,858.21,0.0,567,-523.4,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_swing_rr_sl0.35_rr1.3
88,M15,575,133.41,0.0,575,-320.15,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_old_sl0.2_rr1
89,M15,575,73.78,0.0,575,-257.31,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_old_sl0.2_rr1.3
90,M15,575,260.45,0.0,575,-35.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_rr_sl0.2_rr1
91,M15,575,384.07,0.0,575,-205.98,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_rr_sl0.2_rr1.3
92,M15,575,-49.45,0.0,575,-145.44,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_old_sl0.35_rr1
93,M15,575,-67.29,0.0,575,-83.95,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_old_sl0.35_rr1.3
94,M15,575,83.08,0.0,575,-200.06,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_rr_sl0.35_rr1
95,M15,575,536.61,0.0,575,-207.13,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl12_tm1_zone_rr_sl0.35_rr1.3
96,M15,570,-330.89,0.0,570,-237.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_old_sl0.2_rr1
97,M15,570,-222.51,0.0,570,-225.47,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_old_sl0.2_rr1.3
98,M15,570,544.64,0.0,570,-189.87,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_rr_sl0.2_rr1
99,M15,570,955.78,0.0,570,64.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_rr_sl0.2_rr1.3
100,M15,567,-299.28,0.0,567,-196.88,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_old_sl0.35_rr1
101,M15,567,-192.81,0.0,567,-140.16,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_old_sl0.35_rr1.3
102,M15,567,889.91,0.0,567,11.26,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_rr_sl0.35_rr1
103,M15,567,858.21,0.0,567,-523.4,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_swing_rr_sl0.35_rr1.3
104,M15,575,133.41,0.0,575,-320.15,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_old_sl0.2_rr1
105,M15,575,73.78,0.0,575,-257.31,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_old_sl0.2_rr1.3
106,M15,575,260.45,0.0,575,-35.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_rr_sl0.2_rr1
107,M15,575,384.07,0.0,575,-205.98,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_rr_sl0.2_rr1.3
108,M15,575,-49.45,0.0,575,-145.44,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_old_sl0.35_rr1
109,M15,575,-67.29,0.0,575,-83.95,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_old_sl0.35_rr1.3
110,M15,575,83.08,0.0,575,-200.06,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_rr_sl0.35_rr1
111,M15,575,536.61,0.0,575,-207.13,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm0.6_zone_rr_sl0.35_rr1.3
112,M15,570,-330.89,0.0,570,-237.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_old_sl0.2_rr1
113,M15,570,-222.51,0.0,570,-225.47,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_old_sl0.2_rr1.3
114,M15,570,544.64,0.0,570,-189.87,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_rr_sl0.2_rr1
115,M15,570,955.78,0.0,570,64.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_rr_sl0.2_rr1.3
116,M15,567,-299.28,0.0,567,-196.88,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_old_sl0.35_rr1
117,M15,567,-192.81,0.0,567,-140.16,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_old_sl0.35_rr1.3
118,M15,567,889.91,0.0,567,11.26,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_rr_sl0.35_rr1
119,M15,567,858.21,0.0,567,-523.4,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_swing_rr_sl0.35_rr1.3
120,M15,575,133.41,0.0,575,-320.15,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_old_sl0.2_rr1
121,M15,575,73.78,0.0,575,-257.31,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_old_sl0.2_rr1.3
122,M15,575,260.45,0.0,575,-35.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_rr_sl0.2_rr1
123,M15,575,384.07,0.0,575,-205.98,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_rr_sl0.2_rr1.3
124,M15,575,-49.45,0.0,575,-145.44,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_old_sl0.35_rr1
125,M15,575,-67.29,0.0,575,-83.95,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_old_sl0.35_rr1.3
126,M15,575,83.08,0.0,575,-200.06,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_rr_sl0.35_rr1
127,M15,575,536.61,0.0,575,-207.13,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr0_tl16_tm1_zone_rr_sl0.35_rr1.3
128,M15,282,-84.14,0.0,282,-65.36,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_old_sl0.2_rr1
129,M15,282,16.15,0.0,282,-167.78,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3
130,M15,282,475.23,0.0,282,-359.99,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1
131,M15,282,231.75,0.0,282,-229.04,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1.3
132,M15,280,23.45,0.0,280,-198.45,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_old_sl0.35_rr1
133,M15,280,147.0,0.0,280,-312.82,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_old_sl0.35_rr1.3
134,M15,280,683.92,0.0,280,-689.69,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_rr_sl0.35_rr1
135,M15,280,601.83,0.0,280,-361.29,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_swing_rr_sl0.35_rr1.3
136,M15,284,432.82,0.0,284,-213.97,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_old_sl0.2_rr1
137,M15,284,170.18,0.0,284,9.76,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3
138,M15,284,372.17,0.0,284,-115.44,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_rr_sl0.2_rr1
139,M15,284,840.74,0.0,284,70.68,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_rr_sl0.2_rr1.3
140,M15,284,243.86,0.0,284,-136.96,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_old_sl0.35_rr1
141,M15,284,84.68,0.0,284,69.0,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_old_sl0.35_rr1.3
142,M15,284,432.72,0.0,284,-159.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_rr_sl0.35_rr1
143,M15,284,567.23,0.0,284,28.79,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm0.6_zone_rr_sl0.35_rr1.3
144,M15,205,-82.11,0.0,205,251.48,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_old_sl0.2_rr1
145,M15,205,7.23,0.0,205,170.7,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_old_sl0.2_rr1.3
146,M15,205,329.97,0.0,205,-144.65,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_rr_sl0.2_rr1
147,M15,205,451.6,0.0,205,-137.81,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_rr_sl0.2_rr1.3
148,M15,203,45.99,0.0,203,85.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_old_sl0.35_rr1
149,M15,203,161.85,0.0,203,14.58,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.35_tr1_tl12_tm1_swing_old_sl0.35_rr1.3
