signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-19T07:45:00+07:00,2026-05-19T07:50:00+07:00,BUY,4583.04,4582.32,4590.25,SL,-0.92,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-12T01:45:00+07:00,2026-06-12T01:50:00+07:00,BUY,4153.55,4151.27,4176.35,SL,-2.48,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-12T09:05:00+07:00,2026-06-12T09:35:00+07:00,SELL,4193.44,4195.38,4174.03,TP,19.21,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-15T06:10:00+07:00,2026-06-15T06:25:00+07:00,BUY,4294.6,4292.82,4312.41,SL,-1.98,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-15T08:25:00+07:00,2026-06-15T08:30:00+07:00,BUY,4300.71,4299.94,4308.42,SL,-0.97,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-18T03:40:00+07:00,2026-06-18T03:45:00+07:00,SELL,4235.63,4240.11,4190.83,SL,-4.68,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-19T21:00:00+07:00,2026-06-19T21:20:00+07:00,BUY,4164.52,4163.21,4177.63,BE,-0.2,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-24T09:05:00+07:00,2026-06-24T09:10:00+07:00,SELL,4083.08,4084.65,4067.37,SL,-1.77,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-25T21:15:00+07:00,2026-06-25T21:30:00+07:00,BUY,4020.95,4018.71,4043.35,BE,-0.2,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-01T21:45:00+07:00,2026-07-01T22:30:00+07:00,BUY,4084.95,4082.68,4107.65,TP,22.5,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-01T22:35:00+07:00,2026-07-01T22:40:00+07:00,BUY,4105.71,4102.84,4134.41,SL,-3.07,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-02T09:15:00+07:00,2026-07-02T09:20:00+07:00,BUY,4059.74,4058.44,4072.74,SL,-1.5,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-02T20:40:00+07:00,2026-07-02T20:45:00+07:00,BUY,4130.6,4128.58,4150.81,SL,-2.22,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-02T21:50:00+07:00,2026-07-02T22:00:00+07:00,BUY,4132.82,4130.62,4154.82,BE,-0.2,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-02T22:05:00+07:00,2026-07-02T22:10:00+07:00,BUY,4127.98,4125.85,4149.28,SL,-2.33,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-08T08:45:00+07:00,2026-07-08T08:50:00+07:00,BUY,4120.11,4119.04,4130.81,SL,-1.27,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-08T17:10:00+07:00,2026-07-08T17:15:00+07:00,SELL,4056.24,4058.55,4033.13,SL,-2.51,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-08T18:00:00+07:00,2026-07-08T18:15:00+07:00,SELL,4048.45,4049.84,4034.54,SL,-1.59,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-08T20:55:00+07:00,2026-07-08T21:10:00+07:00,BUY,4070.86,4069.51,4084.36,BE,-0.2,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-13T08:35:00+07:00,2026-07-13T08:40:00+07:00,SELL,4070.04,4071.18,4058.64,SL,-1.34,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T18:45:00+07:00,2026-07-13T18:50:00+07:00,SELL,4054.39,4055.2,4046.29,SL,-1.01,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T20:15:00+07:00,2026-07-13T20:20:00+07:00,SELL,4060.9,4061.85,4051.4,SL,-1.15,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-13T21:50:00+07:00,2026-07-13T21:55:00+07:00,SELL,4052.45,4053.47,4042.25,TP,10.0,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-07-14T20:35:00+07:00,2026-07-14T20:50:00+07:00,BUY,4082.0,4080.18,4100.21,SL,-2.02,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-14T21:45:00+07:00,2026-07-14T21:50:00+07:00,BUY,4080.48,4078.46,4100.68,SL,-2.22,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-15T20:50:00+07:00,2026-07-15T21:00:00+07:00,BUY,4062.1,4061.05,4072.6,TP,10.3,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-15T21:05:00+07:00,2026-07-15T21:10:00+07:00,BUY,4069.56,4068.36,4081.56,SL,-1.4,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-07-17T22:25:00+07:00,2026-07-17T22:30:00+07:00,BUY,3997.86,3995.85,4017.97,SL,-2.21,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
