timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,swing_lookback,sweep_min_pierce_atr,rejection_wick_pct,rsi_overbought,rsi_oversold,sl_atr_mult,tp_rr,trend_filter
2026-06-26 20:05:03,grid116_lb20_p0.1_w0.55_ob62.0_sl0.6_rr2.0_none,137,37.2,80.67,1.34,1.52,53,60,0,264.49,20.59,0.01,0.04,1.0,1080.67,11,0.073,1.07,20,0.1,0.55,62.0,38.0,0.6,2.0,none
2026-06-26 20:05:05,grid117_lb20_p0.1_w0.55_ob62.0_sl0.6_rr2.0_against,131,36.6,73.0,1.22,1.38,53,60,0,301.43,22.78,0.01,0.04,1.0,1073.0,12,0.069,1.06,20,0.1,0.55,62.0,38.0,0.6,2.0,against
2026-06-26 20:05:07,grid118_lb20_p0.1_w0.55_ob62.0_sl0.6_rr2.5_none,137,29.2,-98.31,-1.64,-1.89,52,60,0,417.09,34.34,0.01,0.03,1.0,901.69,14,-0.054,0.92,20,0.1,0.55,62.0,38.0,0.6,2.5,none
2026-06-26 20:05:08,grid119_lb20_p0.1_w0.55_ob62.0_sl0.6_rr2.5_against,131,29.8,-81.9,-1.36,-1.58,52,60,0,427.11,34.35,0.01,0.03,1.0,918.1,15,-0.043,0.93,20,0.1,0.55,62.0,38.0,0.6,2.5,against
2026-06-26 20:05:10,grid120_lb20_p0.2_w0.35_ob62.0_sl0.6_rr1.0_none,189,51.3,-88.19,-1.47,-1.45,61,60,0,195.42,17.83,0.01,0.04,1.0,911.81,7,-0.039,0.93,20,0.2,0.35,62.0,38.0,0.6,1.0,none
2026-06-26 20:05:12,grid121_lb20_p0.2_w0.35_ob62.0_sl0.6_rr1.0_against,179,52.0,-67.72,-1.13,-1.11,61,60,0,192.84,17.31,0.01,0.04,1.0,932.28,9,-0.029,0.94,20,0.2,0.35,62.0,38.0,0.6,1.0,against
2026-06-26 20:05:14,grid122_lb20_p0.2_w0.35_ob62.0_sl0.6_rr1.5_none,189,39.2,-250.39,-4.17,-4.04,62,60,0,367.08,32.87,0.01,0.04,1.0,749.61,8,-0.137,0.84,20,0.2,0.35,62.0,38.0,0.6,1.5,none
2026-06-26 20:05:15,grid123_lb20_p0.2_w0.35_ob62.0_sl0.6_rr1.5_against,179,40.2,-164.16,-2.74,-2.65,62,60,0,354.44,29.78,0.01,0.04,1.0,835.84,10,-0.086,0.89,20,0.2,0.35,62.0,38.0,0.6,1.5,against
2026-06-26 20:05:17,grid124_lb20_p0.2_w0.35_ob62.0_sl0.6_rr2.0_none,189,32.8,-288.98,-4.82,-4.74,61,60,0,472.98,39.95,0.01,0.04,1.0,711.02,10,-0.16,0.83,20,0.2,0.35,62.0,38.0,0.6,2.0,none
2026-06-26 20:05:19,grid125_lb20_p0.2_w0.35_ob62.0_sl0.6_rr2.0_against,179,33.5,-205.52,-3.43,-3.37,61,60,0,439.81,35.63,0.01,0.04,1.0,794.48,10,-0.11,0.87,20,0.2,0.35,62.0,38.0,0.6,2.0,against
2026-06-26 20:05:21,grid126_lb20_p0.2_w0.35_ob62.0_sl0.6_rr2.5_none,189,23.3,-632.7,-10.54,-10.04,63,60,0,720.86,68.22,0.01,0.03,1.0,367.3,26,-0.488,0.65,20,0.2,0.35,62.0,38.0,0.6,2.5,none
2026-06-26 20:05:22,grid127_lb20_p0.2_w0.35_ob62.0_sl0.6_rr2.5_against,179,24.0,-527.4,-8.79,-8.37,63,60,0,698.11,61.8,0.01,0.03,1.0,472.6,24,-0.385,0.7,20,0.2,0.35,62.0,38.0,0.6,2.5,against
2026-06-26 20:05:24,grid128_lb20_p0.2_w0.45_ob62.0_sl0.6_rr1.0_none,161,51.6,-48.54,-0.81,-0.82,59,60,0,187.28,16.61,0.01,0.03,1.0,951.46,6,-0.021,0.96,20,0.2,0.45,62.0,38.0,0.6,1.0,none
2026-06-26 20:05:26,grid129_lb20_p0.2_w0.45_ob62.0_sl0.6_rr1.0_against,153,51.6,-50.8,-0.85,-0.86,59,60,0,186.91,16.62,0.01,0.03,1.0,949.2,7,-0.025,0.95,20,0.2,0.45,62.0,38.0,0.6,1.0,against
2026-06-26 20:05:28,grid130_lb20_p0.2_w0.45_ob62.0_sl0.6_rr1.5_none,161,39.1,-176.37,-2.94,-2.94,60,60,0,327.46,28.47,0.01,0.03,1.0,823.63,9,-0.106,0.87,20,0.2,0.45,62.0,38.0,0.6,1.5,none
2026-06-26 20:05:29,grid131_lb20_p0.2_w0.45_ob62.0_sl0.6_rr1.5_against,153,39.9,-109.72,-1.83,-1.83,60,60,0,305.95,25.58,0.01,0.03,1.0,890.28,9,-0.062,0.91,20,0.2,0.45,62.0,38.0,0.6,1.5,against
2026-06-26 20:05:31,grid132_lb20_p0.2_w0.45_ob62.0_sl0.6_rr2.0_none,161,32.9,-203.64,-3.39,-3.45,59,60,0,423.04,35.7,0.01,0.03,1.0,796.36,15,-0.123,0.86,20,0.2,0.45,62.0,38.0,0.6,2.0,none
2026-06-26 20:05:33,grid133_lb20_p0.2_w0.45_ob62.0_sl0.6_rr2.0_against,153,33.3,-137.66,-2.29,-2.33,59,60,0,368.83,29.96,0.01,0.03,1.0,862.34,13,-0.079,0.9,20,0.2,0.45,62.0,38.0,0.6,2.0,against
2026-06-26 20:05:35,grid134_lb20_p0.2_w0.45_ob62.0_sl0.6_rr2.5_none,161,24.8,-435.21,-7.25,-7.25,60,60,0,584.99,52.61,0.01,0.02,1.0,564.79,20,-0.326,0.72,20,0.2,0.45,62.0,38.0,0.6,2.5,none
2026-06-26 20:05:36,grid135_lb20_p0.2_w0.45_ob62.0_sl0.6_rr2.5_against,153,25.5,-375.13,-6.25,-6.25,60,60,0,558.31,48.94,0.01,0.02,1.0,624.87,18,-0.28,0.75,20,0.2,0.45,62.0,38.0,0.6,2.5,against
2026-06-26 20:05:38,grid136_lb20_p0.2_w0.55_ob62.0_sl0.6_rr1.0_none,111,54.1,44.24,0.74,0.88,50,60,0,109.31,9.57,0.01,0.03,1.0,1044.24,5,0.048,1.06,20,0.2,0.55,62.0,38.0,0.6,1.0,none
2026-06-26 20:05:40,grid137_lb20_p0.2_w0.55_ob62.0_sl0.6_rr1.0_against,106,53.8,34.65,0.58,0.69,50,60,0,122.98,10.73,0.01,0.03,1.0,1034.65,7,0.041,1.05,20,0.2,0.55,62.0,38.0,0.6,1.0,against
2026-06-26 20:05:42,grid138_lb20_p0.2_w0.55_ob62.0_sl0.6_rr1.5_none,111,42.3,-21.08,-0.35,-0.41,52,60,0,210.99,17.73,0.01,0.03,1.0,978.92,6,-0.006,0.98,20,0.2,0.55,62.0,38.0,0.6,1.5,none
2026-06-26 20:05:43,grid139_lb20_p0.2_w0.55_ob62.0_sl0.6_rr1.5_against,106,42.5,0.37,0.01,0.01,52,60,0,226.07,18.43,0.01,0.04,1.0,1000.37,11,0.013,1.0,20,0.2,0.55,62.0,38.0,0.6,1.5,against
2026-06-26 20:05:45,grid140_lb20_p0.2_w0.55_ob62.0_sl0.6_rr2.0_none,111,36.0,-1.99,-0.03,-0.04,52,60,0,254.2,20.3,0.01,0.03,1.0,998.01,7,0.015,1.0,20,0.2,0.55,62.0,38.0,0.6,2.0,none
2026-06-26 20:05:47,grid141_lb20_p0.2_w0.55_ob62.0_sl0.6_rr2.0_against,106,35.8,15.62,0.26,0.3,52,60,0,282.84,21.78,0.01,0.04,1.0,1015.62,11,0.031,1.02,20,0.2,0.55,62.0,38.0,0.6,2.0,against
2026-06-26 20:05:48,grid142_lb20_p0.2_w0.55_ob62.0_sl0.6_rr2.5_none,111,27.0,-185.66,-3.09,-3.64,51,60,0,404.48,34.09,0.01,0.03,1.0,814.34,13,-0.163,0.83,20,0.2,0.55,62.0,38.0,0.6,2.5,none
2026-06-26 20:05:50,grid143_lb20_p0.2_w0.55_ob62.0_sl0.6_rr2.5_against,106,27.4,-160.52,-2.68,-3.15,51,60,0,407.49,33.32,0.01,0.03,1.0,839.48,13,-0.143,0.85,20,0.2,0.55,62.0,38.0,0.6,2.5,against
2026-06-26 20:05:52,grid144_lb30_p0.05_w0.35_ob62.0_sl0.6_rr1.0_none,273,50.5,-130.67,-2.18,-2.07,63,60,0,321.73,28.57,0.01,0.04,1.0,869.33,14,-0.041,0.92,30,0.05,0.35,62.0,38.0,0.6,1.0,none
2026-06-26 20:05:54,grid145_lb30_p0.05_w0.35_ob62.0_sl0.6_rr1.0_against,264,50.8,-128.96,-2.15,-2.05,63,60,0,303.1,26.75,0.01,0.04,1.0,871.04,14,-0.043,0.92,30,0.05,0.35,62.0,38.0,0.6,1.0,against
2026-06-26 20:05:56,grid146_lb30_p0.05_w0.35_ob62.0_sl0.6_rr1.5_none,273,39.9,-265.83,-4.43,-4.15,64,60,0,495.14,41.23,0.01,0.04,1.0,734.17,15,-0.099,0.87,30,0.05,0.35,62.0,38.0,0.6,1.5,none
2026-06-26 20:05:58,grid147_lb30_p0.05_w0.35_ob62.0_sl0.6_rr1.5_against,264,40.5,-153.49,-2.56,-2.4,64,60,0,461.68,35.82,0.01,0.04,1.0,846.51,15,-0.05,0.93,30,0.05,0.35,62.0,38.0,0.6,1.5,against
2026-06-26 20:06:00,grid148_lb30_p0.05_w0.35_ob62.0_sl0.6_rr2.0_none,273,34.4,-129.99,-2.17,-2.06,63,60,0,634.31,45.18,0.01,0.04,1.0,870.01,15,-0.034,0.95,30,0.05,0.35,62.0,38.0,0.6,2.0,none
2026-06-26 20:06:02,grid149_lb30_p0.05_w0.35_ob62.0_sl0.6_rr2.0_against,264,34.8,-76.6,-1.28,-1.22,63,60,0,629.84,43.14,0.01,0.04,1.0,923.4,15,-0.014,0.97,30,0.05,0.35,62.0,38.0,0.6,2.0,against
2026-06-26 20:06:04,grid150_lb30_p0.05_w0.35_ob62.0_sl0.6_rr2.5_none,273,26.7,-462.05,-7.7,-7.11,65,60,0,911.46,74.01,0.01,0.03,1.0,537.95,18,-0.187,0.81,30,0.05,0.35,62.0,38.0,0.6,2.5,none
2026-06-26 20:06:06,grid151_lb30_p0.05_w0.35_ob62.0_sl0.6_rr2.5_against,264,27.3,-389.99,-6.5,-6.0,65,60,0,896.63,69.58,0.01,0.03,1.0,610.01,18,-0.154,0.83,30,0.05,0.35,62.0,38.0,0.6,2.5,against
2026-06-26 20:06:08,grid152_lb30_p0.05_w0.45_ob62.0_sl0.6_rr1.0_none,218,51.8,8.76,0.15,0.15,60,60,0,237.13,19.9,0.01,0.03,1.0,1008.76,12,0.013,1.01,30,0.05,0.45,62.0,38.0,0.6,1.0,none
2026-06-26 20:06:10,grid153_lb30_p0.05_w0.45_ob62.0_sl0.6_rr1.0_against,210,51.9,5.77,0.1,0.1,60,60,0,224.24,18.86,0.01,0.03,1.0,1005.77,12,0.011,1.0,30,0.05,0.45,62.0,38.0,0.6,1.0,against
2026-06-26 20:06:12,grid154_lb30_p0.05_w0.45_ob62.0_sl0.6_rr1.5_none,218,40.8,-93.03,-1.55,-1.53,61,60,0,401.27,32.02,0.01,0.03,1.0,906.97,13,-0.032,0.95,30,0.05,0.45,62.0,38.0,0.6,1.5,none
2026-06-26 20:06:14,grid155_lb30_p0.05_w0.45_ob62.0_sl0.6_rr1.5_against,210,41.4,1.0,0.02,0.02,61,60,0,370.43,28.38,0.01,0.03,1.0,1001.0,13,0.013,1.0,30,0.05,0.45,62.0,38.0,0.6,1.5,against
2026-06-26 20:06:16,grid156_lb30_p0.05_w0.45_ob62.0_sl0.6_rr2.0_none,218,35.3,20.99,0.35,0.35,60,60,0,519.77,37.2,0.01,0.04,1.0,1020.99,13,0.026,1.01,30,0.05,0.45,62.0,38.0,0.6,2.0,none
2026-06-26 20:06:18,grid157_lb30_p0.05_w0.45_ob62.0_sl0.6_rr2.0_against,210,35.7,107.58,1.79,1.79,60,60,0,512.01,35.15,0.01,0.04,1.0,1107.58,13,0.065,1.06,30,0.05,0.45,62.0,38.0,0.6,2.0,against
2026-06-26 20:06:20,grid158_lb30_p0.05_w0.45_ob62.0_sl0.6_rr2.5_none,218,28.0,-281.62,-4.69,-4.62,61,60,0,740.02,59.25,0.01,0.03,1.0,718.38,17,-0.124,0.86,30,0.05,0.45,62.0,38.0,0.6,2.5,none
2026-06-26 20:06:22,grid159_lb30_p0.05_w0.45_ob62.0_sl0.6_rr2.5_against,210,28.6,-203.31,-3.39,-3.33,61,60,0,687.63,53.49,0.01,0.03,1.0,796.69,17,-0.083,0.89,30,0.05,0.45,62.0,38.0,0.6,2.5,against
2026-06-26 20:06:23,grid160_lb30_p0.05_w0.55_ob62.0_sl0.6_rr1.0_none,148,52.7,50.5,0.84,0.94,54,60,0,180.0,15.3,0.01,0.03,1.0,1050.5,6,0.042,1.05,30,0.05,0.55,62.0,38.0,0.6,1.0,none
