timestamp,rank,label,base,w_s63,w_s69,w_s64,score,min_pf,avg_day,avg_month,avg_sharpe,max_streak,days,trades,trade_units,fixed_per_day,fixed_per_month,fixed_pf,sharpe_like,max_losing_day_streak,by_leg
2026-07-03 09:21:40,6,P13+S63x8+S69x24+S64x0.5,P13,8.0,24.0,0.5,"(1, 1, 1.114, 0.1437, 2991.78, -4)",1.114,99.725,2991.78,0.144,4,150,12940,13603.5,77.32,2319.6,1.114,0.109,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:131.64;S69:2150.64
2026-07-03 09:21:40,6,P13+S63x8+S69x24+S64x0.5,P13,8.0,24.0,0.5,"(1, 1, 1.114, 0.1437, 2991.78, -4)",1.114,99.725,2991.78,0.144,4,180,15246,16100.0,89.8,2694.13,1.139,0.132,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:176.57;S69:3165.36
2026-07-03 09:21:40,7,P13+S63x8+S69x24+S64x0.25,P13,8.0,24.0,0.25,"(1, 1, 1.114, 0.1432, 2974.92, -4)",1.114,99.162,2974.92,0.143,4,90,7550,8020.25,122.3,3668.98,1.187,0.19,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:57.11;S69:1849.92
2026-07-03 09:21:40,7,P13+S63x8+S69x24+S64x0.25,P13,8.0,24.0,0.25,"(1, 1, 1.114, 0.1432, 2974.92, -4)",1.114,99.162,2974.92,0.143,4,120,10288,10844.5,108.16,3244.85,1.15,0.142,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:82.15;S69:2150.64
2026-07-03 09:21:40,7,P13+S63x8+S69x24+S64x0.25,P13,8.0,24.0,0.25,"(1, 1, 1.114, 0.1432, 2974.92, -4)",1.114,99.162,2974.92,0.143,4,150,12940,13589.25,76.88,2306.44,1.114,0.109,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:65.82;S69:2150.64
2026-07-03 09:21:40,7,P13+S63x8+S69x24+S64x0.25,P13,8.0,24.0,0.25,"(1, 1, 1.114, 0.1432, 2974.92, -4)",1.114,99.162,2974.92,0.143,4,180,15246,16082.5,89.31,2679.42,1.138,0.132,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:88.29;S69:3165.36
2026-07-03 09:21:40,8,P13+S63x8+S69x16+S64x4,P13,8.0,16.0,4.0,"(1, 1, 1.114, 0.1417, 3051.87, -4)",1.114,101.73,3051.87,0.142,4,90,7550,8102.0,124.97,3748.98,1.187,0.195,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:913.76;S69:1233.28
2026-07-03 09:21:40,8,P13+S63x8+S69x16+S64x4,P13,8.0,16.0,4.0,"(1, 1, 1.114, 0.1417, 3051.87, -4)",1.114,101.73,3051.87,0.142,4,120,10288,10952.0,112.46,3373.69,1.153,0.139,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:1314.40;S69:1433.76
2026-07-03 09:21:40,8,P13+S63x8+S69x16+S64x4,P13,8.0,16.0,4.0,"(1, 1, 1.114, 0.1417, 3051.87, -4)",1.114,101.73,3051.87,0.142,4,150,12940,13723.0,78.68,2360.52,1.114,0.105,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:1053.12;S69:1433.76
2026-07-03 09:21:40,8,P13+S63x8+S69x16+S64x4,P13,8.0,16.0,4.0,"(1, 1, 1.114, 0.1417, 3051.87, -4)",1.114,101.73,3051.87,0.142,4,180,15246,16233.0,90.81,2724.28,1.138,0.128,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:1412.60;S69:2110.24
2026-07-03 09:21:40,9,P13+S63x8+S69x24,P13,8.0,24.0,0.0,"(1, 1, 1.113, 0.144, 2958.06, -4)",1.113,98.6,2958.06,0.144,4,90,7509,8010.0,121.66,3649.94,1.187,0.191,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S69:1849.92
