timestamp,label,entry_tf,mode,sp_lookback,sp_max_atr,fvg_required,fvg_min_atr,min_body_atr,body_ratio,sl,rr,trades,wr,fixed_pnl,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.6_rr0.9,M15,breakout,8,1.4,True,0.0,0.35,0.4,0.6,0.9,5,60.0,90.23,1.0,30.08,2.363,18.046,60.0,2,0.43
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.6_rr0.9,M15,either,8,1.4,True,0.0,0.35,0.4,0.6,0.9,5,60.0,90.23,1.0,30.08,2.363,18.046,60.0,2,0.43
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.35_rr1.2,M5,breakout,8,1.4,False,0.0,0.35,0.4,0.35,1.2,42,59.5,284.2,3.16,94.73,2.122,6.767,58.8,3,0.338
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.35_rr1.2,M5,either,8,1.4,False,0.0,0.35,0.4,0.35,1.2,42,59.5,284.2,3.16,94.73,2.122,6.767,58.8,3,0.338
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.6_rr0.9,M5,breakout,8,1.4,False,0.0,0.35,0.4,0.6,0.9,42,69.0,254.32,2.83,84.77,2.114,6.055,70.6,2,0.349
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.6_rr0.9,M5,either,8,1.4,False,0.0,0.35,0.4,0.6,0.9,42,69.0,254.32,2.83,84.77,2.114,6.055,70.6,2,0.349
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.2_br0.4_sl0.35_rr1.2,M5,breakout,8,1.4,False,0.0,0.2,0.4,0.35,1.2,44,56.8,261.91,2.91,87.3,1.95,5.952,57.1,3,0.301
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.2_br0.4_sl0.35_rr1.2,M5,either,8,1.4,False,0.0,0.2,0.4,0.35,1.2,44,56.8,261.91,2.91,87.3,1.95,5.952,57.1,3,0.301
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.2_br0.4_sl0.6_rr0.9,M5,breakout,8,1.4,False,0.0,0.2,0.4,0.6,0.9,44,65.9,229.49,2.55,76.5,1.906,5.216,68.6,2,0.302
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.2_br0.4_sl0.6_rr0.9,M5,either,8,1.4,False,0.0,0.2,0.4,0.6,0.9,44,65.9,229.49,2.55,76.5,1.906,5.216,68.6,2,0.302
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.35_rr0.9,M5,breakout,8,1.4,False,0.0,0.35,0.4,0.35,0.9,42,66.7,202.41,2.25,67.47,1.902,4.819,64.7,3,0.298
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.35_rr0.9,M5,either,8,1.4,False,0.0,0.35,0.4,0.35,0.9,42,66.7,202.41,2.25,67.47,1.902,4.819,64.7,3,0.298
2026-07-02 17:06:35,M5_breakout_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.6_rr1.2,M5,breakout,8,1.4,False,0.0,0.35,0.4,0.6,1.2,42,54.8,231.64,2.57,77.21,1.738,5.515,55.9,3,0.231
2026-07-02 17:06:35,M5_either_lb8_sp1.4_fvg0_fm0.0_mb0.35_br0.4_sl0.6_rr1.2,M5,either,8,1.4,False,0.0,0.35,0.4,0.6,1.2,42,54.8,231.64,2.57,77.21,1.738,5.515,55.9,3,0.231
